Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Jan 14 2023,15:30,-0300,Portuguesa SP,0-2,0-1,Botafogo SP,,2023-01-14T18:30Z
,1,Sat Jan 14 2023,16:00,-0300,Santo André SP,1-0,1-0,Guarani SP,,2023-01-14T19:00Z
,1,Sat Jan 14 2023,18:30,-0300,Palmeiras,0-0,0-0,São Bento SP,,2023-01-14T21:30Z
,1,Sat Jan 14 2023,20:30,-0300,Santos FC,2-1,1-1,Mirassol SP,,2023-01-14T23:30Z
,1,Sat Jan 14 2023,11:00,-0300,Inter de Limeira SP,0-3,0-1,São Bernardo FC SP,,2023-01-14T14:00Z
,1,Sun Jan 15 2023,11:00,-0300,Água Santa SP,1-3,0-0,Ferroviária SP,,2023-01-15T14:00Z
,1,Sun Jan 15 2023,16:00,-0300,Red Bull Bragantino,1-0,0-0,Corinthians SP,,2023-01-15T19:00Z
,1,Sun Jan 15 2023,18:30,-0300,São Paulo FC,0-0,0-0,Ituano SP,,2023-01-15T21:30Z
,2,Tue Jan 17 2023,19:30,-0300,Mirassol SP,0-1,0-1,Inter de Limeira SP,,2023-01-17T22:30Z
,2,Tue Jan 17 2023,15:30,-0300,São Bento SP,2-1,1-0,Santo André SP,,2023-01-17T18:30Z
,2,Wed Jan 18 2023,19:00,-0300,São Bernardo FC SP,1-1,1-1,Red Bull Bragantino,,2023-01-18T22:00Z
,2,Wed Jan 18 2023,19:30,-0300,Corinthians SP,3-0,2-0,Água Santa SP,,2023-01-18T22:30Z
,2,Wed Jan 18 2023,20:30,-0300,Ituano SP,1-1,0-0,Portuguesa SP,,2023-01-18T23:30Z
,2,Wed Jan 18 2023,21:35,-0300,Guarani SP,2-0,1-0,Santos FC,,2023-01-19T00:35Z
,2,Thu Jan 19 2023,21:30,-0300,Botafogo SP,0-1,0-1,Palmeiras,,2023-01-20T00:30Z
,2,Thu Jan 19 2023,19:30,-0300,Ferroviária SP,1-2,1-0,São Paulo FC,,2023-01-19T22:30Z
,3,Sat Jan 21 2023,15:00,-0300,Água Santa SP,1-1,1-0,São Bento SP,,2023-01-21T18:00Z
,3,Sat Jan 21 2023,15:30,-0300,Portuguesa SP,3-0,2-0,Red Bull Bragantino,,2023-01-21T18:30Z
,3,Sat Jan 21 2023,16:00,-0300,Guarani SP,0-0,0-0,Ituano SP,,2023-01-21T19:00Z
,3,Sat Jan 21 2023,18:30,-0300,Inter de Limeira SP,0-0,0-0,Corinthians SP,,2023-01-21T21:30Z
,3,Sun Jan 22 2023,18:30,-0300,São Bernardo FC SP,1-1,1-0,Santos FC,,2023-01-22T21:30Z
,3,Sun Jan 22 2023,20:30,-0300,Botafogo SP,1-1,1-1,Mirassol SP,,2023-01-22T23:30Z
,3,Sun Jan 22 2023,20:30,-0300,Ferroviária SP,1-2,1-0,Santo André SP,,2023-01-22T23:30Z
,3,Sun Jan 22 2023,16:00,-0300,Palmeiras,0-0,0-0,São Paulo FC,,2023-01-22T19:00Z
,4,Tue Jan 24 2023,20:00,-0300,Corinthians SP,2-1,1-1,Guarani SP,,2023-01-24T23:00Z
,4,Wed Jan 25 2023,19:00,-0300,Red Bull Bragantino,2-0,2-0,Ferroviária SP,,2023-01-25T22:00Z
,4,Wed Jan 25 2023,19:30,-0300,Ituano SP,1-3,0-1,Palmeiras,,2023-01-25T22:30Z
,4,Wed Jan 25 2023,20:30,-0300,Santo André SP,1-1,1-1,Botafogo SP,,2023-01-25T23:30Z
,4,Wed Jan 25 2023,21:35,-0300,Santos FC,0-0,0-0,Água Santa SP,,2023-01-26T00:35Z
,4,Thu Jan 26 2023,19:30,-0300,Mirassol SP,4-1,2-0,São Bernardo FC SP,,2023-01-26T22:30Z
,4,Thu Jan 26 2023,21:30,-0300,São Paulo FC,4-1,1-0,Portuguesa SP,,2023-01-27T00:30Z
,4,Thu Jan 26 2023,15:30,-0300,São Bento SP,1-0,1-0,Inter de Limeira SP,,2023-01-26T18:30Z
,5,Sat Jan 28 2023,18:30,-0300,Santos FC,1-1,0-1,Ferroviária SP,,2023-01-28T21:30Z
,5,Sat Jan 28 2023,20:00,-0300,Red Bull Bragantino,0-1,0-0,Santo André SP,,2023-01-28T23:00Z
,5,Sat Jan 28 2023,20:40,-0300,Botafogo SP,3-2,2-0,Guarani SP,,2023-01-28T23:40Z
,5,Sun Jan 29 2023,16:00,-0300,Inter de Limeira SP,1-0,1-0,Ituano SP,,2023-01-29T19:00Z
,5,Sun Jan 29 2023,16:00,-0300,São Bernardo FC SP,2-0,0-0,São Bento SP,,2023-01-29T19:00Z
,5,Sun Jan 29 2023,18:30,-0300,São Paulo FC,1-2,0-2,Corinthians SP,,2023-01-29T21:30Z
,5,Sun Jan 29 2023,15:00,-0300,Água Santa SP,2-1,0-0,Portuguesa SP,,2023-01-29T18:00Z
,5,Wed Feb 1 2023,21:35,-0300,Mirassol SP,0-2,0-0,Palmeiras,,2023-02-02T00:35Z
,6,Sat Feb 4 2023,15:30,-0300,São Bento SP,1-1,0-1,Mirassol SP,,2023-02-04T18:30Z
,6,Sat Feb 4 2023,16:00,-0300,Ferroviária SP,0-1,0-0,São Bernardo FC SP,,2023-02-04T19:00Z
,6,Sat Feb 4 2023,16:00,-0300,Guarani SP,0-1,0-0,Red Bull Bragantino,,2023-02-04T19:00Z
,6,Sat Feb 4 2023,18:30,-0300,Palmeiras,3-1,2-0,Santos FC,,2023-02-04T21:30Z
,6,Sun Feb 5 2023,16:00,-0300,Santo André SP,0-1,0-0,São Paulo FC,,2023-02-05T19:00Z
,6,Sun Feb 5 2023,18:30,-0300,Corinthians SP,2-0,2-0,Botafogo SP,,2023-02-05T21:30Z
,6,Sun Feb 5 2023,20:30,-0300,Portuguesa SP,0-1,0-1,Inter de Limeira SP,,2023-02-05T23:30Z
,6,Sun Feb 5 2023,11:00,-0300,Ituano SP,0-3,0-2,Água Santa SP,,2023-02-05T14:00Z
,7,Tue Feb 7 2023,19:30,-0300,Mirassol SP,4-1,2-0,Ferroviária SP,,2023-02-07T22:30Z
,7,Wed Feb 8 2023,20:30,-0300,Botafogo SP,2-3,1-2,Ituano SP,,2023-02-08T23:30Z
,7,Wed Feb 8 2023,20:30,-0300,Guarani SP,2-1,2-1,Portuguesa SP,,2023-02-08T23:30Z
,7,Wed Feb 8 2023,21:35,-0300,Santos FC,1-0,0-0,São Bento SP,,2023-02-09T00:35Z
,7,Wed Feb 8 2023,19:30,-0300,Red Bull Bragantino,2-1,0-0,São Paulo FC,,2023-02-08T22:30Z
,7,Thu Feb 9 2023,18:00,-0300,Santo André SP,0-2,0-1,Água Santa SP,,2023-02-09T21:00Z
,7,Thu Feb 9 2023,19:30,-0300,Palmeiras,2-0,2-0,Inter de Limeira SP,,2023-02-09T22:30Z
,7,Thu Feb 9 2023,21:30,-0300,São Bernardo FC SP,2-0,1-0,Corinthians SP,,2023-02-10T00:30Z
,8,Sat Feb 11 2023,19:00,-0300,São Bento SP,0-1,0-1,Guarani SP,,2023-02-11T22:00Z
,8,Sat Feb 11 2023,20:30,-0300,Red Bull Bragantino,0-0,0-0,Mirassol SP,,2023-02-11T23:30Z
,8,Sat Feb 11 2023,18:30,-0300,Ferroviária SP,1-2,0-1,Botafogo SP,,2023-02-11T21:30Z
,8,Sun Feb 12 2023,11:00,-0300,Água Santa SP,0-1,0-0,Palmeiras,,2023-02-12T14:00Z
,8,Sun Feb 12 2023,16:00,-0300,Portuguesa SP,0-0,0-0,Corinthians SP,,2023-02-12T19:00Z
,8,Sun Feb 12 2023,19:00,-0300,São Paulo FC,3-1,2-0,Santos FC,,2023-02-12T22:00Z
,8,Sun Feb 12 2023,20:30,-0300,Inter de Limeira SP,0-1,0-0,Santo André SP,,2023-02-12T23:30Z
,9,Tue Feb 14 2023,19:30,-0300,Botafogo SP,1-0,0-0,São Bento SP,,2023-02-14T22:30Z
,9,Wed Feb 15 2023,21:35,-0300,São Paulo FC,5-1,2-1,Inter de Limeira SP,,2023-02-16T00:35Z
,9,Wed Feb 15 2023,15:00,-0300,Água Santa SP,1-0,1-0,Red Bull Bragantino,,2023-02-15T18:00Z
,9,Wed Feb 15 2023,19:30,-0300,Guarani SP,1-5,1-4,São Bernardo FC SP,,2023-02-15T22:30Z
,9,Wed Feb 15 2023,20:30,-0300,Portuguesa SP,1-1,1-0,Ferroviária SP,,2023-02-15T23:30Z
,9,Thu Feb 16 2023,18:00,-0300,Mirassol SP,1-0,1-0,Ituano SP,,2023-02-16T21:00Z
,9,Thu Feb 16 2023,19:30,-0300,Santo André SP,1-1,0-0,Santos FC,,2023-02-16T22:30Z
,9,Thu Feb 16 2023,21:30,-0300,Corinthians SP,2-2,1-1,Palmeiras,,2023-02-17T00:30Z
,10,Sat Feb 18 2023,16:00,-0300,Inter de Limeira SP,0-1,0-1,Água Santa SP,,2023-02-18T19:00Z
,10,Sat Feb 18 2023,16:00,-0300,Ferroviária SP,1-0,0-0,Guarani SP,,2023-02-18T19:00Z
,10,Sun Feb 19 2023,16:00,-0300,Santos FC,4-0,3-0,Portuguesa SP,,2023-02-19T19:00Z
,10,Sun Feb 19 2023,20:40,-0300,Ituano SP,2-0,2-0,Santo André SP,,2023-02-19T23:40Z
,10,Sun Feb 19 2023,16:00,-0300,São Bernardo FC SP,2-1,0-1,Botafogo SP,,2023-02-19T19:00Z
,10,Sun Feb 19 2023,18:30,-0300,Corinthians SP,3-0,2-0,Mirassol SP,,2023-02-19T21:30Z
,10,Tue Feb 21 2023,19:30,-0300,São Bento SP,0-3,0-1,São Paulo FC,,2023-02-21T22:30Z
,8,Wed Feb 22 2023,19:30,-0300,Ituano SP,0-2,0-2,São Bernardo FC SP,,2023-02-22T22:30Z
,10,Wed Feb 22 2023,21:35,-0300,Palmeiras,2-0,1-0,Red Bull Bragantino,,2023-02-23T00:35Z
,11,Sat Feb 25 2023,15:00,-0300,Água Santa SP,1-0,0-0,Botafogo SP,,2023-02-25T18:00Z
,11,Sat Feb 25 2023,16:00,-0300,Inter de Limeira SP,0-5,0-2,Guarani SP,,2023-02-25T19:00Z
