Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Gruppe B,Sun Jun 11 2023,17:00,-0300,Parnahyba PI,1-1,1-0,Caucaia CE,,2023-06-11T20:00Z
Gruppe E,Sun Jun 11 2023,16:00,-0300,Operário MT,2-2,1-1,Ceilândia DF,,2023-06-11T19:00Z
Gruppe E,Sun Jun 11 2023,16:00,-0300,Brasiliense DF,3-3,2-1,Iporá GO,,2023-06-11T19:00Z
Gruppe D,Sun Jun 11 2023,19:00,-0300,Cruzeiro AL,0-0,0-0,Bahia de Feira BA,,2023-06-11T22:00Z
Gruppe B,Sun Jun 11 2023,16:00,-0300,Tocantinópolis TO,2-0,0-0,Cordino MA,,2023-06-11T19:00Z
Gruppe D,Sun Jun 11 2023,17:00,-0300,Retrô PE,3-1,2-0,ASA AL,,2023-06-11T20:00Z
Gruppe H,Sun Jun 11 2023,15:00,-0300,Concórdia SC,3-1,1-0,Aimoré RS,,2023-06-11T18:00Z
Gruppe H,Sun Jun 11 2023,15:30,-0300,Independente PR,2-1,1-0,Novo Hamburgo RS,,2023-06-11T18:30Z
Gruppe H,Sun Jun 11 2023,16:00,-0300,Brasil de Pelotas RS,1-0,0-0,Hercílio Luz SC,,2023-06-11T19:00Z
Gruppe D,Sun Jun 11 2023,16:00,-0300,Falcon SE,1-1,0-0,Jacuipense BA,,2023-06-11T19:00Z
Gruppe E,Sun Jun 11 2023,16:00,-0300,Real Ariquemes RO,0-1,0-0,União Rondonópolis MT,,2023-06-11T19:00Z
Gruppe C,Sun Jun 11 2023,16:00,-0300,Sousa PB,2-1,1-1,Iguatu CE,,2023-06-11T19:00Z
Gruppe A,Sun Jun 11 2023,15:00,-0300,Tuna Luso PA,1-0,0-0,Princesa do Solimões AM,,2023-06-11T18:00Z
Gruppe A,Sun Jun 11 2023,16:00,-0300,Trem AP,0-1,0-1,Águia de Marabá PA,,2023-06-11T19:00Z
Gruppe A,Sun Jun 11 2023,16:00,-0300,Nacional AM,2-0,1-0,São Francisco AC,,2023-06-11T19:00Z
Gruppe A,Sun Jun 11 2023,18:00,-0300,Humaitá AC,1-0,0-0,São Raimundo RR,,2023-06-11T21:00Z
Gruppe A,Wed Jun 14 2023,20:00,-0300,Princesa do Solimões AM,1-1,1-1,Tuna Luso PA,,2023-06-14T23:00Z
Gruppe A,Wed Jun 14 2023,20:00,-0300,São Raimundo RR,2-3,0-1,Humaitá AC,,2023-06-14T23:00Z
Gruppe A,Wed Jun 14 2023,20:00,-0300,Águia de Marabá PA,0-0,0-0,Trem AP,,2023-06-14T23:00Z
Gruppe E,Wed Jun 14 2023,15:30,-0300,Ceilândia DF,0-0,0-0,Operário MT,,2023-06-14T18:30Z
Gruppe E,Wed Jun 14 2023,16:00,-0300,Interporto TO,0-0,0-0,Anápolis FC GO,,2023-06-14T19:00Z
Gruppe E,Wed Jun 14 2023,16:00,-0300,União Rondonópolis MT,3-0,1-0,Real Ariquemes RO,,2023-06-14T19:00Z
Gruppe H,Wed Jun 14 2023,20:00,-0300,Novo Hamburgo RS,0-1,0-0,Independente PR,,2023-06-14T23:00Z
Gruppe H,Wed Jun 14 2023,19:00,-0300,Camboriú SC,2-1,1-1,S.E.R. Caxias RS,,2023-06-14T22:00Z
Gruppe H,Wed Jun 14 2023,19:00,-0300,Aimoré RS,0-0,0-0,Concórdia SC,,2023-06-14T22:00Z
Gruppe G,Wed Jun 14 2023,20:00,-0300,XV de Piracicaba SP,1-1,1-0,Atlético Patrocinense MG,,2023-06-14T23:00Z
Gruppe G,Wed Jun 14 2023,19:00,-0300,Ferroviária SP,1-0,0-0,Cascavel FC PR,,2023-06-14T22:00Z
Gruppe G,Wed Jun 14 2023,20:00,-0300,Operário de Campo Grande MS,0-2,0-0,CRAC GO,,2023-06-14T23:00Z
Gruppe G,Wed Jun 14 2023,20:00,-0300,Maringá PR,1-0,1-0,Inter de Limeira SP,,2023-06-14T23:00Z
