Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Gruppe C,Sun May 14 2023,16:00,-0300,Sousa PB,2-1,0-1,Pacajus CE,,2023-05-14T19:00Z
Gruppe E,Sun May 14 2023,15:30,-0300,Iporá GO,8-1,1-0,Interporto TO,,2023-05-14T18:30Z
Gruppe E,Sun May 14 2023,16:00,-0300,Real Ariquemes RO,0-2,0-2,Operário MT,,2023-05-14T19:00Z
Gruppe G,Sun May 14 2023,17:00,-0300,Operário de Campo Grande MS,0-0,0-0,XV de Piracicaba SP,,2023-05-14T20:00Z
Gruppe B,Sun May 14 2023,15:30,-0300,Fluminense PI,2-2,0-2,Caucaia CE,,2023-05-14T18:30Z
Gruppe B,Sun May 14 2023,16:00,-0300,Tocantinópolis TO,0-0,0-0,Maranhão MA,,2023-05-14T19:00Z
Gruppe B,Sat May 20 2023,17:00,-0300,Cordino MA,2-1,1-0,Maranhão MA,,2023-05-20T20:00Z
Gruppe C,Sat May 20 2023,16:00,-0300,Iguatu CE,1-2,1-1,Pacajus CE,,2023-05-20T19:00Z
Gruppe A,Sat May 20 2023,16:00,-0300,Nacional AM,1-0,0-0,Princesa do Solimões AM,,2023-05-20T19:00Z
Gruppe G,Sat May 20 2023,17:00,-0300,Ferroviária SP,1-2,0-1,Inter de Limeira SP,,2023-05-20T20:00Z
Gruppe G,Sat May 20 2023,17:00,-0300,XV de Piracicaba SP,2-0,1-0,CRAC GO,,2023-05-20T20:00Z
Gruppe G,Sat May 20 2023,16:00,-0300,Cascavel FC PR,1-1,1-0,Maringá PR,,2023-05-20T19:00Z
Gruppe E,Sat May 20 2023,17:00,-0300,Anápolis FC GO,1-0,0-0,Iporá GO,,2023-05-20T20:00Z
Gruppe E,Sat May 20 2023,16:00,-0300,União Rondonópolis MT,2-0,1-0,Operário MT,,2023-05-20T19:00Z
Gruppe E,Sat May 20 2023,16:00,-0300,Interporto TO,1-0,1-0,Brasiliense DF,,2023-05-20T19:00Z
Gruppe E,Sat May 20 2023,15:30,-0300,Ceilândia DF,3-0,1-0,Real Ariquemes RO,,2023-05-20T18:30Z
Gruppe F,Sat May 20 2023,15:00,-0300,Nova Iguaçu RJ,0-1,0-0,Santo André SP,,2023-05-20T18:00Z
Gruppe F,Sat May 20 2023,15:30,-0300,Real Noroeste ES,0-2,0-0,Vitória ES,,2023-05-20T18:30Z
Gruppe F,Sat May 20 2023,18:00,-0300,Portuguesa RJ,3-2,0-1,Resende FC RJ,,2023-05-20T21:00Z
Gruppe D,Sat May 20 2023,17:00,-0300,Bahia de Feira BA,1-1,1-0,Retrô PE,,2023-05-20T20:00Z
Gruppe D,Sat May 20 2023,17:00,-0300,ASA AL,0-2,0-1,Cruzeiro AL,,2023-05-20T20:00Z
Gruppe D,Sat May 20 2023,16:00,-0300,Falcon SE,0-1,0-1,Sergipe SE,,2023-05-20T19:00Z
Gruppe H,Sat May 20 2023,15:30,-0300,Independente PR,0-0,0-0,Hercílio Luz SC,,2023-05-20T18:30Z
Gruppe H,Sat May 20 2023,19:00,-0300,Camboriú SC,1-0,0-0,Concórdia SC,,2023-05-20T22:00Z
Gruppe H,Sun May 21 2023,16:00,-0300,Aimoré RS,0-0,0-0,S.E.R. Caxias RS,,2023-05-21T19:00Z
Gruppe H,Sun May 21 2023,18:00,-0300,Novo Hamburgo RS,0-0,0-0,Brasil de Pelotas RS,,2023-05-21T21:00Z
Gruppe A,Sun May 21 2023,17:00,-0300,São Raimundo RR,3-0,1-0,Trem AP,,2023-05-21T20:00Z
Gruppe G,Sun May 21 2023,17:00,-0300,Operário de Campo Grande MS,1-1,1-1,Atlético Patrocinense MG,,2023-05-21T20:00Z
Gruppe C,Sun May 21 2023,16:00,-0300,Nacional PB,1-0,0-0,Sousa PB,,2023-05-21T19:00Z
Gruppe C,Sun May 21 2023,16:00,-0300,Globo RN,0-0,0-0,Potiguar de Mossoró RN,,2023-05-21T19:00Z
Gruppe B,Sun May 21 2023,17:00,-0300,Parnahyba PI,2-1,0-0,Fluminense PI,,2023-05-21T20:00Z
