Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Mar 17 2023,18:00,+0300,FK Minsk,2-0,1-0,FK Slaviya Mozyr,,2023-03-17T15:00Z
1,Sat Mar 18 2023,16:00,+0300,FK Gomel,0-2,0-1,BATE Borisov,,2023-03-18T13:00Z
1,Sat Mar 18 2023,18:00,+0300,Dinamo Minsk,3-0,1-0,FK Isloch Minsk,,2023-03-18T15:00Z
1,Sat Mar 18 2023,20:00,+0300,Dinamo Brest,0-1,0-0,Torpedo-BelAZ Zhodino,,2023-03-18T17:00Z
1,Sat Mar 18 2023,14:00,+0300,Shakhter Soligorsk,2-1,1-1,Naftan Novopolotsk,,2023-03-18T11:00Z
1,Sun Mar 19 2023,14:00,+0300,Energetik-BGU Minsk,1-0,1-0,FK Slutsk,,2023-03-19T11:00Z
1,Sun Mar 19 2023,16:00,+0300,FK Smorgon,1-0,0-0,Belshina Bobruisk,,2023-03-19T13:00Z
2,Sat Apr 1 2023,16:00,+0300,Torpedo-BelAZ Zhodino,2-1,1-0,FK Smorgon,,2023-04-01T13:00Z
2,Sat Apr 1 2023,18:00,+0300,FK Isloch Minsk,3-0,1-0,Dinamo Brest,,2023-04-01T15:00Z
2,Sat Apr 1 2023,14:00,+0300,Naftan Novopolotsk,1-1,1-0,FK Gomel,,2023-04-01T11:00Z
2,Sun Apr 2 2023,14:00,+0300,FK Slutsk,1-1,0-1,FK Minsk,,2023-04-02T11:00Z
2,Sun Apr 2 2023,16:00,+0300,Neman Grodno,0-1,0-0,Shakhter Soligorsk,,2023-04-02T13:00Z
2,Sun Apr 2 2023,18:00,+0300,FK Slaviya Mozyr,0-2,0-1,Dinamo Minsk,,2023-04-02T15:00Z
2,Sun Apr 2 2023,20:00,+0300,BATE Borisov,1-1,0-1,Energetik-BGU Minsk,,2023-04-02T17:00Z
3,Fri Apr 7 2023,17:30,+0300,FK Smorgon,0-4,0-3,FK Isloch Minsk,,2023-04-07T14:30Z
3,Sat Apr 8 2023,17:00,+0300,Belshina Bobruisk,0-0,0-0,Torpedo-BelAZ Zhodino,,2023-04-08T14:00Z
3,Sat Apr 8 2023,19:00,+0300,Dinamo Minsk,3-1,0-0,FK Slutsk,,2023-04-08T16:00Z
3,Sat Apr 8 2023,15:00,+0300,FK Minsk,2-2,0-1,BATE Borisov,,2023-04-08T12:00Z
3,Sun Apr 9 2023,14:00,+0300,Dinamo Brest,0-1,0-1,FK Slaviya Mozyr,,2023-04-09T11:00Z
3,Sun Apr 9 2023,15:45,+0300,Energetik-BGU Minsk,0-1,0-0,Naftan Novopolotsk,,2023-04-09T12:45Z
3,Sun Apr 9 2023,17:30,+0300,FK Gomel,3-3,1-2,Neman Grodno,,2023-04-09T14:30Z
4,Fri Apr 14 2023,17:00,+0300,FK Isloch Minsk,2-0,1-0,Belshina Bobruisk,,2023-04-14T14:00Z
4,Fri Apr 14 2023,19:00,+0300,FK Slaviya Mozyr,4-1,1-0,FK Smorgon,,2023-04-14T16:00Z
4,Fri Apr 14 2023,15:00,+0300,Naftan Novopolotsk,0-0,0-0,FK Minsk,,2023-04-14T12:00Z
4,Sat Apr 15 2023,14:00,+0300,FK Slutsk,2-0,1-0,Dinamo Brest,,2023-04-15T11:00Z
4,Sat Apr 15 2023,16:00,+0300,Shakhter Soligorsk,1-1,1-0,FK Gomel,,2023-04-15T13:00Z
4,Sat Apr 15 2023,18:00,+0300,BATE Borisov,1-3,0-0,Dinamo Minsk,,2023-04-15T15:00Z
4,Sat Apr 15 2023,20:00,+0300,Neman Grodno,2-0,0-0,Energetik-BGU Minsk,,2023-04-15T17:00Z
5,Fri Apr 21 2023,17:30,+0300,FK Smorgon,3-2,1-1,FK Slutsk,,2023-04-21T14:30Z
5,Sat Apr 22 2023,17:00,+0300,Belshina Bobruisk,1-1,0-0,FK Slaviya Mozyr,,2023-04-22T14:00Z
5,Sat Apr 22 2023,19:00,+0300,Dinamo Minsk,3-1,1-0,Naftan Novopolotsk,,2023-04-22T16:00Z
5,Sat Apr 22 2023,14:00,+0300,Torpedo-BelAZ Zhodino,2-1,1-1,FK Isloch Minsk,,2023-04-22T11:00Z
5,Sun Apr 23 2023,14:00,+0300,FK Minsk,0-1,0-0,Neman Grodno,,2023-04-23T11:00Z
5,Sun Apr 23 2023,17:00,+0300,Energetik-BGU Minsk,1-4,0-2,Shakhter Soligorsk,,2023-04-23T14:00Z
5,Sun Apr 23 2023,19:00,+0300,Dinamo Brest,1-2,1-0,BATE Borisov,,2023-04-23T16:00Z
6,Fri Apr 28 2023,17:30,+0300,FK Slutsk,2-1,1-0,Belshina Bobruisk,,2023-04-28T14:30Z
6,Sat Apr 29 2023,17:00,+0300,FK Slaviya Mozyr,0-1,0-1,Torpedo-BelAZ Zhodino,,2023-04-29T14:00Z
6,Sat Apr 29 2023,19:00,+0300,BATE Borisov,2-0,2-0,FK Smorgon,,2023-04-29T16:00Z
6,Sat Apr 29 2023,14:00,+0300,Neman Grodno,1-0,0-0,Dinamo Minsk,,2023-04-29T11:00Z
6,Sun Apr 30 2023,14:00,+0300,FK Gomel,1-0,1-0,Energetik-BGU Minsk,,2023-04-30T11:00Z
6,Sun Apr 30 2023,16:00,+0300,Naftan Novopolotsk,0-3,0-1,Dinamo Brest,,2023-04-30T13:00Z
6,Sun Apr 30 2023,18:30,+0300,Shakhter Soligorsk,1-0,1-0,FK Minsk,,2023-04-30T15:30Z
7,Fri May 5 2023,20:00,+0300,Torpedo-BelAZ Zhodino,1-1,0-1,FK Slutsk,,2023-05-05T17:00Z
7,Fri May 5 2023,18:00,+0300,FK Isloch Minsk,0-1,0-1,FK Slaviya Mozyr,,2023-05-05T15:00Z
7,Sat May 6 2023,16:00,+0300,Belshina Bobruisk,0-3,0-2,BATE Borisov,,2023-05-06T13:00Z
7,Sat May 6 2023,18:00,+0300,FK Minsk,2-2,2-0,FK Gomel,,2023-05-06T15:00Z
7,Sat May 6 2023,14:00,+0300,Dinamo Brest,1-3,1-3,Neman Grodno,,2023-05-06T11:00Z
7,Sun May 7 2023,18:00,+0300,FK Smorgon,1-0,0-0,Naftan Novopolotsk,,2023-05-07T15:00Z
7,Sun May 7 2023,16:00,+0300,Dinamo Minsk,1-0,1-0,Shakhter Soligorsk,,2023-05-07T13:00Z
8,Fri May 12 2023,18:00,+0300,FK Slutsk,1-1,0-0,FK Isloch Minsk,,2023-05-12T15:00Z
8,Sat May 13 2023,17:00,+0300,Energetik-BGU Minsk,1-0,0-0,FK Minsk,,2023-05-13T14:00Z
8,Sat May 13 2023,19:00,+0300,FK Gomel,0-4,0-2,Dinamo Minsk,,2023-05-13T16:00Z
8,Sat May 13 2023,21:00,+0300,Shakhter Soligorsk,2-0,1-0,Dinamo Brest,,2023-05-13T18:00Z
8,Sun May 14 2023,16:00,+0300,Neman Grodno,3-1,1-0,FK Smorgon,,2023-05-14T13:00Z
8,Sun May 14 2023,18:00,+0300,BATE Borisov,1-2,1-1,Torpedo-BelAZ Zhodino,,2023-05-14T15:00Z
8,Sun May 14 2023,14:00,+0300,Naftan Novopolotsk,0-1,0-0,Belshina Bobruisk,,2023-05-14T11:00Z
