Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Mar 4 2023,17:00,WET/+0000,07 Vestur,1-0,0-0,ÍF Fuglafjørður,2023-03-04T17:00Z
1,Sun Mar 5 2023,15:00,WET/+0000,EB/Streymur,2-0,2-0,AB Argir,2023-03-05T15:00Z
1,Sun Mar 5 2023,15:00,WET/+0000,HB Tórshavn,4-1,3-1,B68 Toftir,2023-03-05T15:00Z
1,Sun Mar 5 2023,15:00,WET/+0000,KÍ Klaksvík,7-1,3-0,TB Tvøroyri,2023-03-05T15:00Z
1,Sun Mar 5 2023,15:00,WET/+0000,Víkingur,0-3,0-1,B36 Tórshavn,2023-03-05T15:00Z
4,Sat Apr 1 2023,17:00,WEST/+0100,Víkingur,7-0,1-0,TB Tvøroyri,2023-04-01T16:00Z
4,Sun Apr 2 2023,15:00,WEST/+0100,07 Vestur,1-1,0-1,B68 Toftir,2023-04-02T14:00Z
4,Sun Apr 2 2023,15:00,WEST/+0100,ÍF Fuglafjørður,2-0,1-0,AB Argir,2023-04-02T14:00Z
4,Sun Apr 2 2023,15:00,WEST/+0100,KÍ Klaksvík,1-0,1-0,EB/Streymur,2023-04-02T14:00Z
4,Mon Apr 3 2023,18:00,WEST/+0100,B36 Tórshavn,0-2,0-1,HB Tórshavn,2023-04-03T17:00Z
5,Sat Apr 8 2023,18:00,WEST/+0100,HB Tórshavn,4-0,3-0,AB Argir,2023-04-08T17:00Z
5,Sat Apr 8 2023,17:00,WEST/+0100,07 Vestur,1-3,0-2,KÍ Klaksvík,2023-04-08T16:00Z
5,Sat Apr 8 2023,13:00,WEST/+0100,B36 Tórshavn,2-0,1-0,B68 Toftir,2023-04-08T12:00Z
5,Sat Apr 8 2023,15:00,WEST/+0100,ÍF Fuglafjørður,0-1,0-0,Víkingur,2023-04-08T14:00Z
5,Sat Apr 8 2023,16:00,WEST/+0100,EB/Streymur,2-1,2-1,TB Tvøroyri,2023-04-08T15:00Z
2,Wed Apr 12 2023,18:00,WEST/+0100,ÍF Fuglafjørður,3-0,1-0,EB/Streymur,2023-04-12T17:00Z
2,Wed Apr 12 2023,17:00,WEST/+0100,AB Argir,0-2,0-2,KÍ Klaksvík,2023-04-12T16:00Z
