Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Jan 14 2023,18:30,-0300,Cascavel FC PR,1-0,0-0,Independente PR,,2023-01-14T21:30Z
,1,Sat Jan 14 2023,18:30,-0300,Maringá PR,1-0,1-0,Foz do Iguaçu PR,,2023-01-14T21:30Z
,1,Sat Jan 14 2023,16:00,-0300,Rio Branco PR,0-4,0-3,Athletico Paranaense,,2023-01-14T19:00Z
,1,Sun Jan 15 2023,16:00,-0300,Londrina PR,1-1,0-1,Azuriz PR,,2023-01-15T19:00Z
,1,Sun Jan 15 2023,18:30,-0300,Operário Ferroviário PR,2-0,1-0,Cianorte PR,,2023-01-15T21:30Z
,1,Sun Jan 15 2023,16:00,-0300,Coritiba PR,1-0,0-0,Aruko PR,,2023-01-15T19:00Z
,2,Tue Jan 17 2023,20:00,-0300,Maringá PR,2-0,1-0,Rio Branco PR,,2023-01-17T23:00Z
,2,Wed Jan 18 2023,15:30,-0300,Independente PR,1-2,1-0,Cianorte PR,,2023-01-18T18:30Z
,2,Wed Jan 18 2023,19:15,-0300,Aruko PR,1-2,0-1,Athletico Paranaense,,2023-01-18T22:15Z
,2,Wed Jan 18 2023,21:30,-0300,Londrina PR,0-1,0-0,Cascavel FC PR,,2023-01-19T00:30Z
,2,Wed Jan 18 2023,21:30,-0300,Foz do Iguaçu PR,0-3,0-3,Coritiba PR,,2023-01-19T00:30Z
,2,Thu Jan 19 2023,19:15,-0300,Operário Ferroviário PR,1-0,1-0,Azuriz PR,,2023-01-19T22:15Z
,3,Sat Jan 21 2023,18:30,-0300,Foz do Iguaçu PR,1-0,1-0,Aruko PR,,2023-01-21T21:30Z
,3,Sat Jan 21 2023,16:00,-0300,Athletico Paranaense,1-0,1-0,Maringá PR,,2023-01-21T19:00Z
,3,Sun Jan 22 2023,16:00,-0300,Azuriz PR,3-3,0-1,Cascavel FC PR,,2023-01-22T19:00Z
,3,Sun Jan 22 2023,18:30,-0300,Cianorte PR,1-0,1-0,Londrina PR,,2023-01-22T21:30Z
,3,Sun Jan 22 2023,18:30,-0300,Coritiba PR,1-0,0-0,Rio Branco PR,,2023-01-22T21:30Z
,3,Sun Jan 22 2023,15:30,-0300,Independente PR,1-2,0-0,Operário Ferroviário PR,,2023-01-22T18:30Z
,4,Wed Jan 25 2023,15:30,-0300,Rio Branco PR,0-1,0-1,Aruko PR,,2023-01-25T18:30Z
,4,Wed Jan 25 2023,19:15,-0300,Azuriz PR,1-1,0-0,Independente PR,,2023-01-25T22:15Z
,4,Wed Jan 25 2023,19:15,-0300,Athletico Paranaense,3-1,2-1,Foz do Iguaçu PR,,2023-01-25T22:15Z
,4,Wed Jan 25 2023,19:15,-0300,Cascavel FC PR,1-1,0-1,Cianorte PR,,2023-01-25T22:15Z
,4,Wed Jan 25 2023,21:30,-0300,Maringá PR,0-1,0-1,Coritiba PR,,2023-01-26T00:30Z
,4,Thu Jan 26 2023,21:30,-0300,Londrina PR,3-2,1-0,Operário Ferroviário PR,,2023-01-27T00:30Z
,5,Sat Jan 28 2023,16:00,-0300,Independente PR,2-3,1-1,Athletico Paranaense,,2023-01-28T19:00Z
,5,Sat Jan 28 2023,18:30,-0300,Cianorte PR,3-1,2-0,Foz do Iguaçu PR,,2023-01-28T21:30Z
