Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Feb 17 2023,19:45,GMT/+0000,Dundalk FC,1-1,1-0,UC Dublin,2023-02-17T19:45Z
1,Fri Feb 17 2023,19:45,GMT/+0000,Shelbourne FC,0-0,0-0,Drogheda United,2023-02-17T19:45Z
1,Fri Feb 17 2023,19:45,GMT/+0000,St Patrick's Athletic,1-1,0-1,Derry City,2023-02-17T19:45Z
1,Fri Feb 17 2023,19:45,GMT/+0000,Cork City,1-2,0-1,Bohemian FC,2023-02-17T19:45Z
1,Sat Feb 18 2023,19:45,GMT/+0000,Sligo Rovers,1-1,0-1,Shamrock Rovers,2023-02-18T19:45Z
2,Fri Feb 24 2023,19:45,GMT/+0000,Bohemian FC,2-1,1-0,Dundalk FC,2023-02-24T19:45Z
2,Fri Feb 24 2023,19:45,GMT/+0000,Derry City,2-0,1-0,Cork City,2023-02-24T19:45Z
2,Fri Feb 24 2023,19:45,GMT/+0000,Drogheda United,1-1,0-0,Shamrock Rovers,2023-02-24T19:45Z
2,Fri Feb 24 2023,19:45,GMT/+0000,St Patrick's Athletic,1-0,0-0,Shelbourne FC,2023-02-24T19:45Z
2,Fri Feb 24 2023,19:45,GMT/+0000,UC Dublin,2-3,1-1,Sligo Rovers,2023-02-24T19:45Z
3,Fri Mar 3 2023,19:45,GMT/+0000,Cork City,4-0,2-0,UC Dublin,2023-03-03T19:45Z
3,Fri Mar 3 2023,19:45,GMT/+0000,Drogheda United,1-0,0-0,Sligo Rovers,2023-03-03T19:45Z
3,Fri Mar 3 2023,19:45,GMT/+0000,Dundalk FC,5-0,2-0,St Patrick's Athletic,2023-03-03T19:45Z
3,Fri Mar 3 2023,19:45,GMT/+0000,Shelbourne FC,1-0,0-0,Bohemian FC,2023-03-03T19:45Z
3,Fri Mar 3 2023,20:00,GMT/+0000,Shamrock Rovers,1-2,1-1,Derry City,2023-03-03T20:00Z
4,Mon Mar 6 2023,19:45,GMT/+0000,Bohemian FC,3-1,2-1,Drogheda United,2023-03-06T19:45Z
4,Mon Mar 6 2023,19:45,GMT/+0000,Dundalk FC,2-1,0-1,Shelbourne FC,2023-03-06T19:45Z
4,Mon Mar 6 2023,19:45,GMT/+0000,Sligo Rovers,2-1,1-0,St Patrick's Athletic,2023-03-06T19:45Z
4,Mon Mar 6 2023,19:45,GMT/+0000,UC Dublin,0-4,0-2,Derry City,2023-03-06T19:45Z
4,Mon Mar 6 2023,20:00,GMT/+0000,Shamrock Rovers,4-4,1-2,Cork City,2023-03-06T20:00Z
5,Fri Mar 10 2023,19:45,GMT/+0000,Shelbourne FC,0-0,0-0,Shamrock Rovers,2023-03-10T19:45Z
5,Fri Mar 10 2023,19:45,GMT/+0000,St Patrick's Athletic,0-2,0-1,Bohemian FC,2023-03-10T19:45Z
5,Fri Mar 10 2023,19:45,GMT/+0000,UC Dublin,0-1,0-0,Drogheda United,2023-03-10T19:45Z
5,Fri Mar 10 2023,19:45,GMT/+0000,Derry City,0-0,0-0,Dundalk FC,2023-03-10T19:45Z
5,Sat Mar 11 2023,19:45,GMT/+0000,Sligo Rovers,2-2,0-1,Cork City,2023-03-11T19:45Z
6,Thu Mar 16 2023,19:45,GMT/+0000,Drogheda United,0-1,0-0,Dundalk FC,2023-03-16T19:45Z
6,Fri Mar 17 2023,17:00,GMT/+0000,Shamrock Rovers,2-2,1-1,St Patrick's Athletic,2023-03-17T17:00Z
6,Fri Mar 17 2023,19:45,GMT/+0000,Bohemian FC,2-1,0-1,UC Dublin,2023-03-17T19:45Z
6,Fri Mar 17 2023,19:45,GMT/+0000,Derry City,1-1,0-1,Sligo Rovers,2023-03-17T19:45Z
6,Fri Mar 17 2023,17:00,GMT/+0000,Cork City,0-2,0-1,Shelbourne FC,2023-03-17T17:00Z
7,Fri Mar 31 2023,19:45,IST/+0100,Cork City,1-1,1-1,Drogheda United,2023-03-31T18:45Z
7,Fri Mar 31 2023,19:45,IST/+0100,Dundalk FC,0-4,0-2,Shamrock Rovers,2023-03-31T18:45Z
7,Fri Mar 31 2023,19:45,IST/+0100,Shelbourne FC,0-1,0-1,Derry City,2023-03-31T18:45Z
7,Fri Mar 31 2023,19:45,IST/+0100,St Patrick's Athletic,3-0,2-0,UC Dublin,2023-03-31T18:45Z
7,Sat Apr 1 2023,19:45,IST/+0100,Sligo Rovers,0-1,0-0,Bohemian FC,2023-04-01T18:45Z
8,Fri Apr 7 2023,19:45,IST/+0100,Bohemian FC,0-2,0-1,Shamrock Rovers,2023-04-07T18:45Z
8,Fri Apr 7 2023,19:45,IST/+0100,Derry City,0-1,0-0,Drogheda United,2023-04-07T18:45Z
8,Fri Apr 7 2023,19:45,IST/+0100,Dundalk FC,1-2,1-1,Sligo Rovers,2023-04-07T18:45Z
8,Fri Apr 7 2023,19:45,IST/+0100,St Patrick's Athletic,4-0,1-0,Cork City,2023-04-07T18:45Z
8,Fri Apr 7 2023,19:45,IST/+0100,UC Dublin,0-0,0-0,Shelbourne FC,2023-04-07T18:45Z
9,Mon Apr 10 2023,19:00,IST/+0100,Derry City,0-1,0-0,Bohemian FC,2023-04-10T18:00Z
9,Mon Apr 10 2023,19:45,IST/+0100,Drogheda United,1-3,1-2,St Patrick's Athletic,2023-04-10T18:45Z
9,Mon Apr 10 2023,19:45,IST/+0100,Shelbourne FC,2-1,0-1,Sligo Rovers,2023-04-10T18:45Z
9,Mon Apr 10 2023,20:00,IST/+0100,Shamrock Rovers,3-0,2-0,UC Dublin,2023-04-10T19:00Z
9,Mon Apr 10 2023,17:00,IST/+0100,Cork City,1-0,1-0,Dundalk FC,2023-04-10T16:00Z
10,Fri Apr 14 2023,19:45,IST/+0100,UC Dublin,1-0,1-0,Cork City,2023-04-14T18:45Z
10,Fri Apr 14 2023,19:45,IST/+0100,Shamrock Rovers,2-2,0-1,Shelbourne FC,2023-04-14T18:45Z
10,Fri Apr 14 2023,19:45,IST/+0100,Bohemian FC,2-3,1-3,St Patrick's Athletic,2023-04-14T18:45Z
10,Sat Apr 15 2023,19:45,IST/+0100,Sligo Rovers,1-1,0-0,Drogheda United,2023-04-15T18:45Z
10,Sun Apr 16 2023,15:00,IST/+0100,Dundalk FC,2-2,0-1,Derry City,2023-04-16T14:00Z
11,Fri Apr 21 2023,19:45,IST/+0100,Drogheda United,0-2,0-1,Bohemian FC,2023-04-21T18:45Z
11,Fri Apr 21 2023,19:45,IST/+0100,Shelbourne FC,1-1,0-0,Dundalk FC,2023-04-21T18:45Z
11,Fri Apr 21 2023,19:45,IST/+0100,St Patrick's Athletic,0-2,0-1,Shamrock Rovers,2023-04-21T18:45Z
11,Fri Apr 21 2023,19:45,IST/+0100,Cork City,1-3,0-1,Derry City,2023-04-21T18:45Z
11,Sat Apr 22 2023,19:45,IST/+0100,Sligo Rovers,3-1,2-1,UC Dublin,2023-04-22T18:45Z
12,Fri Apr 28 2023,19:45,IST/+0100,Derry City,2-0,0-0,St Patrick's Athletic,2023-04-28T18:45Z
12,Fri Apr 28 2023,19:45,IST/+0100,Dundalk FC,3-2,2-0,Drogheda United,2023-04-28T18:45Z
12,Fri Apr 28 2023,19:45,IST/+0100,Shelbourne FC,2-1,0-0,Cork City,2023-04-28T18:45Z
12,Fri Apr 28 2023,19:45,IST/+0100,UC Dublin,1-1,0-0,Bohemian FC,2023-04-28T18:45Z
12,Fri Apr 28 2023,20:00,IST/+0100,Shamrock Rovers,2-1,1-0,Sligo Rovers,2023-04-28T19:00Z
13,Mon May 1 2023,17:00,IST/+0100,Bohemian FC,5-0,1-0,Cork City,2023-05-01T16:00Z
13,Mon May 1 2023,17:00,IST/+0100,Drogheda United,1-1,0-0,Shelbourne FC,2023-05-01T16:00Z
13,Mon May 1 2023,17:00,IST/+0100,UC Dublin,0-2,0-1,Dundalk FC,2023-05-01T16:00Z
13,Mon May 1 2023,19:15,IST/+0100,Derry City,0-2,0-2,Shamrock Rovers,2023-05-01T18:15Z
13,Mon May 1 2023,15:00,IST/+0100,St Patrick's Athletic,0-1,0-0,Sligo Rovers,2023-05-01T14:00Z
14,Fri May 5 2023,19:45,IST/+0100,Cork City,2-3,2-1,St Patrick's Athletic,2023-05-05T18:45Z
14,Fri May 5 2023,19:45,IST/+0100,Drogheda United,0-1,0-1,Derry City,2023-05-05T18:45Z
14,Fri May 5 2023,19:45,IST/+0100,Shelbourne FC,1-0,1-0,UC Dublin,2023-05-05T18:45Z
14,Fri May 5 2023,19:45,IST/+0100,Shamrock Rovers,2-0,0-0,Bohemian FC,2023-05-05T18:45Z
14,Sat May 6 2023,19:45,IST/+0100,Sligo Rovers,0-1,0-0,Dundalk FC,2023-05-06T18:45Z
15,Fri May 12 2023,19:45,IST/+0100,Bohemian FC,0-1,0-1,Derry City,2023-05-12T18:45Z
