Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jan 27 2023,21:30,-0300,Defensa y Justicia,2-4,1-2,Huracán,2023-01-28T00:30Z
1,Fri Jan 27 2023,19:15,-0300,Rosario Central,1-0,1-0,Argentinos Juniors,2023-01-27T22:15Z
1,Sat Jan 28 2023,19:15,-0300,Estudiantes,1-2,0-1,Tigre,2023-01-28T22:15Z
1,Sat Jan 28 2023,19:15,-0300,Talleres de Córdoba,0-1,0-0,Independiente,2023-01-28T22:15Z
1,Sat Jan 28 2023,21:30,-0300,Central Córdoba SdE,0-2,0-1,River Plate,2023-01-29T00:30Z
1,Sat Jan 28 2023,17:00,-0300,San Lorenzo,1-0,0-0,Arsenal de Sarandí,2023-01-28T20:00Z
1,Sun Jan 29 2023,17:00,-0300,Platense,2-2,1-1,Newell's Old Boys,2023-01-29T20:00Z
1,Sun Jan 29 2023,19:15,-0300,Racing Club,0-0,0-0,Belgrano de Córdoba,2023-01-29T22:15Z
1,Sun Jan 29 2023,19:15,-0300,Colón de Santa Fe,1-2,0-1,Lanús,2023-01-29T22:15Z
1,Sun Jan 29 2023,19:15,-0300,Instituto de Córdoba,0-0,0-0,Sarmiento de Junín,2023-01-29T22:15Z
1,Sun Jan 29 2023,21:30,-0300,Boca Juniors,1-0,0-0,Atlético Tucumán,2023-01-30T00:30Z
1,Mon Jan 30 2023,20:00,-0300,Banfield,0-0,0-0,Unión de Santa Fe,2023-01-30T23:00Z
1,Mon Jan 30 2023,20:00,-0300,Vélez Sarsfield,3-1,1-0,Gimnasia de La Plata,2023-01-30T23:00Z
1,Mon Jan 30 2023,17:00,-0300,Barracas Central,0-1,0-1,Godoy Cruz,2023-01-30T20:00Z
2,Fri Feb 3 2023,20:00,-0300,Tigre,2-2,1-1,Rosario Central,2023-02-03T23:00Z
2,Fri Feb 3 2023,20:00,-0300,Newell's Old Boys,1-0,0-0,Vélez Sarsfield,2023-02-03T23:00Z
2,Sat Feb 4 2023,17:00,-0300,Sarmiento de Junín,3-5,1-2,Barracas Central,2023-02-04T20:00Z
2,Sat Feb 4 2023,17:00,-0300,Arsenal de Sarandí,1-1,1-1,Estudiantes,2023-02-04T20:00Z
2,Sat Feb 4 2023,19:15,-0300,Belgrano de Córdoba,2-1,1-0,River Plate,2023-02-04T22:15Z
2,Sat Feb 4 2023,21:30,-0300,Lanús,2-1,2-0,San Lorenzo,2023-02-05T00:30Z
2,Sat Feb 4 2023,21:30,-0300,Argentinos Juniors,1-0,0-0,Racing Club,2023-02-05T00:30Z
2,Sun Feb 5 2023,17:00,-0300,Independiente,1-2,0-1,Platense,2023-02-05T20:00Z
2,Sun Feb 5 2023,19:15,-0300,Boca Juniors,0-0,0-0,Central Córdoba SdE,2023-02-05T22:15Z
2,Sun Feb 5 2023,21:30,-0300,Atlético Tucumán,0-2,0-0,Talleres de Córdoba,2023-02-06T00:30Z
2,Sun Feb 5 2023,21:30,-0300,Unión de Santa Fe,0-2,0-2,Instituto de Córdoba,2023-02-06T00:30Z
2,Sun Feb 5 2023,21:30,-0300,Godoy Cruz,1-0,0-0,Colón de Santa Fe,2023-02-06T00:30Z
2,Mon Feb 6 2023,21:30,-0300,Huracán,3-2,3-1,Banfield,2023-02-07T00:30Z
2,Mon Feb 6 2023,18:00,-0300,Gimnasia de La Plata,0-2,0-0,Defensa y Justicia,2023-02-06T21:00Z
