Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,7,Sun Feb 26 2023,16:00,-0300,Ipatinga MG,1-1,0-0,Pouso Alegre MG,,2023-02-26T19:00Z
,7,Mon Feb 27 2023,19:00,-0300,Tombense MG,3-0,0-0,Villa Nova MG,,2023-02-27T22:00Z
,2,Wed Mar 1 2023,20:00,-0300,Ipatinga MG,2-1,0-1,Atlético Patrocinense MG,,2023-03-01T23:00Z
,8,Sat Mar 4 2023,16:30,-0300,Democrata Gov. Valadares MG,0-3,0-1,Atlético Mineiro,,2023-03-04T19:30Z
,8,Sat Mar 4 2023,16:30,-0300,Cruzeiro,1-1,1-1,Democrata de Sete Lagoas MG,,2023-03-04T19:30Z
,8,Sat Mar 4 2023,16:30,-0300,América MG,3-1,0-0,Tombense MG,,2023-03-04T19:30Z
,8,Sat Mar 4 2023,16:30,-0300,Villa Nova MG,1-0,0-0,Atlético Patrocinense MG,,2023-03-04T19:30Z
,8,Sat Mar 4 2023,16:30,-0300,Pouso Alegre MG,1-1,0-0,Caldense MG,,2023-03-04T19:30Z
,8,Sat Mar 4 2023,16:30,-0300,Athletic MG,2-0,1-0,Ipatinga MG,,2023-03-04T19:30Z
Fase final,Semifinals,Sat Mar 11 2023,16:30,-0300,Cruzeiro,0-2,0-1,América MG,,2023-03-11T19:30Z
Troféu Inconfidência,Semifinals,Sat Mar 11 2023,18:00,-0300,Pouso Alegre MG,2-2,1-2,Tombense MG,,2023-03-11T21:00Z
Fase final,Semifinals,Sun Mar 12 2023,16:00,-0300,Athletic MG,1-0,1-0,Atlético Mineiro,,2023-03-12T19:00Z
Descenso,1,Sun Mar 12 2023,10:00,-0300,Atlético Patrocinense MG,2-0,1-0,Democrata de Sete Lagoas MG,,2023-03-12T13:00Z
Troféu Inconfidência,Semifinals,Mon Mar 13 2023,20:30,-0300,Democrata Gov. Valadares MG,0-2,0-1,Villa Nova MG,,2023-03-13T23:30Z
Fase final,Semifinals,Sat Mar 18 2023,16:30,-0300,Atlético Mineiro,1-0,0-0,Athletic MG,,2023-03-18T19:30Z
Troféu Inconfidência,Semifinals,Sat Mar 18 2023,18:00,-0300,Tombense MG,0-0,0-0,Pouso Alegre MG,,2023-03-18T21:00Z
Descenso,2,Sat Mar 18 2023,18:00,-0300,Democrata de Sete Lagoas MG,1-0,1-0,Caldense MG,,2023-03-18T21:00Z
