Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Mar 3 2023,19:00,EET/+0200,FC Flora,4-0,2-0,Harju JK,2023-03-03T17:00Z
1,Sat Mar 4 2023,17:00,EET/+0200,JK Tallinna Kalev,0-0,0-0,JK Nõmme Kalju,2023-03-04T15:00Z
1,Sun Mar 5 2023,16:00,EET/+0200,FCI Levadia,0-0,0-0,Pärnu JK Vaprus,2023-03-05T14:00Z
1,Sun Mar 5 2023,14:00,EET/+0200,Paide Linnameeskond,2-1,1-1,JK Narva Trans,2023-03-05T12:00Z
2,Tue Mar 7 2023,18:00,EET/+0200,FC Kuressaare,1-1,0-0,Harju JK,2023-03-07T16:00Z
3,Tue Mar 14 2023,18:00,EET/+0200,FC Flora,5-0,2-0,JK Narva Trans,2023-03-14T16:00Z
3,Wed Mar 15 2023,19:00,EET/+0200,Paide Linnameeskond,0-1,0-0,FC Kuressaare,2023-03-15T17:00Z
3,Wed Mar 15 2023,18:00,EET/+0200,FCI Levadia,3-0,2-0,JK Tammeka,2023-03-15T16:00Z
3,Wed Mar 15 2023,18:00,EET/+0200,Harju JK,0-2,0-1,JK Tallinna Kalev,2023-03-15T16:00Z
3,Thu Mar 16 2023,18:00,EET/+0200,Pärnu JK Vaprus,1-1,0-1,JK Nõmme Kalju,2023-03-16T16:00Z
4,Sat Mar 18 2023,17:00,EET/+0200,JK Narva Trans,0-2,0-1,FCI Levadia,2023-03-18T15:00Z
4,Sat Mar 18 2023,19:30,EET/+0200,JK Tallinna Kalev,0-2,0-0,FC Flora,2023-03-18T17:30Z
4,Sun Mar 19 2023,17:00,EET/+0200,JK Tammeka,0-0,0-0,Paide Linnameeskond,2023-03-19T15:00Z
4,Sun Mar 19 2023,14:30,EET/+0200,Harju JK,1-2,0-0,JK Nõmme Kalju,2023-03-19T12:30Z
4,Sun Mar 19 2023,12:30,EET/+0200,FC Kuressaare,1-2,0-0,Pärnu JK Vaprus,2023-03-19T10:30Z
