Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
Taça Guanabara,5,Thu Jan 12 2023,21:30,-0300,Flamengo RJ,1-0,0-0,Audax RJ,2023-01-13T00:30Z
Taça Guanabara,1,Sat Jan 14 2023,16:00,-0300,Resende FC RJ,0-2,0-1,Fluminense RJ,2023-01-14T19:00Z
Taça Guanabara,1,Sat Jan 14 2023,18:00,-0300,Vasco da Gama RJ,0-0,0-0,Madureira RJ,2023-01-14T21:00Z
Taça Guanabara,1,Sat Jan 14 2023,15:30,-0300,Nova Iguaçu RJ,0-0,0-0,Volta Redonda RJ,2023-01-14T18:30Z
Taça Guanabara,1,Sun Jan 15 2023,15:30,-0300,Boavista RJ,2-2,2-0,Bangu RJ,2023-01-15T18:30Z
Taça Guanabara,1,Sun Jan 15 2023,18:00,-0300,Flamengo RJ,4-1,2-1,Portuguesa RJ,2023-01-15T21:00Z
Taça Guanabara,1,Sun Jan 15 2023,16:00,-0300,Botafogo RJ,0-1,0-1,Audax RJ,2023-01-15T19:00Z
Taça Guanabara,2,Tue Jan 17 2023,21:10,-0300,Fluminense RJ,1-0,1-0,Nova Iguaçu RJ,2023-01-18T00:10Z
Taça Guanabara,2,Wed Jan 18 2023,21:00,-0300,Portuguesa RJ,1-0,0-0,Boavista RJ,2023-01-19T00:00Z
Taça Guanabara,2,Wed Jan 18 2023,19:00,-0300,Madureira RJ,0-0,0-0,Flamengo RJ,2023-01-18T22:00Z
Taça Guanabara,2,Wed Jan 18 2023,15:30,-0300,Bangu RJ,1-0,0-0,Resende FC RJ,2023-01-18T18:30Z
Taça Guanabara,2,Thu Jan 19 2023,19:30,-0300,Volta Redonda RJ,1-2,0-1,Botafogo RJ,2023-01-19T22:30Z
Taça Guanabara,2,Thu Jan 19 2023,21:10,-0300,Audax RJ,1-1,1-1,Vasco da Gama RJ,2023-01-20T00:10Z
Taça Guanabara,3,Sat Jan 21 2023,20:00,-0300,Portuguesa RJ,0-1,0-0,Bangu RJ,2023-01-21T23:00Z
Taça Guanabara,3,Sat Jan 21 2023,16:00,-0300,Flamengo RJ,5-0,2-0,Nova Iguaçu RJ,2023-01-21T19:00Z
Taça Guanabara,3,Sun Jan 22 2023,18:00,-0300,Madureira RJ,0-1,0-1,Fluminense RJ,2023-01-22T21:00Z
Taça Guanabara,3,Sun Jan 22 2023,16:00,-0300,Volta Redonda RJ,3-2,1-1,Audax RJ,2023-01-22T19:00Z
Taça Guanabara,3,Sun Jan 22 2023,15:30,-0300,Resende FC RJ,2-1,1-1,Boavista RJ,2023-01-22T18:30Z
Taça Guanabara,4,Tue Jan 24 2023,21:10,-0300,Bangu RJ,1-1,1-0,Flamengo RJ,2023-01-25T00:10Z
Taça Guanabara,4,Wed Jan 25 2023,15:30,-0300,Audax RJ,1-1,0-0,Nova Iguaçu RJ,2023-01-25T18:30Z
Taça Guanabara,4,Wed Jan 25 2023,19:00,-0300,Volta Redonda RJ,5-1,4-1,Resende FC RJ,2023-01-25T22:00Z
Taça Guanabara,4,Wed Jan 25 2023,21:10,-0300,Portuguesa RJ,0-2,0-1,Vasco da Gama RJ,2023-01-26T00:10Z
Taça Guanabara,4,Thu Jan 26 2023,21:10,-0300,Fluminense RJ,1-1,1-0,Boavista RJ,2023-01-27T00:10Z
Taça Guanabara,4,Thu Jan 26 2023,19:30,-0300,Botafogo RJ,2-0,0-0,Madureira RJ,2023-01-26T22:30Z
Taça Guanabara,5,Sat Jan 28 2023,15:30,-0300,Nova Iguaçu RJ,1-0,1-0,Bangu RJ,2023-01-28T18:30Z
Taça Guanabara,5,Sun Jan 29 2023,15:30,-0300,Resende FC RJ,0-0,0-0,Portuguesa RJ,2023-01-29T18:30Z
Taça Guanabara,5,Sun Jan 29 2023,18:00,-0300,Fluminense RJ,0-1,0-0,Botafogo RJ,2023-01-29T21:00Z
Taça Guanabara,5,Sun Jan 29 2023,20:15,-0300,Boavista RJ,0-2,0-1,Madureira RJ,2023-01-29T23:15Z
Taça Guanabara,5,Mon Jan 30 2023,20:00,-0300,Vasco da Gama RJ,1-2,0-2,Volta Redonda RJ,2023-01-30T23:00Z
Taça Guanabara,6,Wed Feb 1 2023,21:10,-0300,Flamengo RJ,1-0,0-0,Boavista RJ,2023-02-02T00:10Z
Taça Guanabara,6,Wed Feb 1 2023,15:30,-0300,Audax RJ,0-0,0-0,Bangu RJ,2023-02-01T18:30Z
Taça Guanabara,6,Wed Feb 1 2023,19:00,-0300,Botafogo RJ,0-0,0-0,Nova Iguaçu RJ,2023-02-01T22:00Z
Taça Guanabara,6,Thu Feb 2 2023,15:30,-0300,Madureira RJ,1-1,0-1,Portuguesa RJ,2023-02-02T18:30Z
Taça Guanabara,6,Thu Feb 2 2023,19:00,-0300,Vasco da Gama RJ,5-0,2-0,Resende FC RJ,2023-02-02T22:00Z
Taça Guanabara,6,Thu Feb 2 2023,21:10,-0300,Volta Redonda RJ,1-0,0-0,Fluminense RJ,2023-02-03T00:10Z
Taça Guanabara,7,Sun Feb 5 2023,15:30,-0300,Bangu RJ,1-0,0-0,Madureira RJ,2023-02-05T18:30Z
Taça Guanabara,7,Sun Feb 5 2023,16:00,-0300,Boavista RJ,0-4,0-3,Botafogo RJ,2023-02-05T19:00Z
