Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
Taça Guanabara,7,Sun Feb 5 2023,18:00,-0300,Fluminense RJ,3-0,2-0,Audax RJ,2023-02-05T21:00Z
Taça Guanabara,7,Mon Feb 6 2023,15:30,-0300,Portuguesa RJ,3-1,2-1,Volta Redonda RJ,2023-02-06T18:30Z
Taça Guanabara,7,Tue Feb 7 2023,21:10,-0300,Nova Iguaçu RJ,0-2,0-1,Vasco da Gama RJ,2023-02-08T00:10Z
Taça Guanabara,8,Sat Feb 11 2023,19:00,-0300,Botafogo RJ,2-0,0-0,Bangu RJ,2023-02-11T22:00Z
Taça Guanabara,8,Sat Feb 11 2023,15:30,-0300,Nova Iguaçu RJ,1-1,0-1,Portuguesa RJ,2023-02-11T18:30Z
Taça Guanabara,8,Sat Feb 11 2023,15:30,-0300,Madureira RJ,1-0,0-0,Resende FC RJ,2023-02-11T18:30Z
Taça Guanabara,8,Sun Feb 12 2023,15:30,-0300,Audax RJ,3-2,2-2,Boavista RJ,2023-02-12T18:30Z
Taça Guanabara,8,Sun Feb 12 2023,18:00,-0300,Fluminense RJ,2-0,0-0,Vasco da Gama RJ,2023-02-12T21:00Z
Taça Guanabara,8,Wed Feb 15 2023,21:10,-0300,Volta Redonda RJ,1-3,1-0,Flamengo RJ,2023-02-16T00:10Z
Taça Guanabara,3,Thu Feb 16 2023,20:30,-0300,Vasco da Gama RJ,2-0,0-0,Botafogo RJ,2023-02-16T23:30Z
Taça Guanabara,7,Sat Feb 18 2023,16:00,-0300,Resende FC RJ,0-2,0-0,Flamengo RJ,2023-02-18T19:00Z
Taça Guanabara,9,Sat Feb 25 2023,15:30,-0300,Nova Iguaçu RJ,1-0,0-0,Resende FC RJ,2023-02-25T18:30Z
Taça Guanabara,9,Sat Feb 25 2023,16:00,-0300,Fluminense RJ,3-0,0-0,Portuguesa RJ,2023-02-25T19:00Z
Taça Guanabara,9,Sat Feb 25 2023,18:00,-0300,Botafogo RJ,0-1,0-1,Flamengo RJ,2023-02-25T21:00Z
Taça Guanabara,9,Sun Feb 26 2023,15:30,-0300,Bangu RJ,0-4,0-3,Volta Redonda RJ,2023-02-26T18:30Z
Taça Guanabara,9,Mon Feb 27 2023,19:30,-0300,Vasco da Gama RJ,4-1,2-0,Boavista RJ,2023-02-27T22:30Z
Taça Guanabara,9,Mon Feb 27 2023,15:30,-0300,Audax RJ,3-1,2-1,Madureira RJ,2023-02-27T18:30Z
Taça Guanabara,10,Fri Mar 3 2023,15:30,-0300,Portuguesa RJ,1-1,0-0,Audax RJ,2023-03-03T18:30Z
Taça Guanabara,10,Sat Mar 4 2023,16:00,-0300,Bangu RJ,0-5,0-2,Fluminense RJ,2023-03-04T19:00Z
Taça Guanabara,10,Sat Mar 4 2023,19:30,-0300,Boavista RJ,1-0,0-0,Nova Iguaçu RJ,2023-03-04T22:30Z
Taça Guanabara,10,Sat Mar 4 2023,15:30,-0300,Madureira RJ,0-6,0-3,Volta Redonda RJ,2023-03-04T18:30Z
Taça Guanabara,10,Sun Mar 5 2023,16:00,-0300,Resende FC RJ,0-2,0-1,Botafogo RJ,2023-03-05T19:00Z
Taça Guanabara,10,Sun Mar 5 2023,18:10,-0300,Flamengo RJ,0-1,0-0,Vasco da Gama RJ,2023-03-05T21:10Z
Taça Guanabara,11,Wed Mar 8 2023,21:10,-0300,Botafogo RJ,0-1,0-1,Portuguesa RJ,2023-03-09T00:10Z
Taça Guanabara,11,Wed Mar 8 2023,21:10,-0300,Resende FC RJ,0-2,0-0,Audax RJ,2023-03-09T00:10Z
Taça Guanabara,11,Wed Mar 8 2023,21:10,-0300,Boavista RJ,3-3,1-1,Volta Redonda RJ,2023-03-09T00:10Z
Taça Guanabara,11,Wed Mar 8 2023,21:10,-0300,Flamengo RJ,1-2,1-0,Fluminense RJ,2023-03-09T00:10Z
Taça Guanabara,11,Thu Mar 9 2023,19:30,-0300,Vasco da Gama RJ,2-0,1-0,Bangu RJ,2023-03-09T22:30Z
Taça Guanabara,11,Thu Mar 9 2023,15:30,-0300,Nova Iguaçu RJ,4-0,3-0,Madureira RJ,2023-03-09T18:30Z
Taça Guanabara Finals,Semifinals,Sun Mar 12 2023,18:00,-0300,Volta Redonda RJ,2-1,1-0,Fluminense RJ,2023-03-12T21:00Z
Taça Guanabara Finals,Semifinals,Mon Mar 13 2023,21:25,-0300,Flamengo RJ,3-2,2-1,Vasco da Gama RJ,2023-03-14T00:25Z
Taça Rio,Semifinals,Sat Mar 18 2023,15:30,-0300,Nova Iguaçu RJ,1-1,0-0,Audax RJ,2023-03-18T18:30Z
Taça Rio,Semifinals,Sat Mar 18 2023,18:00,-0300,Portuguesa RJ,0-0,0-0,Botafogo RJ,2023-03-18T21:00Z
Taça Guanabara Finals,Semifinals,Sat Mar 18 2023,16:00,-0300,Fluminense RJ,7-0,5-0,Volta Redonda RJ,2023-03-18T19:00Z
Taça Guanabara Finals,Semifinals,Sun Mar 19 2023,18:00,-0300,Vasco da Gama RJ,1-3,1-1,Flamengo RJ,2023-03-19T21:00Z
Taça Rio,Semifinals,Sun Mar 26 2023,15:30,-0300,Audax RJ,1-0,1-0,Nova Iguaçu RJ,2023-03-26T18:30Z
Taça Rio,Semifinals,Mon Mar 27 2023,20:00,-0300,Botafogo RJ,3-1,1-1,Portuguesa RJ,2023-03-27T23:00Z
Taça Guanabara Finals,Final,Sat Apr 1 2023,20:30,-0300,Flamengo RJ,2-0,0-0,Fluminense RJ,2023-04-01T23:30Z
Taça Rio,Final,Sun Apr 2 2023,18:00,-0300,Audax RJ,1-2,1-0,Botafogo RJ,2023-04-02T21:00Z
Taça Rio,Final,Sun Apr 9 2023,16:00,-0300,Botafogo RJ,5-2,3-1,Audax RJ,2023-04-09T19:00Z
Taça Guanabara Finals,Final,Sun Apr 9 2023,18:00,-0300,Fluminense RJ,4-1,2-0,Flamengo RJ,2023-04-09T21:00Z
