Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Mar 3 2023,19:30,EET/+0200,FK Riteriai,0-1,0-0,FA Šiauliai,,2023-03-03T17:30Z
1,Sat Mar 4 2023,20:00,EET/+0200,FC Hegelmann,3-0,1-0,DFK Dainava,,2023-03-04T18:00Z
1,Sat Mar 4 2023,17:00,EET/+0200,FK Sūduva,2-4,1-1,Kauno Žalgiris,,2023-03-04T15:00Z
1,Sun Mar 5 2023,17:55,EET/+0200,FK Žalgiris,2-3,2-2,FC Džiugas,,2023-03-05T15:55Z
1,Sun Mar 5 2023,15:00,EET/+0200,Banga Gargždai,0-4,0-2,FK Panevėžys,,2023-03-05T13:00Z
2,Fri Mar 10 2023,20:00,EET/+0200,Kauno Žalgiris,0-0,0-0,FA Šiauliai,,2023-03-10T18:00Z
2,Sat Mar 11 2023,17:30,EET/+0200,FK Žalgiris,1-0,0-0,Banga Gargždai,,2023-03-11T15:30Z
2,Sat Mar 11 2023,13:00,EET/+0200,FK Sūduva,2-0,1-0,FC Hegelmann,,2023-03-11T11:00Z
2,Sun Mar 12 2023,17:55,EET/+0200,FK Riteriai,0-4,0-2,FK Panevėžys,,2023-03-12T15:55Z
2,Sun Mar 12 2023,15:00,EET/+0200,FC Džiugas,0-1,0-0,DFK Dainava,,2023-03-12T13:00Z
3,Tue Mar 14 2023,18:00,EET/+0200,FA Šiauliai,3-1,1-0,FC Hegelmann,,2023-03-14T16:00Z
3,Tue Mar 14 2023,20:00,EET/+0200,Kauno Žalgiris,1-1,0-1,FK Žalgiris,,2023-03-14T18:00Z
3,Wed Mar 15 2023,19:00,EET/+0200,FK Sūduva,0-2,0-1,FK Panevėžys,,2023-03-15T17:00Z
3,Wed Mar 15 2023,19:30,EET/+0200,FK Riteriai,0-0,0-0,DFK Dainava,,2023-03-15T17:30Z
3,Wed Mar 15 2023,18:00,EET/+0200,Banga Gargždai,2-0,1-0,FC Džiugas,,2023-03-15T16:00Z
4,Sat Mar 18 2023,15:00,EET/+0200,FC Hegelmann,2-0,1-0,FC Džiugas,,2023-03-18T13:00Z
4,Sat Mar 18 2023,17:00,EET/+0200,DFK Dainava,2-1,0-1,Banga Gargždai,,2023-03-18T15:00Z
4,Sun Mar 19 2023,15:00,EET/+0200,FA Šiauliai,3-0,3-0,FK Sūduva,,2023-03-19T13:00Z
4,Sun Mar 19 2023,17:55,EET/+0200,FK Žalgiris,1-0,0-0,FK Riteriai,,2023-03-19T15:55Z
