Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Jan 21 2023,19:00,-0300,Internacional,2-2,0-1,Juventude RS,,2023-01-21T22:00Z
,1,Sat Jan 21 2023,19:00,-0300,São Luiz RS,1-1,0-1,Ypiranga RS,,2023-01-21T22:00Z
,1,Sat Jan 21 2023,16:30,-0300,S.E.R. Caxias RS,1-2,1-1,Grêmio Porto Alegre,,2023-01-21T19:30Z
,1,Sun Jan 22 2023,16:00,-0300,Novo Hamburgo RS,0-0,0-0,Avenida RS,,2023-01-22T19:00Z
,1,Sun Jan 22 2023,16:00,-0300,Brasil de Pelotas RS,1-0,1-0,Aimoré RS,,2023-01-22T19:00Z
,1,Sun Jan 22 2023,19:00,-0300,Esportivo RS,1-2,0-0,São José RS,,2023-01-22T22:00Z
,2,Tue Jan 24 2023,19:00,-0300,Juventude RS,1-1,0-0,São Luiz RS,,2023-01-24T22:00Z
,2,Wed Jan 25 2023,21:30,-0300,Grêmio Porto Alegre,1-0,0-0,Brasil de Pelotas RS,,2023-01-26T00:30Z
,2,Wed Jan 25 2023,19:00,-0300,Avenida RS,1-1,1-0,Internacional,,2023-01-25T22:00Z
,2,Thu Jan 26 2023,19:00,-0300,Ypiranga RS,3-1,1-0,Novo Hamburgo RS,,2023-01-26T22:00Z
,2,Thu Jan 26 2023,19:00,-0300,São José RS,1-1,0-1,S.E.R. Caxias RS,,2023-01-26T22:00Z
,2,Thu Jan 26 2023,20:30,-0300,Aimoré RS,0-0,0-0,Esportivo RS,,2023-01-26T23:30Z
,3,Sat Jan 28 2023,16:30,-0300,Internacional,4-0,2-0,São Luiz RS,,2023-01-28T19:30Z
,3,Sun Jan 29 2023,16:00,-0300,Esportivo RS,0-1,0-0,Brasil de Pelotas RS,,2023-01-29T19:00Z
,3,Sun Jan 29 2023,19:00,-0300,S.E.R. Caxias RS,2-1,1-0,Aimoré RS,,2023-01-29T22:00Z
,3,Sun Jan 29 2023,20:30,-0300,São José RS,0-1,0-0,Grêmio Porto Alegre,,2023-01-29T23:30Z
,3,Sun Jan 29 2023,16:00,-0300,Avenida RS,1-0,1-0,Ypiranga RS,,2023-01-29T19:00Z
,3,Mon Jan 30 2023,20:00,-0300,Novo Hamburgo RS,0-0,0-0,Juventude RS,,2023-01-30T23:00Z
,4,Wed Feb 1 2023,19:00,-0300,Aimoré RS,0-1,0-1,São José RS,,2023-02-01T22:00Z
,4,Wed Feb 1 2023,20:00,-0300,Esportivo RS,0-2,0-0,Grêmio Porto Alegre,,2023-02-01T23:00Z
,4,Wed Feb 1 2023,21:30,-0300,Brasil de Pelotas RS,0-0,0-0,S.E.R. Caxias RS,,2023-02-02T00:30Z
,4,Thu Feb 2 2023,19:00,-0300,São Luiz RS,1-0,1-0,Novo Hamburgo RS,,2023-02-02T22:00Z
,4,Thu Feb 2 2023,20:00,-0300,Juventude RS,1-0,1-0,Avenida RS,,2023-02-02T23:00Z
,4,Thu Feb 2 2023,16:30,-0300,Internacional,3-0,1-0,Ypiranga RS,,2023-02-02T19:30Z
,5,Sat Feb 4 2023,16:30,-0300,Grêmio Porto Alegre,3-0,1-0,Aimoré RS,,2023-02-04T19:30Z
,5,Sun Feb 5 2023,16:00,-0300,S.E.R. Caxias RS,3-1,2-0,Esportivo RS,,2023-02-05T19:00Z
,5,Sun Feb 5 2023,18:30,-0300,Ypiranga RS,3-2,1-2,Juventude RS,,2023-02-05T21:30Z
,5,Sun Feb 5 2023,19:00,-0300,Avenida RS,1-0,1-0,São Luiz RS,,2023-02-05T22:00Z
,5,Sun Feb 5 2023,19:00,-0300,São José RS,0-0,0-0,Brasil de Pelotas RS,,2023-02-05T22:00Z
,5,Sun Feb 5 2023,20:30,-0300,Novo Hamburgo RS,0-0,0-0,Internacional,,2023-02-05T23:30Z
,6,Wed Feb 8 2023,20:00,-0300,São Luiz RS,0-0,0-0,Esportivo RS,,2023-02-08T23:00Z
,6,Wed Feb 8 2023,21:30,-0300,Internacional,2-2,1-0,S.E.R. Caxias RS,,2023-02-09T00:30Z
,6,Wed Feb 8 2023,19:00,-0300,Novo Hamburgo RS,2-0,0-0,Brasil de Pelotas RS,,2023-02-08T22:00Z
,6,Thu Feb 9 2023,19:00,-0300,Avenida RS,0-1,0-1,Aimoré RS,,2023-02-09T22:00Z
,6,Thu Feb 9 2023,19:30,-0300,Juventude RS,2-3,0-3,Grêmio Porto Alegre,,2023-02-09T22:30Z
,6,Thu Feb 9 2023,19:00,-0300,Ypiranga RS,3-1,0-0,São José RS,,2023-02-09T22:00Z
,7,Sat Feb 11 2023,19:00,-0300,Esportivo RS,0-0,0-0,Novo Hamburgo RS,,2023-02-11T22:00Z
,7,Sat Feb 11 2023,20:30,-0300,Brasil de Pelotas RS,0-1,0-0,Internacional,,2023-02-11T23:30Z
,7,Sun Feb 12 2023,16:00,-0300,S.E.R. Caxias RS,3-1,1-1,São Luiz RS,,2023-02-12T19:00Z
,7,Sun Feb 12 2023,19:00,-0300,Aimoré RS,1-2,1-1,Ypiranga RS,,2023-02-12T22:00Z
,7,Sun Feb 12 2023,16:00,-0300,Grêmio Porto Alegre,2-0,0-0,Avenida RS,,2023-02-12T19:00Z
,7,Mon Feb 13 2023,20:00,-0300,São José RS,1-1,0-1,Juventude RS,,2023-02-13T23:00Z
,8,Thu Feb 16 2023,21:30,-0300,Internacional,2-0,0-0,São José RS,,2023-02-17T00:30Z
,8,Thu Feb 16 2023,21:30,-0300,Juventude RS,2-1,0-0,Aimoré RS,,2023-02-17T00:30Z
,8,Thu Feb 16 2023,21:00,-0300,Novo Hamburgo RS,1-1,0-0,S.E.R. Caxias RS,,2023-02-17T00:00Z
,8,Sat Feb 18 2023,16:30,-0300,São Luiz RS,0-0,0-0,Grêmio Porto Alegre,,2023-02-18T19:30Z
,8,Sat Feb 18 2023,19:00,-0300,Ypiranga RS,2-2,1-1,Brasil de Pelotas RS,,2023-02-18T22:00Z
,8,Sat Feb 18 2023,19:00,-0300,Avenida RS,1-2,1-0,Esportivo RS,,2023-02-18T22:00Z
,9,Fri Feb 24 2023,20:00,-0300,Brasil de Pelotas RS,1-1,1-1,Avenida RS,,2023-02-24T23:00Z
,9,Fri Feb 24 2023,20:00,-0300,Grêmio Porto Alegre,6-1,5-0,Novo Hamburgo RS,,2023-02-24T23:00Z
,9,Sat Feb 25 2023,16:30,-0300,Aimoré RS,0-2,0-0,Internacional,,2023-02-25T19:30Z
,9,Mon Feb 27 2023,20:00,-0300,S.E.R. Caxias RS,2-2,1-0,Juventude RS,,2023-02-27T23:00Z
