Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
,1,Wed Apr 5 2023,18:00,EEST/+0300,KTP,0-2,0-1,AC Oulu,,,2023-04-05T15:00Z
,1,Wed Apr 5 2023,18:00,EEST/+0300,Kuopion PS,1-2,1-1,Inter Turku,,,2023-04-05T15:00Z
,1,Wed Apr 5 2023,18:00,EEST/+0300,SJK Seinäjoki,2-1,1-0,Haka Valkeakoski,,,2023-04-05T15:00Z
,1,Wed Apr 5 2023,18:00,EEST/+0300,Vaasan PS,0-0,0-0,FC Lahti,,,2023-04-05T15:00Z
,1,Wed Apr 5 2023,18:15,EEST/+0300,HJK Helsinki,2-0,1-0,FC Honka,,,2023-04-05T15:15Z
,1,Wed Apr 5 2023,18:00,EEST/+0300,IFK Mariehamn,1-1,1-0,Ilves Tampere,,,2023-04-05T15:00Z
,2,Fri Apr 14 2023,18:00,EEST/+0300,Haka Valkeakoski,2-2,2-0,AC Oulu,,,2023-04-14T15:00Z
,2,Fri Apr 14 2023,18:00,EEST/+0300,KTP,0-0,0-0,Kuopion PS,,,2023-04-14T15:00Z
,2,Sat Apr 15 2023,17:00,EEST/+0300,FC Honka,0-0,0-0,SJK Seinäjoki,,,2023-04-15T14:00Z
,2,Sat Apr 15 2023,18:30,EEST/+0300,Vaasan PS,0-1,0-0,HJK Helsinki,,,2023-04-15T15:30Z
,2,Sat Apr 15 2023,13:00,EEST/+0300,Ilves Tampere,2-1,2-1,Inter Turku,,,2023-04-15T10:00Z
,2,Sun Apr 16 2023,18:30,EEST/+0300,IFK Mariehamn,2-3,1-0,FC Lahti,,,2023-04-16T15:30Z
,16,Wed Apr 19 2023,18:00,EEST/+0300,Kuopion PS,0-1,0-0,FC Honka,,,2023-04-19T15:00Z
,19,Wed Apr 19 2023,18:00,EEST/+0300,HJK Helsinki,4-0,2-0,Vaasan PS,,,2023-04-19T15:00Z
,3,Sat Apr 22 2023,17:00,EEST/+0300,SJK Seinäjoki,0-0,0-0,FC Lahti,,,2023-04-22T14:00Z
,3,Sat Apr 22 2023,17:00,EEST/+0300,KTP,2-1,1-0,IFK Mariehamn,,,2023-04-22T14:00Z
,3,Sun Apr 23 2023,16:00,EEST/+0300,Kuopion PS,1-0,0-0,Ilves Tampere,,,2023-04-23T13:00Z
,3,Sun Apr 23 2023,18:30,EEST/+0300,HJK Helsinki,1-1,0-0,AC Oulu,,,2023-04-23T15:30Z
,3,Mon Apr 24 2023,18:00,EEST/+0300,Haka Valkeakoski,1-1,0-0,FC Honka,,,2023-04-24T15:00Z
,4,Sat Apr 29 2023,17:00,EEST/+0300,Ilves Tampere,1-0,1-0,KTP,,,2023-04-29T14:00Z
,4,Sat Apr 29 2023,17:00,EEST/+0300,Vaasan PS,0-0,0-0,FC Honka,,,2023-04-29T14:00Z
,4,Sat Apr 29 2023,17:00,EEST/+0300,AC Oulu,0-3,0-2,SJK Seinäjoki,,,2023-04-29T14:00Z
,4,Sat Apr 29 2023,15:00,EEST/+0300,HJK Helsinki,2-0,2-0,Haka Valkeakoski,,,2023-04-29T12:00Z
,4,Sun Apr 30 2023,16:00,EEST/+0300,IFK Mariehamn,0-2,0-0,Kuopion PS,,,2023-04-30T13:00Z
,5,Fri May 5 2023,18:00,EEST/+0300,FC Honka,3-0,2-0,FC Lahti,,,2023-05-05T15:00Z
,5,Fri May 5 2023,18:00,EEST/+0300,Ilves Tampere,1-2,1-0,AC Oulu,,,2023-05-05T15:00Z
,5,Fri May 5 2023,18:00,EEST/+0300,Haka Valkeakoski,4-2,1-2,KTP,,,2023-05-05T15:00Z
,5,Fri May 5 2023,18:00,EEST/+0300,SJK Seinäjoki,2-1,1-0,Inter Turku,,,2023-05-05T15:00Z
,5,Fri May 5 2023,18:00,EEST/+0300,Vaasan PS,2-1,1-0,IFK Mariehamn,,,2023-05-05T15:00Z
,5,Fri May 5 2023,18:15,EEST/+0300,Kuopion PS,2-1,1-1,HJK Helsinki,,,2023-05-05T15:15Z
,15,Tue May 9 2023,18:00,EEST/+0300,FC Honka,0-2,0-2,Haka Valkeakoski,,,2023-05-09T15:00Z
,18,Tue May 9 2023,18:00,EEST/+0300,AC Oulu,0-2,0-0,Kuopion PS,,,2023-05-09T15:00Z
,15,Tue May 9 2023,18:00,EEST/+0300,KTP,3-3,0-2,HJK Helsinki,,,2023-05-09T15:00Z
,6,Sat May 13 2023,17:00,EEST/+0300,HJK Helsinki,4-1,0-1,Inter Turku,,,2023-05-13T14:00Z
,6,Sat May 13 2023,17:00,EEST/+0300,SJK Seinäjoki,1-0,1-0,Ilves Tampere,,,2023-05-13T14:00Z
,6,Sat May 13 2023,18:30,EEST/+0300,IFK Mariehamn,2-1,1-1,Haka Valkeakoski,,,2023-05-13T15:30Z
,6,Sat May 13 2023,14:00,EEST/+0300,FC Lahti,0-0,0-0,KTP,,,2023-05-13T11:00Z
,6,Sat May 13 2023,17:00,EEST/+0300,AC Oulu,2-1,0-1,Vaasan PS,,,2023-05-13T14:00Z
,6,Sat May 13 2023,15:00,EEST/+0300,FC Honka,0-1,0-0,Kuopion PS,,,2023-05-13T12:00Z
,7,Sat May 20 2023,14:00,EEST/+0300,Kuopion PS,2-0,2-0,FC Lahti,,,2023-05-20T11:00Z
,7,Sun May 21 2023,16:00,EEST/+0300,Ilves Tampere,1-1,0-0,HJK Helsinki,,,2023-05-21T13:00Z
,7,Mon May 22 2023,18:00,EEST/+0300,AC Oulu,1-3,1-1,FC Honka,,,2023-05-22T15:00Z
,7,Mon May 22 2023,18:00,EEST/+0300,Inter Turku,1-1,0-0,IFK Mariehamn,,,2023-05-22T15:00Z
,7,Mon May 22 2023,18:00,EEST/+0300,Haka Valkeakoski,2-2,2-2,Vaasan PS,,,2023-05-22T15:00Z
,7,Mon May 22 2023,18:00,EEST/+0300,KTP,0-2,0-1,SJK Seinäjoki,,,2023-05-22T15:00Z
,8,Fri May 26 2023,18:00,EEST/+0300,Vaasan PS,0-2,0-0,Ilves Tampere,,,2023-05-26T15:00Z
,8,Fri May 26 2023,18:00,EEST/+0300,FC Honka,0-1,0-1,KTP,,,2023-05-26T15:00Z
,8,Fri May 26 2023,18:00,EEST/+0300,Inter Turku,3-0,1-0,Haka Valkeakoski,,,2023-05-26T15:00Z
,8,Fri May 26 2023,18:00,EEST/+0300,SJK Seinäjoki,1-0,0-0,Kuopion PS,,,2023-05-26T15:00Z
,8,Fri May 26 2023,18:00,EEST/+0300,FC Lahti,1-2,1-0,AC Oulu,,,2023-05-26T15:00Z
,8,Sat May 27 2023,18:30,EEST/+0300,IFK Mariehamn,0-0,0-0,HJK Helsinki,,,2023-05-27T15:30Z
,9,Sat Jun 3 2023,17:00,EEST/+0300,Kuopion PS,3-0,2-0,Haka Valkeakoski,,,2023-06-03T14:00Z
,9,Sat Jun 3 2023,18:00,EEST/+0300,Ilves Tampere,2-2,2-0,FC Lahti,,,2023-06-03T15:00Z
,9,Sat Jun 3 2023,17:00,EEST/+0300,KTP,1-0,0-0,Vaasan PS,,,2023-06-03T14:00Z
,9,Sat Jun 3 2023,17:00,EEST/+0300,AC Oulu,3-2,2-0,IFK Mariehamn,,,2023-06-03T14:00Z
,9,Sat Jun 3 2023,15:00,EEST/+0300,Inter Turku,2-0,1-0,FC Honka,,,2023-06-03T12:00Z
,9,Sat Jun 3 2023,17:00,EEST/+0300,HJK Helsinki,0-0,0-0,SJK Seinäjoki,,,2023-06-03T14:00Z
,10,Wed Jun 7 2023,18:00,EEST/+0300,Inter Turku,2-1,1-0,KTP,,,2023-06-07T15:00Z
,10,Wed Jun 7 2023,18:00,EEST/+0300,Kuopion PS,1-0,1-0,AC Oulu,,,2023-06-07T15:00Z
,10,Wed Jun 7 2023,18:00,EEST/+0300,FC Honka,2-1,2-1,IFK Mariehamn,,,2023-06-07T15:00Z
,10,Wed Jun 7 2023,18:00,EEST/+0300,Haka Valkeakoski,1-1,0-1,Ilves Tampere,,,2023-06-07T15:00Z
,10,Wed Jun 7 2023,18:00,EEST/+0300,FC Lahti,1-2,1-0,HJK Helsinki,,,2023-06-07T15:00Z
,10,Thu Jun 8 2023,18:15,EEST/+0300,SJK Seinäjoki,2-1,1-0,Vaasan PS,,,2023-06-08T15:15Z
,11,Sun Jun 11 2023,18:30,EEST/+0300,IFK Mariehamn,0-2,0-1,SJK Seinäjoki,,,2023-06-11T15:30Z
,11,Sun Jun 11 2023,18:30,EEST/+0300,Vaasan PS,0-2,0-1,Kuopion PS,,,2023-06-11T15:30Z
,11,Sun Jun 11 2023,16:00,EEST/+0300,Ilves Tampere,1-1,0-0,FC Honka,,,2023-06-11T13:00Z
,11,Sun Jun 11 2023,18:30,EEST/+0300,HJK Helsinki,1-0,0-0,KTP,,,2023-06-11T15:30Z
,11,Sun Jun 11 2023,18:30,EEST/+0300,FC Lahti,1-0,0-0,Haka Valkeakoski,,,2023-06-11T15:30Z
,11,Sun Jun 11 2023,16:00,EEST/+0300,AC Oulu,1-1,0-1,Inter Turku,,,2023-06-11T13:00Z
,12,Tue Jun 27 2023,18:00,EEST/+0300,Kuopion PS,0-1,0-1,IFK Mariehamn,,,2023-06-27T15:00Z
,12,Tue Jun 27 2023,18:00,EEST/+0300,SJK Seinäjoki,1-4,0-1,AC Oulu,,,2023-06-27T15:00Z
,12,Tue Jun 27 2023,18:00,EEST/+0300,Inter Turku,2-1,1-0,Ilves Tampere,,,2023-06-27T15:00Z
