Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Tue Feb 21 2023,19:00,-0300,Marcílio Dias SC,1-0,0-0,Chapecoense,,2023-02-21T22:00Z
Round 1,Wed Feb 22 2023,17:00,-0300,Nova Mutum MT,4-2,3-2,Londrina PR,,2023-02-22T20:00Z
Round 1,Wed Feb 22 2023,19:00,-0300,Caucaia CE,0-0,0-0,Tombense MG,,2023-02-22T22:00Z
Round 1,Wed Feb 22 2023,19:00,-0300,São Raimundo RR,4-3,3-1,Cuiabá MT,,2023-02-22T22:00Z
Round 1,Wed Feb 22 2023,20:00,-0300,Marília SP,0-3,0-3,Brusque SC,,2023-02-22T23:00Z
Round 1,Wed Feb 22 2023,21:00,-0300,São Francisco AC,1-1,1-0,Ypiranga RS,,2023-02-23T00:00Z
Round 1,Wed Feb 22 2023,16:00,-0300,Falcon SE,1-3,1-0,Volta Redonda RJ,,2023-02-22T19:00Z
Round 1,Thu Feb 23 2023,19:00,-0300,São Luiz RS,1-0,0-0,Juventude RS,,2023-02-23T22:00Z
Round 1,Thu Feb 23 2023,19:00,-0300,Humaitá AC,0-3,0-2,Coritiba PR,,2023-02-23T22:00Z
Round 1,Thu Feb 23 2023,20:00,-0300,Ceilândia DF,0-1,0-0,Santos FC,,2023-02-23T23:00Z
Round 1,Thu Feb 23 2023,21:30,-0300,Vitória ES,0-1,0-0,Remo PA,,2023-02-24T00:30Z
Round 1,Thu Feb 23 2023,21:30,-0300,Trem AP,0-4,0-2,Vasco da Gama RJ,,2023-02-24T00:30Z
Round 1,Tue Feb 28 2023,19:30,-0300,Tocantinópolis TO,1-1,0-1,América MG,,2023-02-28T22:30Z
Round 1,Tue Feb 28 2023,19:30,-0300,Democrata Gov. Valadares MG,1-1,1-0,Santa Cruz PE,,2023-02-28T22:30Z
Round 1,Tue Feb 28 2023,20:00,-0300,Real Noroeste ES,1-1,0-0,Vila Nova GO,,2023-02-28T23:00Z
Round 1,Tue Feb 28 2023,21:30,-0300,Fluminense PI,0-4,0-2,Ponte Preta,,2023-03-01T00:30Z
Round 1,Tue Feb 28 2023,15:30,-0300,Resende FC RJ,1-2,0-2,Ferroviário CE,,2023-02-28T18:30Z
Round 1,Wed Mar 1 2023,15:30,-0300,Tuna Luso PA,0-1,0-1,CSA AL,,2023-03-01T18:30Z
Round 1,Wed Mar 1 2023,15:30,-0300,Nova Iguaçu RJ,2-0,0-0,Vitória BA,,2023-03-01T18:30Z
Round 1,Wed Mar 1 2023,19:00,-0300,Cordino MA,0-2,0-2,Brasil de Pelotas RS,,2023-03-01T22:00Z
Round 1,Wed Mar 1 2023,19:00,-0300,ASA AL,1-1,1-1,Goiás GO,,2023-03-01T22:00Z
Round 1,Wed Mar 1 2023,19:00,-0300,Atlético de Alagoinhas BA,0-0,0-0,Atlético Goianiense,,2023-03-01T22:00Z
Round 1,Wed Mar 1 2023,19:00,-0300,Bahia de Feira BA,1-1,1-0,Red Bull Bragantino,,2023-03-01T22:00Z
Round 1,Wed Mar 1 2023,19:00,-0300,Tuntum MA,0-5,0-2,ABC RN,,2023-03-01T22:00Z
Round 1,Wed Mar 1 2023,20:00,-0300,Campinense PB,0-2,0-1,Grêmio Porto Alegre,,2023-03-01T23:00Z
Round 1,Wed Mar 1 2023,20:00,-0300,União Rondonópolis MT,0-1,0-0,CR Brasil AL,,2023-03-01T23:00Z
Round 1,Wed Mar 1 2023,20:00,-0300,Athletic MG,1-1,0-0,Brasiliense DF,,2023-03-01T23:00Z
Round 1,Wed Mar 1 2023,20:00,-0300,Camboriú SC,1-0,1-0,Manaus AM,,2023-03-01T23:00Z
