Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Mar 11 2023,17:00,EET/+0200,FK Auda,2-0,2-0,SK Super Nova,2023-03-11T15:00Z
1,Sat Mar 11 2023,13:00,EET/+0200,Valmiera FC,0-0,0-0,Rīgas Futbola skola,2023-03-11T11:00Z
1,Sun Mar 12 2023,17:00,EET/+0200,Riga FC,2-1,0-0,FS Jelgava,2023-03-12T15:00Z
1,Sun Mar 12 2023,15:00,EET/+0200,FK Tukums 2000,1-0,0-0,BFC Daugavpils,2023-03-12T13:00Z
2,Fri Mar 17 2023,18:00,EET/+0200,FS Jelgava,2-1,1-1,BFC Daugavpils,2023-03-17T16:00Z
2,Sat Mar 18 2023,13:00,EET/+0200,FK Metta,0-2,0-1,FK Auda,2023-03-18T11:00Z
2,Sat Mar 18 2023,15:00,EET/+0200,Valmiera FC,0-1,0-1,FK Liepāja,2023-03-18T13:00Z
2,Sat Mar 18 2023,17:00,EET/+0200,Riga FC,1-1,0-1,Rīgas Futbola skola,2023-03-18T15:00Z
2,Sun Mar 19 2023,15:00,EET/+0200,SK Super Nova,2-0,1-0,FK Tukums 2000,2023-03-19T13:00Z
3,Sat Apr 1 2023,17:00,EEST/+0300,FS Jelgava,0-2,0-1,Rīgas Futbola skola,2023-04-01T14:00Z
3,Sat Apr 1 2023,13:00,EEST/+0300,BFC Daugavpils,3-0,1-0,SK Super Nova,2023-04-01T10:00Z
3,Sat Apr 1 2023,15:00,EEST/+0300,FK Liepāja,0-3,0-3,Riga FC,2023-04-01T12:00Z
3,Sun Apr 2 2023,13:00,EEST/+0300,FK Tukums 2000,1-2,0-0,FK Metta,2023-04-02T10:00Z
3,Sun Apr 2 2023,15:00,EEST/+0300,FK Auda,0-4,0-2,Valmiera FC,2023-04-02T12:00Z
4,Wed Apr 5 2023,17:00,EEST/+0300,FS Jelgava,2-0,0-0,SK Super Nova,2023-04-05T14:00Z
4,Wed Apr 5 2023,19:00,EEST/+0300,Rīgas Futbola skola,2-0,0-0,FK Liepāja,2023-04-05T16:00Z
4,Thu Apr 6 2023,17:00,EEST/+0300,Valmiera FC,4-3,1-2,FK Tukums 2000,2023-04-06T14:00Z
4,Thu Apr 6 2023,19:00,EEST/+0300,Riga FC,2-0,0-0,FK Auda,2023-04-06T16:00Z
4,Fri Apr 7 2023,15:00,EEST/+0300,FK Metta,3-2,2-1,BFC Daugavpils,2023-04-07T12:00Z
5,Sun Apr 9 2023,16:00,EEST/+0300,FK Liepāja,3-2,1-2,FS Jelgava,2023-04-09T13:00Z
5,Mon Apr 10 2023,16:00,EEST/+0300,FK Auda,0-0,0-0,Rīgas Futbola skola,2023-04-10T13:00Z
5,Mon Apr 10 2023,14:00,EEST/+0300,FK Tukums 2000,0-2,0-1,Riga FC,2023-04-10T11:00Z
5,Tue Apr 11 2023,17:00,EEST/+0300,BFC Daugavpils,1-1,0-0,Valmiera FC,2023-04-11T14:00Z
5,Tue Apr 11 2023,17:00,EEST/+0300,SK Super Nova,0-3,0-2,FK Metta,2023-04-11T14:00Z
6,Fri Apr 14 2023,17:00,EEST/+0300,FK Liepāja,1-1,1-0,FK Auda,2023-04-14T14:00Z
6,Fri Apr 14 2023,19:00,EEST/+0300,Rīgas Futbola skola,1-0,0-0,FK Tukums 2000,2023-04-14T16:00Z
6,Sat Apr 15 2023,13:00,EEST/+0300,BFC Daugavpils,1-1,1-0,Riga FC,2023-04-15T10:00Z
6,Sat Apr 15 2023,15:00,EEST/+0300,FS Jelgava,2-1,2-1,FK Metta,2023-04-15T12:00Z
