Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Mar 4 2023,16:00,+0600,Zhetysu Taldykorgan,0-1,0-0,FK Aktobe,,2023-03-04T10:00Z
1,Sat Mar 4 2023,18:00,+0600,Tobyl Kostanay,3-1,1-0,FK Aksu,,2023-03-04T12:00Z
1,Sat Mar 4 2023,20:00,+0600,FK Astana,2-1,2-1,Shakter Karaganda,,2023-03-04T14:00Z
1,Sat Mar 4 2023,14:00,+0600,FK Ordabasy,3-1,1-0,Kaspiy Aktau,,2023-03-04T08:00Z
1,Sun Mar 5 2023,17:00,+0600,FK Kairat,2-2,2-1,FK Atyrau,,2023-03-05T11:00Z
1,Sun Mar 5 2023,19:00,+0600,Kaysar Kyzylorda,0-1,0-1,FK Kyzylzhar,,2023-03-05T13:00Z
1,Sun Mar 5 2023,15:00,+0600,FK Makhtaaral,0-1,0-1,FK Okzhetpes,,2023-03-05T09:00Z
2,Thu Mar 9 2023,14:00,+0600,Shakter Karaganda,1-4,0-1,FK Ordabasy,,2023-03-09T08:00Z
2,Thu Mar 9 2023,14:00,+0600,Zhetysu Taldykorgan,0-2,0-0,FK Astana,,2023-03-09T08:00Z
2,Thu Mar 9 2023,16:00,+0600,FK Aktobe,5-1,3-1,FK Okzhetpes,,2023-03-09T10:00Z
2,Thu Mar 9 2023,18:00,+0600,FK Aksu,1-3,0-1,FK Kairat,,2023-03-09T12:00Z
2,Fri Mar 10 2023,16:00,+0600,FK Atyrau,2-1,2-1,Kaysar Kyzylorda,,2023-03-10T10:00Z
2,Fri Mar 10 2023,18:00,+0600,FK Kyzylzhar,1-0,1-0,FK Makhtaaral,,2023-03-10T12:00Z
2,Fri Mar 10 2023,14:00,+0600,Kaspiy Aktau,0-1,0-0,Tobyl Kostanay,,2023-03-10T08:00Z
3,Tue Mar 14 2023,19:00,+0600,FK Ordabasy,2-0,2-0,Zhetysu Taldykorgan,,2023-03-14T13:00Z
3,Tue Mar 14 2023,19:00,+0600,Tobyl Kostanay,2-1,1-0,Shakter Karaganda,,2023-03-14T13:00Z
3,Tue Mar 14 2023,19:00,+0600,FK Kairat,3-1,2-1,Kaspiy Aktau,,2023-03-14T13:00Z
3,Tue Mar 14 2023,21:00,+0600,FK Astana,1-4,0-2,FK Aktobe,,2023-03-14T15:00Z
3,Tue Mar 14 2023,21:00,+0600,Kaysar Kyzylorda,2-2,2-2,FK Aksu,,2023-03-14T15:00Z
3,Wed Mar 15 2023,17:00,+0600,FK Okzhetpes,0-1,0-1,FK Kyzylzhar,,2023-03-15T11:00Z
3,Wed Mar 15 2023,15:00,+0600,FK Makhtaaral,0-1,0-1,FK Atyrau,,2023-03-15T09:00Z
4,Sat Apr 1 2023,14:00,+0600,Kaspiy Aktau,1-3,0-2,Kaysar Kyzylorda,,2023-04-01T08:00Z
4,Sat Apr 1 2023,16:00,+0600,Shakter Karaganda,1-1,0-0,FK Kairat,,2023-04-01T10:00Z
4,Sat Apr 1 2023,18:00,+0600,FK Aksu,2-1,0-1,FK Makhtaaral,,2023-04-01T12:00Z
4,Sun Apr 2 2023,17:00,+0600,FK Aktobe,1-3,0-1,FK Kyzylzhar,,2023-04-02T11:00Z
4,Sun Apr 2 2023,17:00,+0600,FK Atyrau,0-4,0-1,FK Okzhetpes,,2023-04-02T11:00Z
4,Sun Apr 2 2023,19:00,+0600,FK Astana,2-0,0-0,FK Ordabasy,,2023-04-02T13:00Z
4,Sun Apr 2 2023,15:00,+0600,Zhetysu Taldykorgan,1-1,1-1,Tobyl Kostanay,,2023-04-02T09:00Z
5,Sat Apr 8 2023,16:00,+0600,FK Kyzylzhar,1-0,0-0,FK Atyrau,,2023-04-08T10:00Z
5,Sat Apr 8 2023,16:00,+0600,FK Makhtaaral,3-1,1-1,Kaspiy Aktau,,2023-04-08T10:00Z
5,Sat Apr 8 2023,20:00,+0600,Kaysar Kyzylorda,2-1,2-1,Shakter Karaganda,,2023-04-08T14:00Z
5,Sat Apr 8 2023,14:00,+0600,FK Okzhetpes,3-0,1-0,FK Aksu,,2023-04-08T08:00Z
5,Sun Apr 9 2023,17:00,+0600,FK Kairat,2-3,1-0,Zhetysu Taldykorgan,,2023-04-09T11:00Z
5,Sun Apr 9 2023,19:00,+0600,Tobyl Kostanay,0-1,0-0,FK Astana,,2023-04-09T13:00Z
