Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Apr 1 2023,17:30,CEST/+0200,Djurgårdens IF,3-1,2-0,IF Brommapojkarna,2023-04-01T15:30Z
1,Sat Apr 1 2023,15:00,CEST/+0200,Malmö FF,1-0,0-0,Kalmar FF,2023-04-01T13:00Z
1,Sun Apr 2 2023,15:00,CEST/+0200,IFK Norrköping,1-1,0-1,IK Sirius,2023-04-02T13:00Z
1,Sun Apr 2 2023,17:30,CEST/+0200,IFK Göteborg,0-1,0-0,IFK Värnamo,2023-04-02T15:30Z
1,Sun Apr 2 2023,17:45,CEST/+0200,Halmstads BK,2-1,1-0,AIK Solna,2023-04-02T15:45Z
1,Sun Apr 2 2023,15:00,CEST/+0200,Hammarby IF,3-1,1-1,Degerfors IF,2023-04-02T13:00Z
1,Mon Apr 3 2023,19:00,CEST/+0200,Mjällby AIF,2-2,1-0,Varbergs BoIS,2023-04-03T17:00Z
1,Mon Apr 3 2023,19:10,CEST/+0200,IF Elfsborg,0-2,0-1,BK Häcken,2023-04-03T17:10Z
2,Sat Apr 8 2023,15:00,CEST/+0200,IF Brommapojkarna,1-2,1-0,Malmö FF,2023-04-08T13:00Z
2,Sat Apr 8 2023,15:00,CEST/+0200,Degerfors IF,3-1,1-1,Halmstads BK,2023-04-08T13:00Z
2,Sun Apr 9 2023,17:30,CEST/+0200,IK Sirius,0-0,0-0,Djurgårdens IF,2023-04-09T15:30Z
2,Sun Apr 9 2023,17:30,CEST/+0200,Kalmar FF,2-0,1-0,IFK Göteborg,2023-04-09T15:30Z
2,Sun Apr 9 2023,15:00,CEST/+0200,BK Häcken,3-1,3-0,Hammarby IF,2023-04-09T13:00Z
2,Mon Apr 10 2023,13:00,CEST/+0200,IFK Värnamo,0-1,0-1,Mjällby AIF,2023-04-10T11:00Z
2,Mon Apr 10 2023,15:00,CEST/+0200,AIK Solna,0-3,0-2,IFK Norrköping,2023-04-10T13:00Z
2,Mon Apr 10 2023,15:00,CEST/+0200,Varbergs BoIS,0-0,0-0,IF Elfsborg,2023-04-10T13:00Z
3,Sat Apr 15 2023,17:30,CEST/+0200,BK Häcken,1-3,0-2,Kalmar FF,2023-04-15T15:30Z
3,Sat Apr 15 2023,15:00,CEST/+0200,IF Elfsborg,5-0,2-0,IF Brommapojkarna,2023-04-15T13:00Z
3,Sun Apr 16 2023,15:00,CEST/+0200,IFK Norrköping,2-1,1-1,IFK Värnamo,2023-04-16T13:00Z
3,Sun Apr 16 2023,17:30,CEST/+0200,Halmstads BK,2-0,1-0,Djurgårdens IF,2023-04-16T15:30Z
3,Sun Apr 16 2023,17:30,CEST/+0200,Mjällby AIF,2-0,1-0,Degerfors IF,2023-04-16T15:30Z
3,Sun Apr 16 2023,15:00,CEST/+0200,AIK Solna,2-0,1-0,Hammarby IF,2023-04-16T13:00Z
3,Mon Apr 17 2023,19:00,CEST/+0200,Varbergs BoIS,1-1,1-0,IK Sirius,2023-04-17T17:00Z
3,Mon Apr 17 2023,19:10,CEST/+0200,IFK Göteborg,0-1,0-1,Malmö FF,2023-04-17T17:10Z
4,Sat Apr 22 2023,17:30,CEST/+0200,Degerfors IF,1-2,1-1,IF Elfsborg,2023-04-22T15:30Z
4,Sat Apr 22 2023,15:00,CEST/+0200,Hammarby IF,2-0,1-0,Varbergs BoIS,2023-04-22T13:00Z
4,Sun Apr 23 2023,15:00,CEST/+0200,Kalmar FF,2-0,1-0,Halmstads BK,2023-04-23T13:00Z
4,Sun Apr 23 2023,17:30,CEST/+0200,IK Sirius,1-4,0-1,BK Häcken,2023-04-23T15:30Z
4,Sun Apr 23 2023,15:00,CEST/+0200,Djurgårdens IF,1-0,1-0,IFK Göteborg,2023-04-23T13:00Z
4,Mon Apr 24 2023,19:00,CEST/+0200,IF Brommapojkarna,2-0,1-0,Mjällby AIF,2023-04-24T17:00Z
4,Mon Apr 24 2023,19:00,CEST/+0200,IFK Värnamo,1-0,0-0,AIK Solna,2023-04-24T17:00Z
4,Mon Apr 24 2023,19:10,CEST/+0200,Malmö FF,3-0,1-0,IFK Norrköping,2023-04-24T17:10Z
5,Sat Apr 29 2023,15:00,CEST/+0200,Mjällby AIF,0-1,0-0,IF Elfsborg,2023-04-29T13:00Z
5,Sat Apr 29 2023,17:30,CEST/+0200,BK Häcken,3-1,2-0,IFK Värnamo,2023-04-29T15:30Z
5,Sat Apr 29 2023,17:30,CEST/+0200,Halmstads BK,0-2,0-1,IF Brommapojkarna,2023-04-29T15:30Z
5,Sat Apr 29 2023,15:00,CEST/+0200,AIK Solna,0-0,0-0,IK Sirius,2023-04-29T13:00Z
5,Sun Apr 30 2023,15:00,CEST/+0200,Malmö FF,4-2,3-0,Hammarby IF,2023-04-30T13:00Z
5,Sun Apr 30 2023,15:00,CEST/+0200,Varbergs BoIS,0-0,0-0,Kalmar FF,2023-04-30T13:00Z
5,Sun Apr 30 2023,17:30,CEST/+0200,Degerfors IF,2-1,1-1,Djurgårdens IF,2023-04-30T15:30Z
5,Mon May 1 2023,15:00,CEST/+0200,IFK Göteborg,1-1,1-1,IFK Norrköping,2023-05-01T13:00Z
6,Wed May 3 2023,19:00,CEST/+0200,IF Elfsborg,6-1,0-1,Halmstads BK,2023-05-03T17:00Z
6,Wed May 3 2023,19:00,CEST/+0200,Kalmar FF,2-2,2-0,IK Sirius,2023-05-03T17:00Z
6,Wed May 3 2023,19:00,CEST/+0200,Mjällby AIF,0-0,0-0,AIK Solna,2023-05-03T17:00Z
6,Wed May 3 2023,19:00,CEST/+0200,BK Häcken,4-1,0-1,Djurgårdens IF,2023-05-03T17:00Z
6,Thu May 4 2023,19:00,CEST/+0200,IFK Göteborg,6-0,3-0,Degerfors IF,2023-05-04T17:00Z
6,Thu May 4 2023,19:00,CEST/+0200,IFK Norrköping,2-0,0-0,Hammarby IF,2023-05-04T17:00Z
6,Thu May 4 2023,19:00,CEST/+0200,IFK Värnamo,0-1,0-0,IF Brommapojkarna,2023-05-04T17:00Z
6,Thu May 4 2023,19:15,CEST/+0200,Varbergs BoIS,0-6,0-3,Malmö FF,2023-05-04T17:15Z
7,Sun May 7 2023,17:30,CEST/+0200,Halmstads BK,1-0,1-0,BK Häcken,2023-05-07T15:30Z
7,Sun May 7 2023,15:00,CEST/+0200,Malmö FF,3-1,3-1,AIK Solna,2023-05-07T13:00Z
7,Mon May 8 2023,19:00,CEST/+0200,Degerfors IF,0-2,0-1,IFK Norrköping,2023-05-08T17:00Z
7,Mon May 8 2023,19:00,CEST/+0200,IF Brommapojkarna,0-0,0-0,IFK Göteborg,2023-05-08T17:00Z
7,Mon May 8 2023,19:00,CEST/+0200,IK Sirius,3-4,2-1,IF Elfsborg,2023-05-08T17:00Z
