Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Wed Jan 17 2018,19:30,-0200,São Bento SP,2-0,,São Paulo FC,,2018-01-17T21:30Z
,1,Wed Jan 17 2018,19:30,-0200,Grêmio Novorizontino SP,3-1,,Mirassol SP,,2018-01-17T21:30Z
,1,Wed Jan 17 2018,19:30,-0200,Linense SP,0-3,,Santos FC,,2018-01-17T21:30Z
,1,Wed Jan 17 2018,19:30,-0200,Ituano SP,3-1,,São Caetano SP,,2018-01-17T21:30Z
,1,Wed Jan 17 2018,21:45,-0200,Corinthians SP,0-1,,Ponte Preta,,2018-01-17T23:45Z
,1,Wed Jan 17 2018,17:00,-0200,Red Bull Brasil SP,0-0,,Ferroviária SP,,2018-01-17T19:00Z
,1,Thu Jan 18 2018,19:30,-0200,CA Bragantino,2-0,,Botafogo SP,,2018-01-18T21:30Z
,1,Thu Jan 18 2018,19:30,-0200,Palmeiras,3-1,,Santo André SP,,2018-01-18T21:30Z
,2,Sat Jan 20 2018,16:30,-0200,Mirassol SP,0-0,,São Bento SP,,2018-01-20T18:30Z
,2,Sat Jan 20 2018,19:00,-0200,São Paulo FC,0-0,,Grêmio Novorizontino SP,,2018-01-20T21:00Z
,2,Sat Jan 20 2018,21:00,-0200,Ferroviária SP,1-1,,Ituano SP,,2018-01-20T23:00Z
,2,Sun Jan 21 2018,19:30,-0200,São Caetano SP,0-4,,Corinthians SP,,2018-01-21T21:30Z
,2,Sun Jan 21 2018,19:30,-0200,Santo André SP,1-1,,Red Bull Brasil SP,,2018-01-21T21:30Z
,2,Sun Jan 21 2018,19:30,-0200,Ponte Preta,0-1,,Linense SP,,2018-01-21T21:30Z
,2,Sun Jan 21 2018,20:00,-0200,Santos FC,0-1,,CA Bragantino,,2018-01-21T22:00Z
,2,Sun Jan 21 2018,17:00,-0200,Botafogo SP,0-1,,Palmeiras,,2018-01-21T19:00Z
,3,Wed Jan 24 2018,17:00,-0200,Linense SP,0-2,,São Caetano SP,,2018-01-24T19:00Z
,3,Wed Jan 24 2018,19:30,-0200,Corinthians SP,2-1,,Ferroviária SP,,2018-01-24T21:30Z
,3,Wed Jan 24 2018,19:30,-0200,Botafogo SP,3-1,,Grêmio Novorizontino SP,,2018-01-24T21:30Z
,3,Wed Jan 24 2018,21:45,-0200,Mirassol SP,0-2,,São Paulo FC,,2018-01-24T23:45Z
,3,Thu Jan 25 2018,19:30,-0200,Ponte Preta,1-2,,Santos FC,,2018-01-25T21:30Z
,3,Thu Jan 25 2018,19:30,-0200,Ituano SP,0-0,,Santo André SP,,2018-01-25T21:30Z
,3,Thu Jan 25 2018,21:00,-0200,Palmeiras,2-1,,Red Bull Brasil SP,,2018-01-25T23:00Z
,3,Thu Jan 25 2018,18:30,-0200,CA Bragantino,0-1,,São Bento SP,,2018-01-25T20:30Z
,4,Sat Jan 27 2018,19:00,-0200,Grêmio Novorizontino SP,1-0,,São Caetano SP,,2018-01-27T21:00Z
,4,Sat Jan 27 2018,17:00,-0200,Corinthians SP,2-1,,São Paulo FC,,2018-01-27T19:00Z
,4,Sun Jan 28 2018,17:00,-0200,São Bento SP,0-1,,Ponte Preta,,2018-01-28T19:00Z
,4,Sun Jan 28 2018,17:00,-0200,CA Bragantino,0-2,,Palmeiras,,2018-01-28T19:00Z
,4,Sun Jan 28 2018,19:30,-0200,Santos FC,1-1,,Ituano SP,,2018-01-28T21:30Z
,4,Mon Jan 29 2018,17:30,-0200,Red Bull Brasil SP,2-1,,Linense SP,,2018-01-29T19:30Z
,4,Mon Jan 29 2018,20:00,-0200,Ferroviária SP,1-2,,Botafogo SP,,2018-01-29T22:00Z
,4,Mon Jan 29 2018,17:30,-0200,Santo André SP,1-1,,Mirassol SP,,2018-01-29T19:30Z
,5,Fri Feb 2 2018,19:15,-0200,São Bento SP,2-2,,Santo André SP,,2018-02-02T21:15Z
,5,Sat Feb 3 2018,17:00,-0200,São Paulo FC,2-0,0-0,Botafogo SP,,2018-02-03T19:00Z
,5,Sat Feb 3 2018,19:00,-0200,Red Bull Brasil SP,1-1,,CA Bragantino,,2018-02-03T21:00Z
,5,Sat Feb 3 2018,16:30,-0200,Ituano SP,1-1,,Ponte Preta,,2018-02-03T18:30Z
,5,Sun Feb 4 2018,19:30,-0200,São Caetano SP,0-2,,Mirassol SP,,2018-02-04T21:30Z
,5,Sun Feb 4 2018,19:30,-0200,Grêmio Novorizontino SP,0-1,,Corinthians SP,,2018-02-04T21:30Z
,5,Sun Feb 4 2018,17:00,-0200,Palmeiras,2-1,,Santos FC,,2018-02-04T19:00Z
,5,Mon Feb 5 2018,20:00,-0200,Linense SP,1-2,,Ferroviária SP,,2018-02-05T22:00Z
,6,Wed Feb 7 2018,21:45,-0200,São Paulo FC,1-0,,CA Bragantino,,2018-02-07T23:45Z
