Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
Taça Guanabara,1,Tue Jan 16 2018,21:30,-0200,Botafogo RJ,2-2,,Portuguesa RJ,,2018-01-16T23:30Z
Taça Guanabara,1,Wed Jan 17 2018,16:30,-0200,Madureira RJ,2-2,,Macaé Esporte RJ,,2018-01-17T18:30Z
Taça Guanabara,1,Wed Jan 17 2018,16:30,-0200,Nova Iguaçu RJ,1-1,,Cabofriense RJ,,2018-01-17T18:30Z
Taça Guanabara,1,Wed Jan 17 2018,16:30,-0200,Boavista RJ,3-1,,Fluminense RJ,,2018-01-17T18:30Z
Taça Guanabara,1,Wed Jan 17 2018,21:45,-0200,Volta Redonda RJ,0-2,,Flamengo RJ,,2018-01-17T23:45Z
Taça Guanabara,1,Thu Jan 18 2018,19:30,-0200,Vasco da Gama RJ,0-2,,Bangu RJ,,2018-01-18T21:30Z
Taça Guanabara,2,Sat Jan 20 2018,16:00,-0200,Portuguesa RJ,0-0,,Madureira RJ,,2018-01-20T18:00Z
Taça Guanabara,2,Sat Jan 20 2018,16:00,-0200,Boavista RJ,0-1,,Macaé Esporte RJ,,2018-01-20T18:00Z
Taça Guanabara,2,Sat Jan 20 2018,17:00,-0200,Fluminense RJ,0-0,,Botafogo RJ,,2018-01-20T19:00Z
Taça Guanabara,2,Sun Jan 21 2018,20:15,-0200,Flamengo RJ,1-0,,Cabofriense RJ,,2018-01-21T22:15Z
Taça Guanabara,2,Sun Jan 21 2018,17:00,-0200,Vasco da Gama RJ,4-2,,Nova Iguaçu RJ,,2018-01-21T19:00Z
Taça Guanabara,2,Sun Jan 21 2018,16:30,-0200,Bangu RJ,2-2,,Volta Redonda RJ,,2018-01-21T18:30Z
Taça Guanabara,3,Tue Jan 23 2018,16:30,-0200,Madureira RJ,0-1,,Boavista RJ,,2018-01-23T18:30Z
Taça Guanabara,3,Wed Jan 24 2018,21:45,-0200,Fluminense RJ,0-0,,Portuguesa RJ,,2018-01-24T23:45Z
Taça Guanabara,3,Wed Jan 24 2018,17:00,-0200,Cabofriense RJ,2-1,,Vasco da Gama RJ,,2018-01-24T19:00Z
Taça Guanabara,3,Wed Jan 24 2018,19:30,-0200,Flamengo RJ,1-0,,Bangu RJ,,2018-01-24T21:30Z
Taça Guanabara,3,Thu Jan 25 2018,19:30,-0200,Macaé Esporte RJ,1-2,,Botafogo RJ,,2018-01-25T21:30Z
Taça Guanabara,3,Thu Jan 25 2018,16:30,-0200,Nova Iguaçu RJ,2-0,,Volta Redonda RJ,,2018-01-25T18:30Z
Taça Guanabara,4,Sat Jan 27 2018,17:00,-0200,Flamengo RJ,0-0,,Vasco da Gama RJ,,2018-01-27T19:00Z
Taça Guanabara,4,Sun Jan 28 2018,16:30,-0200,Macaé Esporte RJ,1-2,,Portuguesa RJ,,2018-01-28T18:30Z
Taça Guanabara,4,Sun Jan 28 2018,17:00,-0200,Botafogo RJ,1-0,,Boavista RJ,,2018-01-28T19:00Z
Taça Guanabara,4,Sun Jan 28 2018,19:00,-0200,Madureira RJ,1-2,,Fluminense RJ,,2018-01-28T21:00Z
Taça Guanabara,4,Sun Jan 28 2018,16:30,-0200,Bangu RJ,0-0,,Nova Iguaçu RJ,,2018-01-28T18:30Z
Taça Guanabara,4,Mon Jan 29 2018,19:30,-0200,Volta Redonda RJ,3-2,,Cabofriense RJ,,2018-01-29T21:30Z
