Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Tue Jan 30 2018,21:30,-0200,S.E.R. Caxias RS,0-0,0-0,Athletico Paranaense,,2018-01-30T23:30Z
Round 1,Tue Jan 30 2018,20:00,-0200,Vitória da Conquista BA,0-0,0-0,Boa Esporte MG,,2018-01-30T22:00Z
Round 1,Wed Jan 31 2018,16:00,-0200,Nova Iguaçu RJ,1-1,1-0,CA Bragantino,,2018-01-31T18:00Z
Round 1,Wed Jan 31 2018,19:30,-0200,Boavista RJ,1-1,0-0,Internacional,,2018-01-31T21:30Z
Round 1,Wed Jan 31 2018,19:30,-0200,Caldense MG,0-1,0-0,Fluminense RJ,,2018-01-31T21:30Z
Round 1,Wed Jan 31 2018,20:00,-0200,Tubarão SC,2-0,2-0,América RN,,2018-01-31T22:00Z
Round 1,Wed Jan 31 2018,20:00,-0200,Aimoré RS,1-2,1-0,Cuiabá MT,,2018-01-31T22:00Z
Round 1,Wed Jan 31 2018,20:30,-0200,Uberlândia MG,2-0,0-0,Ituano SP,,2018-01-31T22:30Z
Round 1,Wed Jan 31 2018,21:30,-0200,Novo MS,2-3,1-2,Salgueiro PE,,2018-01-31T23:30Z
Round 1,Wed Jan 31 2018,21:30,-0200,Interporto TO,0-0,0-0,Juventude RS,,2018-01-31T23:30Z
Round 1,Wed Jan 31 2018,21:30,-0200,Independente PA,0-1,0-1,Sampaio Corrêa MA,,2018-01-31T23:30Z
Round 1,Wed Jan 31 2018,21:30,-0200,Floresta CE,0-2,0-1,Botafogo PB,,2018-01-31T23:30Z
Round 1,Wed Jan 31 2018,21:30,-0200,Treze PB,0-2,0-1,Figueirense SC,,2018-01-31T23:30Z
Round 1,Wed Jan 31 2018,21:30,-0200,Itabaiana SE,0-1,0-0,Joinville SC,,2018-01-31T23:30Z
Round 1,Wed Jan 31 2018,21:30,-0200,Cordino MA,1-1,1-0,Náutico PE,,2018-01-31T23:30Z
Round 1,Wed Jan 31 2018,21:45,-0200,Madureira RJ,0-1,0-1,São Paulo FC,,2018-01-31T23:45Z
Round 1,Wed Jan 31 2018,22:00,-0200,Real Ariquemes RO,0-1,0-1,Londrina PR,,2018-02-01T00:00Z
Round 1,Wed Jan 31 2018,22:30,-0200,Fluminense de Feira BA,2-0,1-0,Santa Cruz PE,,2018-02-01T00:30Z
Round 1,Thu Feb 1 2018,21:30,-0200,Novo Hamburgo RS,2-1,0-0,Paysandu PA,,2018-02-01T23:30Z
Round 1,Thu Feb 1 2018,19:15,-0200,U.R.T. MG,1-1,1-0,Paraná Clube,,2018-02-01T21:15Z
Round 1,Tue Feb 6 2018,20:15,-0200,Brasiliense DF,1-1,1-0,Oeste SP,,2018-02-06T22:15Z
Round 1,Tue Feb 6 2018,20:30,-0200,Inter de Limeira SP,1-0,1-0,Rio Branco AC,,2018-02-06T22:30Z
