Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Apr 13 2018,20:30,-0300,Oeste SP,2-0,1-0,CR Brasil AL,2018-04-13T23:30Z
1,Fri Apr 13 2018,20:30,-0300,Atlético Goianiense,3-2,1-1,Criciúma SC,2018-04-13T23:30Z
1,Fri Apr 13 2018,21:30,-0300,Figueirense SC,2-1,2-0,Juventude RS,2018-04-14T00:30Z
1,Fri Apr 13 2018,19:15,-0300,Fortaleza CE,2-1,0-0,Guarani SP,2018-04-13T22:15Z
1,Sat Apr 14 2018,16:30,-0300,Brasil de Pelotas RS,1-1,1-1,São Bento SP,2018-04-14T19:30Z
1,Sat Apr 14 2018,16:30,-0300,Vila Nova GO,1-0,0-0,Avaí SC,2018-04-14T19:30Z
1,Sat Apr 14 2018,16:30,-0300,CSA AL,2-1,0-0,Goiás GO,2018-04-14T19:30Z
1,Sat Apr 14 2018,16:30,-0300,Londrina PR,1-0,0-0,Boa Esporte MG,2018-04-14T19:30Z
1,Sat Apr 14 2018,19:00,-0300,Sampaio Corrêa MA,2-0,1-0,Coritiba PR,2018-04-14T22:00Z
1,Sat Apr 14 2018,21:00,-0300,Ponte Preta,0-1,0-1,Paysandu PA,2018-04-15T00:00Z
2,Tue Apr 17 2018,19:15,-0300,Boa Esporte MG,0-2,0-0,Fortaleza CE,2018-04-17T22:15Z
2,Tue Apr 17 2018,21:30,-0300,Coritiba PR,1-0,0-0,Atlético Goianiense,2018-04-18T00:30Z
2,Fri Apr 20 2018,20:30,-0300,São Bento SP,2-1,0-1,CSA AL,2018-04-20T23:30Z
2,Fri Apr 20 2018,21:30,-0300,Paysandu PA,1-0,1-0,Londrina PR,2018-04-21T00:30Z
2,Fri Apr 20 2018,19:15,-0300,Juventude RS,1-1,1-0,Oeste SP,2018-04-20T22:15Z
2,Sat Apr 21 2018,16:30,-0300,Guarani SP,2-0,1-0,Sampaio Corrêa MA,2018-04-21T19:30Z
2,Sat Apr 21 2018,16:30,-0300,Avaí SC,2-2,1-1,Brasil de Pelotas RS,2018-04-21T19:30Z
2,Sat Apr 21 2018,16:30,-0300,Goiás GO,0-2,0-1,Figueirense SC,2018-04-21T19:30Z
2,Sat Apr 21 2018,16:30,-0300,CR Brasil AL,0-1,0-1,Vila Nova GO,2018-04-21T19:30Z
2,Sat Apr 21 2018,19:00,-0300,Criciúma SC,0-1,0-1,Ponte Preta,2018-04-21T22:00Z
3,Tue Apr 24 2018,21:30,-0300,Fortaleza CE,3-1,1-0,CR Brasil AL,2018-04-25T00:30Z
3,Tue Apr 24 2018,19:15,-0300,Atlético Goianiense,3-2,2-0,Guarani SP,2018-04-24T22:15Z
3,Fri Apr 27 2018,19:15,-0300,Figueirense SC,2-0,1-0,Boa Esporte MG,2018-04-27T22:15Z
3,Fri Apr 27 2018,20:30,-0300,CSA AL,5-1,3-1,Oeste SP,2018-04-27T23:30Z
3,Fri Apr 27 2018,21:30,-0300,Coritiba PR,2-1,1-1,Criciúma SC,2018-04-28T00:30Z
3,Sat Apr 28 2018,16:30,-0300,Juventude RS,1-3,1-1,Avaí SC,2018-04-28T19:30Z
3,Sat Apr 28 2018,16:30,-0300,Vila Nova GO,3-1,1-1,Sampaio Corrêa MA,2018-04-28T19:30Z
3,Sat Apr 28 2018,16:30,-0300,Paysandu PA,2-1,2-1,Brasil de Pelotas RS,2018-04-28T19:30Z
3,Sat Apr 28 2018,19:00,-0300,Ponte Preta,0-1,0-0,Londrina PR,2018-04-28T22:00Z
3,Sat Apr 28 2018,21:00,-0300,São Bento SP,1-1,0-1,Goiás GO,2018-04-29T00:00Z
4,Tue May 1 2018,16:00,-0300,Boa Esporte MG,1-2,0-0,Juventude RS,2018-05-01T19:00Z
4,Tue May 1 2018,16:30,-0300,Brasil de Pelotas RS,1-0,1-0,Figueirense SC,2018-05-01T19:30Z
4,Tue May 1 2018,16:30,-0300,Londrina PR,1-1,1-1,Fortaleza CE,2018-05-01T19:30Z
4,Tue May 1 2018,16:00,-0300,Criciúma SC,1-3,0-1,CSA AL,2018-05-01T19:00Z
4,Fri May 4 2018,19:15,-0300,Sampaio Corrêa MA,1-1,1-1,Paysandu PA,2018-05-04T22:15Z
4,Fri May 4 2018,20:30,-0300,CR Brasil AL,3-1,3-0,Atlético Goianiense,2018-05-04T23:30Z
4,Fri May 4 2018,21:30,-0300,Oeste SP,1-1,0-0,Coritiba PR,2018-05-05T00:30Z
4,Sat May 5 2018,16:30,-0300,Goiás GO,1-3,1-1,Vila Nova GO,2018-05-05T19:30Z
4,Sat May 5 2018,19:00,-0300,Guarani SP,2-3,1-2,Ponte Preta,2018-05-05T22:00Z
4,Sat May 5 2018,16:30,-0300,Avaí SC,1-1,1-1,São Bento SP,2018-05-05T19:30Z
5,Mon May 7 2018,20:30,-0300,Sampaio Corrêa MA,2-3,1-1,CR Brasil AL,2018-05-07T23:30Z
5,Tue May 8 2018,21:30,-0300,Coritiba PR,1-0,0-0,Brasil de Pelotas RS,2018-05-09T00:30Z
5,Tue May 8 2018,19:15,-0300,Guarani SP,1-0,1-0,Criciúma SC,2018-05-08T22:15Z
5,Fri May 11 2018,21:30,-0300,Atlético Goianiense,0-0,0-0,Londrina PR,2018-05-12T00:30Z
5,Fri May 11 2018,19:15,-0300,Juventude RS,1-1,0-1,Paysandu PA,2018-05-11T22:15Z
5,Sat May 12 2018,16:30,-0300,São Bento SP,1-0,0-0,Oeste SP,2018-05-12T19:30Z
5,Sat May 12 2018,16:30,-0300,Figueirense SC,0-1,0-0,Avaí SC,2018-05-12T19:30Z
5,Sat May 12 2018,16:30,-0300,CSA AL,1-0,0-0,Boa Esporte MG,2018-05-12T19:30Z
5,Sat May 12 2018,19:00,-0300,Fortaleza CE,3-0,0-0,Goiás GO,2018-05-12T22:00Z
