Stage,Round,Date,Team 1,FT,Team 2
Apertura,1,Fri Jul 19 2019,Club Puebla,1-3,Club Tijuana
Apertura,1,Fri Jul 19 2019,Club Atlas,1-0,FC Juárez
Apertura,1,Sat Jul 20 2019,CF Pachuca,1-3,Club León
Apertura,1,Sat Jul 20 2019,Atlético San Luis,0-2,Pumas UNAM
Apertura,1,Sat Jul 20 2019,Club América,4-2,CF Monterrey
Apertura,1,Sat Jul 20 2019,Tigres UANL,4-2,Monarcas Morelia
Apertura,1,Sat Jul 20 2019,Club Necaxa,0-0,Cruz Azul
Apertura,1,Sun Jul 21 2019,Deportivo Toluca FC,0-2,Querétaro FC
Apertura,1,Sun Jul 21 2019,Santos Laguna,3-0,CD Guadalajara Chivas
Apertura,2,Fri Jul 26 2019,Monarcas Morelia,0-1,Club Atlas
Apertura,2,Fri Jul 26 2019,Tiburones Rojos Veracruz,3-3,CF Pachuca
Apertura,2,Sat Jul 27 2019,Club León,0-0,Club América
Apertura,2,Sat Jul 27 2019,Club Tijuana,1-1,Querétaro FC
Apertura,2,Sat Jul 27 2019,Cruz Azul,1-1,Deportivo Toluca FC
Apertura,2,Sun Jul 28 2019,Pumas UNAM,2-0,Club Necaxa
Apertura,2,Sun Jul 28 2019,Atlético San Luis,1-0,CF Monterrey
Apertura,2,Sun Jul 28 2019,CD Guadalajara Chivas,2-0,Tigres UANL
Apertura,2,Sun Jul 28 2019,Santos Laguna,3-0,FC Juárez
Apertura,3,Fri Aug 2 2019,Club Puebla,1-1,CD Guadalajara Chivas
Apertura,3,Fri Aug 2 2019,Club Atlas,1-2,Santos Laguna
Apertura,3,Sat Aug 3 2019,Querétaro FC,3-0,Cruz Azul
Apertura,3,Sat Aug 3 2019,Club América,3-1,Club Tijuana
Apertura,3,Sat Aug 3 2019,CF Monterrey,3-2,Club León
Apertura,3,Sat Aug 3 2019,Club Necaxa,7-0,Tiburones Rojos Veracruz
Apertura,3,Sat Aug 3 2019,CF Pachuca,1-2,Monarcas Morelia
Apertura,3,Sun Aug 4 2019,Pumas UNAM,0-1,Tigres UANL
Apertura,3,Sun Aug 4 2019,FC Juárez,2-0,Deportivo Toluca FC
Apertura,4,Fri Aug 9 2019,Monarcas Morelia,0-1,CF Monterrey
Apertura,4,Fri Aug 9 2019,Tiburones Rojos Veracruz,1-2,Club Atlas
Apertura,4,Fri Aug 9 2019,Club Tijuana,1-0,Pumas UNAM
Apertura,4,Sat Aug 10 2019,CD Guadalajara Chivas,3-0,Atlético San Luis
Apertura,4,Sat Aug 10 2019,Cruz Azul,2-0,FC Juárez
Apertura,4,Sat Aug 10 2019,Tigres UANL,3-1,Club Necaxa
Apertura,4,Sat Aug 10 2019,Querétaro FC,2-1,CF Pachuca
Apertura,4,Sun Aug 11 2019,Santos Laguna,4-1,Club Puebla
Apertura,4,Sun Aug 11 2019,Deportivo Toluca FC,0-1,Club América
Apertura,5,Fri Aug 16 2019,Club Puebla,0-4,CF Pachuca
Apertura,5,Fri Aug 16 2019,Club Atlas,1-3,Cruz Azul
Apertura,5,Sat Aug 17 2019,Atlético San Luis,1-1,Tigres UANL
Apertura,5,Sat Aug 17 2019,Club León,4-3,CD Guadalajara Chivas
Apertura,5,Sat Aug 17 2019,CF Monterrey,2-0,Deportivo Toluca FC
Apertura,5,Sat Aug 17 2019,Club América,1-0,Monarcas Morelia
Apertura,5,Sun Aug 18 2019,Pumas UNAM,2-0,Tiburones Rojos Veracruz
Apertura,5,Sun Aug 18 2019,FC Juárez,0-2,Querétaro FC
Apertura,5,Sun Aug 18 2019,Club Necaxa,3-0,Santos Laguna
Apertura,6,Fri Aug 23 2019,Tiburones Rojos Veracruz,1-2,Atlético San Luis
Apertura,6,Fri Aug 23 2019,Monarcas Morelia,2-0,Pumas UNAM
Apertura,6,Fri Aug 23 2019,Santos Laguna,2-1,CF Monterrey
Apertura,6,Sat Aug 24 2019,Querétaro FC,0-4,Club León
Apertura,6,Sat Aug 24 2019,CF Pachuca,3-1,Club Atlas
Apertura,6,Sat Aug 24 2019,Cruz Azul,1-1,Club Puebla
Apertura,6,Sat Aug 24 2019,Tigres UANL,1-1,Club América
Apertura,6,Sun Aug 25 2019,Deportivo Toluca FC,2-0,Club Tijuana
Apertura,6,Sun Aug 25 2019,CD Guadalajara Chivas,1-2,Club Necaxa
Apertura,7,Tue Aug 27 2019,Tiburones Rojos Veracruz,0-5,Querétaro FC
Apertura,7,Tue Aug 27 2019,Atlético San Luis,1-1,Monarcas Morelia
Apertura,7,Tue Aug 27 2019,Club América,1-1,CF Pachuca
Apertura,7,Tue Aug 27 2019,Club Atlas,1-1,Tigres UANL
Apertura,7,Wed Aug 28 2019,Club León,2-2,Santos Laguna
Apertura,7,Wed Aug 28 2019,Club Necaxa,1-1,Deportivo Toluca FC
Apertura,7,Wed Aug 28 2019,Club Tijuana,3-2,Cruz Azul
Apertura,7,Thu Aug 29 2019,CF Monterrey,2-0,Pumas UNAM
Apertura,7,Thu Aug 29 2019,Club Puebla,2-1,FC Juárez
Apertura,8,Fri Aug 30 2019,Club Atlas,3-0,Club América
Apertura,8,Fri Aug 30 2019,Monarcas Morelia,1-0,Tiburones Rojos Veracruz
Apertura,8,Sat Aug 31 2019,Club Necaxa,3-2,Club Tijuana
Apertura,8,Sat Aug 31 2019,Cruz Azul,1-1,CD Guadalajara Chivas
Apertura,8,Sat Aug 31 2019,CF Pachuca,0-2,Atlético San Luis
Apertura,8,Sat Aug 31 2019,Tigres UANL,1-1,Club León
Apertura,8,Sun Sep 1 2019,Pumas UNAM,2-1,Deportivo Toluca FC
Apertura,8,Sun Sep 1 2019,Querétaro FC,1-1,Club Puebla
Apertura,8,Sun Sep 1 2019,FC Juárez,1-0,CF Monterrey
Apertura,9,Fri Sep 13 2019,Club Puebla,1-3,Atlético San Luis
Apertura,9,Fri Sep 13 2019,Club Tijuana,1-1,Tigres UANL
Apertura,9,Fri Sep 13 2019,Tiburones Rojos Veracruz,0-0,Cruz Azul
Apertura,9,Sat Sep 14 2019,CF Monterrey,0-2,Club Necaxa
Apertura,9,Sat Sep 14 2019,Club León,3-1,FC Juárez
Apertura,9,Sat Sep 14 2019,CD Guadalajara Chivas,1-0,Club Atlas
Apertura,9,Sat Sep 14 2019,Club América,1-1,Pumas UNAM
Apertura,9,Sun Sep 15 2019,Deportivo Toluca FC,0-2,Monarcas Morelia
Apertura,9,Sun Sep 15 2019,Santos Laguna,2-2,CF Pachuca
Apertura,10,Fri Sep 20 2019,Monarcas Morelia,1-0,CD Guadalajara Chivas
Apertura,10,Fri Sep 20 2019,Club Atlas,0-1,Deportivo Toluca FC
Apertura,10,Sat Sep 21 2019,Atlético San Luis,2-3,Santos Laguna
Apertura,10,Sat Sep 21 2019,Club Necaxa,2-4,Club León
Apertura,10,Sat Sep 21 2019,Club América,2-2,Querétaro FC
