Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Thu Aug 12 2010,19:00,CEST/+0200,SV Mattersburg II,0-1,0-0,Austria Wien II,,,2010-08-12T17:00Z
Round 1,Fri Aug 13 2010,18:00,CEST/+0200,SV Sierning,1-3,0-2,TSV Hartberg,,,2010-08-13T16:00Z
Round 1,Fri Aug 13 2010,18:30,CEST/+0200,SKN St. Pölten II,1-4,0-2,RB Salzburg,,,2010-08-13T16:30Z
Round 1,Fri Aug 13 2010,18:30,CEST/+0200,SC Bregenz,1-2,0-1,FC Lustenau,,,2010-08-13T16:30Z
Round 1,Fri Aug 13 2010,19:00,CEST/+0200,WSG Wattens,1-2,0-1,First Vienna FC,,,2010-08-13T17:00Z
Round 1,Fri Aug 13 2010,19:00,CEST/+0200,FC Wacker Innsbruck II,3-5,2-2,SV Grödig,,,2010-08-13T17:00Z
Round 1,Fri Aug 13 2010,19:00,CEST/+0200,FAC Team für Wien,1-2,0-1,KSV Superfund,,,2010-08-13T17:00Z
Round 1,Fri Aug 13 2010,19:00,CEST/+0200,SV Seekirchen,3-2,2-0,Post SV Wien,,,2010-08-13T17:00Z
Round 1,Fri Aug 13 2010,19:00,CEST/+0200,FC Kufstein,2-2,0-1,USK Maximarkt Anif,4-4,5-4,2010-08-13T17:00Z
Round 1,Fri Aug 13 2010,19:00,CEST/+0200,SC/ESV Parndorf,4-0,1-0,SV Feldkirchen/Kärnten,,,2010-08-13T17:00Z
Round 1,Fri Aug 13 2010,19:30,CEST/+0200,SV Horn,1-2,0-1,Sturm Graz,,,2010-08-13T17:30Z
Round 1,Fri Aug 13 2010,19:30,CEST/+0200,SKU Amstetten,2-1,1-0,FC Trenkwalder Admira,,,2010-08-13T17:30Z
Round 1,Fri Aug 13 2010,19:30,CEST/+0200,SC Sollenau,4-2,2-1,Favoritner AC,,,2010-08-13T17:30Z
Round 1,Sat Aug 14 2010,15:30,CEST/+0200,SVG Reichenau,0-8,0-4,SCR Altach,,,2010-08-14T13:30Z
Round 1,Sat Aug 14 2010,16:00,CEST/+0200,FC Dornbirn,1-0,0-0,SC Magna Wiener Neustadt,,,2010-08-14T14:00Z
Round 1,Sat Aug 14 2010,16:00,CEST/+0200,SAK Klagenfurt,1-1,0-1,WAC/St. Andrä,2-2,2-4,2010-08-14T14:00Z
Round 1,Sat Aug 14 2010,17:00,CEST/+0200,Austria Salzburg,0-3,0-3,Austria Lustenau,,,2010-08-14T15:00Z
Round 1,Sat Aug 14 2010,17:00,CEST/+0200,Rapid Wien II,2-5,2-2,Rapid Wien,,,2010-08-14T15:00Z
Round 1,Sat Aug 14 2010,17:00,CEST/+0200,SC Retz,2-2,1-0,FC Gratkorn,2-2,2-4,2010-08-14T15:00Z
Round 1,Sat Aug 14 2010,17:00,CEST/+0200,SV Gaflenz,2-1,1-1,FC Illmitz,,,2010-08-14T15:00Z
Round 1,Sat Aug 14 2010,17:00,CEST/+0200,ASK Voitsberg,7-1,3-1,USC Wallern,,,2010-08-14T15:00Z
Round 1,Sat Aug 14 2010,17:00,CEST/+0200,Kapfenberger SV 1919 II,3-1,1-0,FC Juniors OÖ,,,2010-08-14T15:00Z
Round 1,Sat Aug 14 2010,17:00,CEST/+0200,FC Höchst,1-1,0-1,RB Salzburg II,1-1,4-3,2010-08-14T15:00Z
Round 1,Sat Aug 14 2010,18:00,CEST/+0200,Union Vöcklamarkt,0-3,0-1,FC Wacker Innsbruck,,,2010-08-14T16:00Z
Round 1,Sat Aug 14 2010,18:00,CEST/+0200,Vorwärts Steyr,1-0,0-0,SKN St. Pölten,,,2010-08-14T16:00Z
Round 1,Sat Aug 14 2010,18:00,CEST/+0200,SV Gleinstätten,5-3,3-1,Villacher SV,,,2010-08-14T16:00Z
Round 1,Sat Aug 14 2010,18:00,CEST/+0200,TUS Paldau,1-4,1-2,FC Waidhofen/Ybbs,,,2010-08-14T16:00Z
Round 1,Sat Aug 14 2010,19:00,CEST/+0200,SK Austria Klagenfurt,1-2,0-0,LASK Linz,,,2010-08-14T17:00Z
Round 1,Sat Aug 14 2010,19:00,CEST/+0200,SPG Neuhofen/Ried II,0-3,0-1,Austria Wien,,,2010-08-14T17:00Z
Round 1,Sun Aug 15 2010,18:00,CEST/+0200,Sturm Graz II,0-5,0-2,SV Ried,,,2010-08-15T16:00Z
Round 1,Tue Aug 17 2010,19:00,CEST/+0200,USV Allerheiligen,2-3,2-2,FC Blau Weiß Linz,,,2010-08-17T17:00Z
Round 1,Tue Aug 17 2010,19:30,CEST/+0200,SV Stegersbach,1-5,1-3,SV Mattersburg,,,2010-08-17T17:30Z
Round 2,Thu Sep 16 2010,19:00,CEST/+0200,SKU Amstetten,0-2,0-1,SCR Altach,,,2010-09-16T17:00Z
