Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 5 2011,18:00,Young Violets,4-0,2-0,First Vienna FC,,
1. Runde,Fri Aug 5 2011,18:00,Rapid Wien II,1-0,0-0,SC Wiener Neustadt,,
1. Runde,Fri Aug 5 2011,18:30,FC Dornbirn,4-0,1-0,SV Stegersbach,,
1. Runde,Fri Aug 5 2011,19:00,ASC Götzendorf,3-2,2-1,SKN St. Pölten,,
1. Runde,Fri Aug 5 2011,19:00,ATSV Wolfsberg,1-2,1-0,WAC/St. Andrä,,
1. Runde,Fri Aug 5 2011,19:00,Post SV Wien,0-3,0-2,Kapfenberger SV,,
1. Runde,Fri Aug 5 2011,19:00,Sturm Graz II,2-2,0-1,LASK Linz,2-5,
1. Runde,Fri Aug 5 2011,19:00,DSV Leoben,2-3,0-2,FC Lustenau,,
1. Runde,Fri Aug 5 2011,19:00,SC Kundl,0-3,0-0,TSV Hartberg,,
1. Runde,Fri Aug 5 2011,19:00,ASKÖ Donau Linz,0-3,0-0,SV Grödig,,
1. Runde,Fri Aug 5 2011,19:00,USV Allerheiligen,1-0,0-0,Union Vöcklamarkt,,
1. Runde,Fri Aug 5 2011,19:30,Wiener Sportklub,1-2,0-0,ASK Bad Vöslau,,
1. Runde,Fri Aug 5 2011,20:00,SKU Amstetten,4-1,3-0,SC Schwaz,,
1. Runde,Sat Aug 6 2011,16:00,WSG Wattens,1-1,1-0,SV St. Margarethen,2-2,3-5
1. Runde,Sat Aug 6 2011,17:00,FC Hellas Kagran,0-4,0-2,FC Wacker Innsbruck,,
1. Runde,Sat Aug 6 2011,17:00,Union Innsbruck,3-2,1-1,SV Grieskirchen,,
1. Runde,Sat Aug 6 2011,17:00,SC/ESV Parndorf,3-0,1-0,Austria Salzburg,,
1. Runde,Sat Aug 6 2011,17:00,SAK Klagenfurt,3-1,2-1,SC Sollenau,,
1. Runde,Sat Aug 6 2011,17:00,SC Weiz,5-1,0-1,TSV Neumarkt,,
1. Runde,Sat Aug 6 2011,17:30,SC Bregenz,0-2,0-1,Austria Lustenau,,
1. Runde,Sat Aug 6 2011,18:00,Vorwärts Steyr,1-6,0-3,FC Admira Wacker,,
1. Runde,Sat Aug 6 2011,18:00,Union St. Florian,2-0,0-0,SCR Altach,,
1. Runde,Sat Aug 6 2011,18:00,Kapfenberger SV II,1-3,0-2,SV Mattersburg,,
1. Runde,Sat Aug 6 2011,18:00,RB Salzburg II,5-0,1-0,SC Brunn am Gebirge,,
1. Runde,Sat Aug 6 2011,18:00,SV Grödig II,0-4,0-2,Sturm Graz,,
1. Runde,Sat Aug 6 2011,19:00,ASKÖ Stinatz,1-3,1-1,FC Blau Weiß Linz,,
1. Runde,Sat Aug 6 2011,19:00,FC Juniors OÖ,0-7,0-3,Rapid Wien,,
1. Runde,Sun Aug 7 2011,10:30,SVG Reichenau,0-0,0-0,SK Austria Klagenfurt,0-0,4-1
