Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 5 2011,19:00,CEST/+0200,FAC Team für Wien,1-2,1-0,SV Schwechat,2011-08-05T17:00Z
1,Sat Aug 6 2011,19:00,CEST/+0200,SC Ritzing,2-2,0-0,SV Mattersburg II,2011-08-06T17:00Z
1,Tue Aug 9 2011,19:00,CEST/+0200,1. Simmeringer SC,4-0,1-0,SC Sollenau,2011-08-09T17:00Z
1,Tue Aug 9 2011,19:00,CEST/+0200,FC Trenkwalder Admira II,2-1,1-0,Wiener Sportklub,2011-08-09T17:00Z
1,Tue Aug 9 2011,19:30,CEST/+0200,SV Stegersbach,2-2,1-0,SV Horn,2011-08-09T17:30Z
1,Tue Aug 9 2011,19:30,CEST/+0200,Rapid Wien II,2-1,1-0,SC Neusiedl/See 1919,2011-08-09T17:30Z
1,Tue Aug 9 2011,19:30,CEST/+0200,SKU Amstetten,0-2,0-1,Austria Wien II,2011-08-09T17:30Z
1,Tue Aug 9 2011,19:00,CEST/+0200,SC/ESV Parndorf,1-0,0-0,SC Columbia Floridsdorf,2011-08-09T17:00Z
2,Fri Aug 12 2011,19:00,CEST/+0200,Austria Wien II,6-0,3-0,SC Ritzing,2011-08-12T17:00Z
2,Fri Aug 12 2011,19:00,CEST/+0200,SC Neusiedl/See 1919,0-1,0-0,FAC Team für Wien,2011-08-12T17:00Z
2,Fri Aug 12 2011,19:30,CEST/+0200,Wiener Sportklub,2-2,1-1,SC/ESV Parndorf,2011-08-12T17:30Z
2,Fri Aug 12 2011,19:30,CEST/+0200,SV Schwechat,2-0,2-0,FC Trenkwalder Admira II,2011-08-12T17:30Z
2,Fri Aug 12 2011,19:30,CEST/+0200,SV Horn,5-1,2-1,SV Mattersburg II,2011-08-12T17:30Z
2,Fri Aug 12 2011,19:30,CEST/+0200,SV Stegersbach,2-2,2-0,1. Simmeringer SC,2011-08-12T17:30Z
2,Fri Aug 12 2011,20:00,CEST/+0200,SC Sollenau,0-2,0-2,Rapid Wien II,2011-08-12T18:00Z
2,Mon Aug 15 2011,16:00,CEST/+0200,SC Columbia Floridsdorf,0-3,0-0,SKU Amstetten,2011-08-15T14:00Z
3,Fri Aug 19 2011,19:00,CEST/+0200,FAC Team für Wien,1-3,1-2,SC Sollenau,2011-08-19T17:00Z
3,Fri Aug 19 2011,19:00,CEST/+0200,SC/ESV Parndorf,0-1,0-0,SV Schwechat,2011-08-19T17:00Z
3,Fri Aug 19 2011,19:00,CEST/+0200,FC Trenkwalder Admira II,2-0,0-0,SC Neusiedl/See 1919,2011-08-19T17:00Z
3,Fri Aug 19 2011,19:00,CEST/+0200,SV Mattersburg II,2-0,1-0,Austria Wien II,2011-08-19T17:00Z
3,Fri Aug 19 2011,19:30,CEST/+0200,Rapid Wien II,1-3,0-2,SV Stegersbach,2011-08-19T17:30Z
3,Fri Aug 19 2011,20:00,CEST/+0200,SKU Amstetten,2-3,0-1,Wiener Sportklub,2011-08-19T18:00Z
3,Sat Aug 20 2011,19:00,CEST/+0200,SC Ritzing,2-0,1-0,SC Columbia Floridsdorf,2011-08-20T17:00Z
3,Sat Aug 20 2011,18:00,CEST/+0200,1. Simmeringer SC,2-2,0-2,SV Horn,2011-08-20T16:00Z
4,Fri Aug 26 2011,19:00,CEST/+0200,SC Neusiedl/See 1919,0-2,0-0,SC/ESV Parndorf,2011-08-26T17:00Z
4,Fri Aug 26 2011,19:30,CEST/+0200,SV Stegersbach,0-1,0-0,FAC Team für Wien,2011-08-26T17:30Z
4,Fri Aug 26 2011,19:30,CEST/+0200,Wiener Sportklub,2-0,0-0,SC Ritzing,2011-08-26T17:30Z
4,Fri Aug 26 2011,19:30,CEST/+0200,SV Schwechat,1-1,1-1,SKU Amstetten,2011-08-26T17:30Z
4,Fri Aug 26 2011,19:30,CEST/+0200,SC Sollenau,4-0,2-0,FC Trenkwalder Admira II,2011-08-26T17:30Z
4,Fri Aug 26 2011,19:30,CEST/+0200,SV Horn,3-0,1-0,Austria Wien II,2011-08-26T17:30Z
4,Sat Aug 27 2011,18:00,CEST/+0200,1. Simmeringer SC,2-1,2-0,Rapid Wien II,2011-08-27T16:00Z
4,Sat Aug 27 2011,16:00,CEST/+0200,SC Columbia Floridsdorf,2-0,0-0,SV Mattersburg II,2011-08-27T14:00Z
5,Thu Sep 1 2011,20:00,CEST/+0200,SKU Amstetten,1-3,0-1,SC Neusiedl/See 1919,2011-09-01T18:00Z
5,Thu Sep 1 2011,19:30,CEST/+0200,Austria Wien II,3-0,0-0,SC Columbia Floridsdorf,2011-09-01T17:30Z
