Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Jul 28 2023,19:00,EEST/+0300,NK Veres,0-2,0-2,Polissya Zhytomyr,,2023-07-28T16:00Z
1,Fri Jul 28 2023,17:00,EEST/+0300,FK Obolon,0-0,0-0,Kolos Kovalivka,,2023-07-28T14:00Z
1,Sat Jul 29 2023,17:00,EEST/+0300,Metalist 1925 Kharkiv,1-2,0-1,Shakhtar Donetsk,,2023-07-29T14:00Z
1,Sat Jul 29 2023,15:00,EEST/+0300,Rukh Lviv,2-1,0-1,Zorya Lugansk,,2023-07-29T12:00Z
1,Sun Jul 30 2023,15:00,EEST/+0300,FC LNZ Cherkasy,0-2,0-1,Chernomorets Odessa,,2023-07-30T12:00Z
1,Sun Jul 30 2023,17:00,EEST/+0300,Dinamo Kiev,4-1,2-1,FC Mynai,,2023-07-30T14:00Z
1,Sun Jul 30 2023,19:00,EEST/+0300,FK Oleksandriya,1-0,1-0,Kryvbas Kryvyi Rih,,2023-07-30T16:00Z
2,Wed Aug 2 2023,17:00,EEST/+0300,NK Veres,1-1,0-1,Shakhtar Donetsk,,2023-08-02T14:00Z
2,Fri Aug 4 2023,17:00,EEST/+0300,FK Obolon,2-4,1-3,Dinamo Kiev,,2023-08-04T14:00Z
2,Sat Aug 5 2023,15:00,EEST/+0300,FC Mynai,0-3,0-1,FC LNZ Cherkasy,,2023-08-05T12:00Z
2,Sat Aug 5 2023,20:00,EEST/+0300,FK Oleksandriya,1-0,1-0,Metalist 1925 Kharkiv,,2023-08-05T17:00Z
2,Sun Aug 6 2023,19:00,EEST/+0300,Rukh Lviv,4-1,1-1,Vorskla Poltava,,2023-08-06T16:00Z
2,Sun Aug 6 2023,15:00,EEST/+0300,SK Dnipro-1,2-1,0-0,Polissya Zhytomyr,,2023-08-06T12:00Z
2,Sun Aug 6 2023,17:00,EEST/+0300,Kolos Kovalivka,2-0,0-0,Chernomorets Odessa,,2023-08-06T14:00Z
2,Sun Aug 6 2023,17:00,EEST/+0300,Zorya Lugansk,1-3,1-1,Kryvbas Kryvyi Rih,,2023-08-06T14:00Z
3,Sat Aug 12 2023,15:00,EEST/+0300,Chernomorets Odessa,2-0,1-0,FK Obolon,,2023-08-12T12:00Z
3,Sat Aug 12 2023,17:00,EEST/+0300,Kolos Kovalivka,2-0,1-0,NK Veres,,2023-08-12T14:00Z
3,Sat Aug 12 2023,17:00,EEST/+0300,Polissya Zhytomyr,0-1,0-0,Rukh Lviv,,2023-08-12T14:00Z
3,Sun Aug 13 2023,13:00,EEST/+0300,FC Mynai,1-1,0-0,SK Dnipro-1,,2023-08-13T10:00Z
3,Sun Aug 13 2023,17:00,EEST/+0300,Kryvbas Kryvyi Rih,2-0,1-0,FC LNZ Cherkasy,,2023-08-13T14:00Z
3,Sun Aug 13 2023,15:00,EEST/+0300,Vorskla Poltava,1-2,0-1,Zorya Lugansk,,2023-08-13T12:00Z
3,Mon Aug 14 2023,17:00,EEST/+0300,Shakhtar Donetsk,2-1,2-0,FK Oleksandriya,,2023-08-14T14:00Z
4,Fri Aug 18 2023,19:00,EEST/+0300,Zorya Lugansk,0-0,0-0,FK Oleksandriya,,2023-08-18T16:00Z
4,Fri Aug 18 2023,17:00,EEST/+0300,FC LNZ Cherkasy,1-2,0-0,Polissya Zhytomyr,,2023-08-18T14:00Z
4,Sat Aug 19 2023,19:00,EEST/+0300,Rukh Lviv,1-1,0-1,Kolos Kovalivka,,2023-08-19T16:00Z
4,Sat Aug 19 2023,17:00,EEST/+0300,Metalist 1925 Kharkiv,1-0,0-0,FC Mynai,,2023-08-19T14:00Z
4,Sat Aug 19 2023,15:00,EEST/+0300,NK Veres,1-2,1-2,Vorskla Poltava,,2023-08-19T12:00Z
4,Sun Aug 20 2023,17:00,EEST/+0300,Chernomorets Odessa,3-2,1-0,Dinamo Kiev,,2023-08-20T14:00Z
