Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Sep 16 2023,19:30,CEST/+0200,St. Joseph's FC,3-0,0-0,Europa FC,2023-09-16T17:30Z
,1,Sat Sep 16 2023,16:30,CEST/+0200,Europa Point FC,1-5,0-3,Manchester 62 FC,2023-09-16T14:30Z
,1,Sun Sep 17 2023,19:30,CEST/+0200,Glacis United FC,2-1,2-0,Mons Calpe S.C.,2023-09-17T17:30Z
,1,Sun Sep 17 2023,16:30,CEST/+0200,Lynx FC,4-1,2-0,Lions Gibraltar,2023-09-17T14:30Z
,2,Fri Sep 22 2023,21:00,CEST/+0200,Europa FC,0-3,0-1,College 1975 FC,2023-09-22T19:00Z
,2,Sat Sep 23 2023,19:30,CEST/+0200,Manchester 62 FC,5-0,3-0,Glacis United FC,2023-09-23T17:30Z
,2,Sat Sep 23 2023,16:30,CEST/+0200,Lions Gibraltar,1-5,1-3,St. Joseph's FC,2023-09-23T14:30Z
,2,Sun Sep 24 2023,16:30,CEST/+0200,Lincoln Red Imps,3-2,3-0,Lynx FC,2023-09-24T14:30Z
,2,Sun Sep 24 2023,19:30,CEST/+0200,Mons Calpe S.C.,2-4,1-1,FCB Magpies,2023-09-24T17:30Z
,3,Wed Sep 27 2023,21:00,CEST/+0200,College 1975 FC,2-1,2-1,Lions Gibraltar,2023-09-27T19:00Z
,3,Thu Sep 28 2023,21:00,CEST/+0200,St. Joseph's FC,1-0,0-0,Lincoln Red Imps,2023-09-28T19:00Z
,3,Fri Sep 29 2023,21:00,CEST/+0200,Glacis United FC,3-1,2-1,Europa Point FC,2023-09-29T19:00Z
,3,Sat Sep 30 2023,16:30,CEST/+0200,Lynx FC,2-1,1-1,Mons Calpe S.C.,2023-09-30T14:30Z
,3,Sat Sep 30 2023,19:30,CEST/+0200,FCB Magpies,2-0,1-0,Manchester 62 FC,2023-09-30T17:30Z
,4,Tue Oct 3 2023,21:00,CEST/+0200,College 1975 FC,0-3,0-1,St. Joseph's FC,2023-10-03T19:00Z
