Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 19 2023,18:30,CEST/+0200,Frosinone Calcio,1-3,1-2,SSC Napoli,2023-08-19T16:30Z
1,Sat Aug 19 2023,20:45,CEST/+0200,Genoa CFC,1-4,0-3,ACF Fiorentina,2023-08-19T18:45Z
1,Sat Aug 19 2023,20:45,CEST/+0200,Inter,2-0,1-0,AC Monza,2023-08-19T18:45Z
1,Sat Aug 19 2023,18:30,CEST/+0200,Empoli FC,0-1,0-0,Hellas Verona,2023-08-19T16:30Z
1,Sun Aug 20 2023,18:30,CEST/+0200,AS Roma,2-2,1-1,US Salernitana 1919,2023-08-20T16:30Z
1,Sun Aug 20 2023,18:30,CEST/+0200,Sassuolo Calcio,0-2,0-0,Atalanta,2023-08-20T16:30Z
1,Sun Aug 20 2023,20:45,CEST/+0200,US Lecce,2-1,0-1,Lazio Roma,2023-08-20T18:45Z
1,Sun Aug 20 2023,20:45,CEST/+0200,Udinese Calcio,0-3,0-3,Juventus,2023-08-20T18:45Z
1,Mon Aug 21 2023,20:45,CEST/+0200,Bologna FC,0-2,0-2,AC Milan,2023-08-21T18:45Z
1,Mon Aug 21 2023,18:30,CEST/+0200,Torino FC,0-0,0-0,Cagliari Calcio,2023-08-21T16:30Z
2,Sat Aug 26 2023,18:30,CEST/+0200,Frosinone Calcio,2-1,2-0,Atalanta,2023-08-26T16:30Z
2,Sat Aug 26 2023,18:30,CEST/+0200,AC Monza,2-0,1-0,Empoli FC,2023-08-26T16:30Z
2,Sat Aug 26 2023,20:45,CEST/+0200,Hellas Verona,2-1,2-0,AS Roma,2023-08-26T18:45Z
2,Sat Aug 26 2023,20:45,CEST/+0200,AC Milan,4-1,3-1,Torino FC,2023-08-26T18:45Z
2,Sun Aug 27 2023,18:30,CEST/+0200,Juventus,1-1,0-1,Bologna FC,2023-08-27T16:30Z
2,Sun Aug 27 2023,20:45,CEST/+0200,Lazio Roma,0-1,0-1,Genoa CFC,2023-08-27T18:45Z
2,Sun Aug 27 2023,20:45,CEST/+0200,SSC Napoli,2-0,1-0,Sassuolo Calcio,2023-08-27T18:45Z
2,Sun Aug 27 2023,18:30,CEST/+0200,ACF Fiorentina,2-2,2-0,US Lecce,2023-08-27T16:30Z
2,Mon Aug 28 2023,20:45,CEST/+0200,Cagliari Calcio,0-2,0-2,Inter,2023-08-28T18:45Z
2,Mon Aug 28 2023,18:30,CEST/+0200,US Salernitana 1919,1-1,0-0,Udinese Calcio,2023-08-28T16:30Z
3,Fri Sep 1 2023,20:45,CEST/+0200,AS Roma,1-2,0-1,AC Milan,2023-09-01T18:45Z
3,Fri Sep 1 2023,18:30,CEST/+0200,Sassuolo Calcio,3-1,1-0,Hellas Verona,2023-09-01T16:30Z
3,Sat Sep 2 2023,18:30,CEST/+0200,Bologna FC,2-1,0-1,Cagliari Calcio,2023-09-02T16:30Z
3,Sat Sep 2 2023,18:30,CEST/+0200,Udinese Calcio,0-0,0-0,Frosinone Calcio,2023-09-02T16:30Z
3,Sat Sep 2 2023,20:45,CEST/+0200,Atalanta,3-0,2-0,AC Monza,2023-09-02T18:45Z
3,Sat Sep 2 2023,20:45,CEST/+0200,SSC Napoli,1-2,1-1,Lazio Roma,2023-09-02T18:45Z
3,Sun Sep 3 2023,18:30,CEST/+0200,Torino FC,1-0,0-0,Genoa CFC,2023-09-03T16:30Z
3,Sun Sep 3 2023,20:45,CEST/+0200,Empoli FC,0-2,0-1,Juventus,2023-09-03T18:45Z
3,Sun Sep 3 2023,20:45,CEST/+0200,US Lecce,2-0,1-0,US Salernitana 1919,2023-09-03T18:45Z
3,Sun Sep 3 2023,18:30,CEST/+0200,Inter,4-0,1-0,ACF Fiorentina,2023-09-03T16:30Z
4,Sat Sep 16 2023,18:00,CEST/+0200,Inter,5-1,2-0,AC Milan,2023-09-16T16:00Z
4,Sat Sep 16 2023,20:45,CEST/+0200,Genoa CFC,2-2,1-0,SSC Napoli,2023-09-16T18:45Z
4,Sat Sep 16 2023,15:00,CEST/+0200,Juventus,3-1,2-0,Lazio Roma,2023-09-16T13:00Z
4,Sun Sep 17 2023,12:30,CEST/+0200,Cagliari Calcio,0-0,0-0,Udinese Calcio,2023-09-17T10:30Z
4,Sun Sep 17 2023,15:00,CEST/+0200,Frosinone Calcio,4-2,1-2,Sassuolo Calcio,2023-09-17T13:00Z
4,Sun Sep 17 2023,15:00,CEST/+0200,AC Monza,1-1,1-1,US Lecce,2023-09-17T13:00Z
4,Sun Sep 17 2023,18:00,CEST/+0200,ACF Fiorentina,3-2,2-1,Atalanta,2023-09-17T16:00Z
4,Sun Sep 17 2023,20:45,CEST/+0200,AS Roma,7-0,3-0,Empoli FC,2023-09-17T18:45Z
4,Mon Sep 18 2023,20:45,CEST/+0200,Hellas Verona,0-0,0-0,Bologna FC,2023-09-18T18:45Z
4,Mon Sep 18 2023,18:30,CEST/+0200,US Salernitana 1919,0-3,0-2,Torino FC,2023-09-18T16:30Z
5,Fri Sep 22 2023,20:45,CEST/+0200,US Lecce,1-0,0-0,Genoa CFC,2023-09-22T18:45Z
5,Fri Sep 22 2023,18:30,CEST/+0200,US Salernitana 1919,1-1,0-1,Frosinone Calcio,2023-09-22T16:30Z
5,Sat Sep 23 2023,18:00,CEST/+0200,Sassuolo Calcio,4-2,2-1,Juventus,2023-09-23T16:00Z
5,Sat Sep 23 2023,20:45,CEST/+0200,Lazio Roma,1-1,1-1,AC Monza,2023-09-23T18:45Z
5,Sat Sep 23 2023,15:00,CEST/+0200,AC Milan,1-0,1-0,Hellas Verona,2023-09-23T13:00Z
5,Sun Sep 24 2023,12:30,CEST/+0200,Empoli FC,0-1,0-0,Inter,2023-09-24T10:30Z
5,Sun Sep 24 2023,15:00,CEST/+0200,Atalanta,2-0,1-0,Cagliari Calcio,2023-09-24T13:00Z
5,Sun Sep 24 2023,15:00,CEST/+0200,Udinese Calcio,0-2,0-1,ACF Fiorentina,2023-09-24T13:00Z
5,Sun Sep 24 2023,18:00,CEST/+0200,Bologna FC,0-0,0-0,SSC Napoli,2023-09-24T16:00Z
5,Sun Sep 24 2023,20:45,CEST/+0200,Torino FC,1-1,0-0,AS Roma,2023-09-24T18:45Z
