Round,Date,Time,Team 1,FT,HT,Team 2,P
Round 7,Fri Nov 17 2023,19:00,Vendée Les Herbiers,2-1,0-1,US Avranches,
Round 7,Fri Nov 17 2023,19:30,FC Sochaux,2-1,1-1,Jura Sud,
Round 7,Fri Nov 17 2023,19:30,FC Villefranche Beaujolais,1-2,1-0,Grenoble Foot 38,
Round 7,Fri Nov 17 2023,20:00,Canet Roussillon,1-1,1-0,Girondins Bordeaux,1-4
Round 7,Fri Nov 17 2023,19:00,Stade Briochin,3-3,0-0,US Concarneau,5-3
Round 7,Sat Nov 18 2023,04:30,Hienghène Sport,0-4,0-1,US Thionville-Lusitanos,
Round 7,Sat Nov 18 2023,13:45,LB Châteauroux,2-1,1-1,Red Star FC,
Round 7,Sat Nov 18 2023,13:45,SAS Épinal,2-1,0-0,ESTAC Troyes,
Round 7,Sat Nov 18 2023,13:45,FC Bourg-Péronnas,0-3,0-1,AS Saint-Étienne,
Round 7,Sat Nov 18 2023,14:00,Provin,0-5,0-4,Stade Lavallois,
Round 7,Sat Nov 18 2023,14:00,Houilles AC,0-2,0-1,Angers SCO,
Round 7,Sat Nov 18 2023,14:00,FC Saint-Méziéry,1-0,1-0,AS Pirae,
Round 7,Sat Nov 18 2023,14:00,Villejuif US,2-2,0-1,Paris FC,4-5
Round 7,Sat Nov 18 2023,14:00,FC Bondues,0-1,0-1,Entente Feignies Aulnoye,
Round 7,Sat Nov 18 2023,14:00,E. Itancourt-Neuville,3-2,2-1,IC Croix,
Round 7,Sat Nov 18 2023,14:00,FC Chaumont,0-1,0-0,USL Dunkerque,
Round 7,Sat Nov 18 2023,14:00,SSEP Hombourg-Haut,0-3,0-1,Amiens SC,
Round 7,Sat Nov 18 2023,14:00,AS Lavernose Lherm Mauzac,0-4,0-2,US Orléans,
Round 7,Sat Nov 18 2023,14:00,Lyon-La Duchère,4-1,1-1,SC Bastia,
Round 7,Sat Nov 18 2023,14:00,Hauts Lyonnais,2-0,0-0,CS Neuville-sur-Saône,
Round 7,Sat Nov 18 2023,14:00,FC Chaponnay-Marennes,0-0,0-0,Hyères FC,8-7
Round 7,Sat Nov 18 2023,14:30,RC Doullens,0-6,0-1,Dijon FCO,
Round 7,Sat Nov 18 2023,15:00,FCSR Haguenau,0-2,0-1,Valenciennes FC,
Round 7,Sat Nov 18 2023,15:00,JS Coulaines,2-1,0-1,SO Cholet,
Round 7,Sat Nov 18 2023,15:00,US Liffré,0-3,0-1,Rodez AF,
Round 7,Sat Nov 18 2023,15:00,Olympique Alès,6-1,1-1,AS Rosador,
