Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,1,Fri Sep 15 2023,21:15,CEST/+0200,SS Cosmos,4-1,2-1,FC Domagnano,,2023-09-15T19:15Z
,1,Fri Sep 15 2023,21:15,CEST/+0200,AC Juvenes/Dogana,1-1,0-0,SP Tre Penne,,2023-09-15T19:15Z
,1,Fri Sep 15 2023,21:15,CEST/+0200,SS Pennarossa,0-1,0-0,FC Fiorentino,,2023-09-15T19:15Z
,1,Sat Sep 16 2023,15:00,CEST/+0200,SS Murata,5-0,1-0,SC Faetano,,2023-09-16T13:00Z
,1,Sat Sep 16 2023,15:00,CEST/+0200,SP Cailungo,0-2,0-1,SS Folgore/Falciano,,2023-09-16T13:00Z
,1,Sat Sep 16 2023,15:00,CEST/+0200,SP Tre Fiori,0-1,0-0,SS Virtus,,2023-09-16T13:00Z
,1,Sun Sep 17 2023,15:00,CEST/+0200,SP La Fiorita,3-1,1-0,AC Libertas,,2023-09-17T13:00Z
,1,Sun Sep 17 2023,15:00,CEST/+0200,SS San Giovanni,3-1,1-0,San Marino Academy,,2023-09-17T13:00Z
,2,Fri Sep 22 2023,21:15,CEST/+0200,SS Virtus,1-0,1-0,SS Pennarossa,,2023-09-22T19:15Z
,2,Sat Sep 23 2023,15:00,CEST/+0200,AC Libertas,1-4,1-3,SS Murata,,2023-09-23T13:00Z
,2,Sat Sep 23 2023,15:00,CEST/+0200,SS San Giovanni,0-1,0-0,SP Tre Fiori,,2023-09-23T13:00Z
,2,Sat Sep 23 2023,15:00,CEST/+0200,SS Folgore/Falciano,0-0,0-0,SS Cosmos,,2023-09-23T13:00Z
,2,Sat Sep 23 2023,15:00,CEST/+0200,FC Fiorentino,0-1,0-0,SP Cailungo,,2023-09-23T13:00Z
,2,Sun Sep 24 2023,15:00,CEST/+0200,SC Faetano,1-4,0-2,SP La Fiorita,,2023-09-24T13:00Z
,2,Sun Sep 24 2023,15:00,CEST/+0200,SP Tre Penne,3-1,1-1,San Marino Academy,,2023-09-24T13:00Z
,2,Sun Sep 24 2023,15:00,CEST/+0200,FC Domagnano,0-3,0-1,AC Juvenes/Dogana,,2023-09-24T13:00Z
,3,Sat Sep 30 2023,15:00,CEST/+0200,SC Faetano,1-2,1-1,AC Libertas,,2023-09-30T13:00Z
,3,Sat Sep 30 2023,15:00,CEST/+0200,AC Juvenes/Dogana,1-2,1-0,SS Virtus,,2023-09-30T13:00Z
,3,Sat Sep 30 2023,15:00,CEST/+0200,SP Tre Fiori,1-0,1-0,FC Fiorentino,,2023-09-30T13:00Z
,3,Sat Sep 30 2023,15:00,CEST/+0200,SS Cosmos,0-0,0-0,SS San Giovanni,,2023-09-30T13:00Z
,3,Sun Oct 1 2023,15:00,CEST/+0200,San Marino Academy,4-0,1-0,SS Pennarossa,,2023-10-01T13:00Z
,3,Sun Oct 1 2023,15:00,CEST/+0200,SP La Fiorita,1-0,1-0,SS Folgore/Falciano,,2023-10-01T13:00Z
,3,Sun Oct 1 2023,18:15,CEST/+0200,SS Murata,1-0,0-0,FC Domagnano,,2023-10-01T16:15Z
,3,Sun Oct 1 2023,15:00,CEST/+0200,SP Cailungo,1-4,1-2,SP Tre Penne,,2023-10-01T13:00Z
,4,Tue Oct 3 2023,21:15,CEST/+0200,SS Virtus,2-1,1-1,AC Libertas,,2023-10-03T19:15Z
