Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Jul 29 2023,20:30,CEST/+0200,Velež Mostar,5-0,3-0,Zvijezda 09 Bijeljina,2023-07-29T18:30Z
1,Sun Jul 30 2023,20:30,CEST/+0200,FK Sarajevo,1-2,1-1,Sloga Doboj,2023-07-30T18:30Z
1,Sun Jul 30 2023,17:00,CEST/+0200,NK GOŠK Gabela,1-4,1-1,FK Tuzla City,2023-07-30T15:00Z
2,Fri Aug 4 2023,21:00,CEST/+0200,HŠK Posušje,1-2,0-1,Široki Brijeg,2023-08-04T19:00Z
2,Sat Aug 5 2023,17:00,CEST/+0200,Zvijezda 09 Bijeljina,3-4,1-3,Igman Konjic,2023-08-05T15:00Z
2,Sun Aug 6 2023,21:00,CEST/+0200,Velež Mostar,0-0,0-0,NK GOŠK Gabela,2023-08-06T19:00Z
3,Fri Aug 11 2023,21:00,CEST/+0200,FK Sarajevo,3-0,1-0,HŠK Posušje,2023-08-11T19:00Z
3,Sat Aug 12 2023,17:00,CEST/+0200,Igman Konjic,1-0,0-0,Sloga Doboj,2023-08-12T15:00Z
3,Sat Aug 12 2023,17:00,CEST/+0200,NK GOŠK Gabela,2-0,1-0,Zvijezda 09 Bijeljina,2023-08-12T15:00Z
3,Sat Aug 12 2023,20:45,CEST/+0200,Željezničar Sarajevo,2-0,0-0,Borac Banja Luka,2023-08-12T18:45Z
3,Sun Aug 13 2023,21:00,CEST/+0200,Široki Brijeg,1-0,1-0,FK Tuzla City,2023-08-13T19:00Z
4,Sat Aug 19 2023,17:00,CEST/+0200,Zvijezda 09 Bijeljina,1-0,0-0,Sloga Doboj,2023-08-19T15:00Z
4,Sat Aug 19 2023,20:45,CEST/+0200,HŠK Posušje,1-0,1-0,Željezničar Sarajevo,2023-08-19T18:45Z
4,Sun Aug 20 2023,20:00,CEST/+0200,Zrinjski Mostar,3-1,2-1,NK GOŠK Gabela,2023-08-20T18:00Z
4,Sun Aug 20 2023,21:30,CEST/+0200,Velež Mostar,1-1,0-1,Široki Brijeg,2023-08-20T19:30Z
4,Sun Aug 20 2023,19:30,CEST/+0200,Borac Banja Luka,4-1,2-1,Igman Konjic,2023-08-20T17:30Z
4,Mon Aug 21 2023,17:00,CEST/+0200,FK Tuzla City,1-2,0-2,FK Sarajevo,2023-08-21T15:00Z
5,Fri Aug 25 2023,20:00,CEST/+0200,Borac Banja Luka,5-0,1-0,Sloga Doboj,2023-08-25T18:00Z
5,Sat Aug 26 2023,17:00,CEST/+0200,Igman Konjic,2-1,2-0,HŠK Posušje,2023-08-26T15:00Z
5,Sat Aug 26 2023,20:45,CEST/+0200,Željezničar Sarajevo,3-1,1-0,FK Tuzla City,2023-08-26T18:45Z
5,Sun Aug 27 2023,19:30,CEST/+0200,Široki Brijeg,2-0,1-0,NK GOŠK Gabela,2023-08-27T17:30Z
5,Sun Aug 27 2023,19:45,CEST/+0200,Zrinjski Mostar,5-3,3-2,Zvijezda 09 Bijeljina,2023-08-27T17:45Z
5,Mon Aug 28 2023,21:00,CEST/+0200,FK Sarajevo,1-0,0-0,Velež Mostar,2023-08-28T19:00Z
1,Wed Aug 30 2023,18:30,CEST/+0200,Željezničar Sarajevo,1-0,0-0,Igman Konjic,2023-08-30T16:30Z
6,Fri Sep 1 2023,19:00,CEST/+0200,Borac Banja Luka,4-2,1-2,Zvijezda 09 Bijeljina,2023-09-01T17:00Z
6,Sat Sep 2 2023,19:30,CEST/+0200,HŠK Posušje,4-0,2-0,Sloga Doboj,2023-09-02T17:30Z
6,Sat Sep 2 2023,20:45,CEST/+0200,NK GOŠK Gabela,2-2,1-0,FK Sarajevo,2023-09-02T18:45Z
6,Sun Sep 3 2023,19:45,CEST/+0200,FK Tuzla City,3-1,1-1,Igman Konjic,2023-09-03T17:45Z
6,Sun Sep 3 2023,19:45,CEST/+0200,Velež Mostar,1-0,0-0,Željezničar Sarajevo,2023-09-03T17:45Z
1,Wed Sep 13 2023,18:30,CEST/+0200,Zrinjski Mostar,0-1,0-1,HŠK Posušje,2023-09-13T16:30Z
7,Fri Sep 15 2023,16:00,CEST/+0200,Sloga Doboj,2-1,1-1,FK Tuzla City,2023-09-15T14:00Z
7,Fri Sep 15 2023,18:30,CEST/+0200,Željezničar Sarajevo,2-3,1-0,NK GOŠK Gabela,2023-09-15T16:30Z
7,Sat Sep 16 2023,16:00,CEST/+0200,Igman Konjic,2-4,2-2,Velež Mostar,2023-09-16T14:00Z
7,Sat Sep 16 2023,20:45,CEST/+0200,FK Sarajevo,1-0,0-0,Zrinjski Mostar,2023-09-16T18:45Z
7,Sun Sep 17 2023,19:45,CEST/+0200,Široki Brijeg,2-1,2-0,Zvijezda 09 Bijeljina,2023-09-17T17:45Z
7,Sun Sep 17 2023,19:45,CEST/+0200,Borac Banja Luka,1-0,0-0,HŠK Posušje,2023-09-17T17:45Z
2,Wed Sep 20 2023,15:00,CEST/+0200,Sloga Doboj,3-0,1-0,Željezničar Sarajevo,2023-09-20T13:00Z
8,Fri Sep 22 2023,20:00,CEST/+0200,Široki Brijeg,1-0,0-0,FK Sarajevo,2023-09-22T18:00Z
8,Sat Sep 23 2023,20:45,CEST/+0200,Velež Mostar,4-2,2-1,Sloga Doboj,2023-09-23T18:45Z
8,Sat Sep 23 2023,18:30,CEST/+0200,NK GOŠK Gabela,4-0,1-0,Igman Konjic,2023-09-23T16:30Z
8,Sat Sep 23 2023,16:00,CEST/+0200,FK Tuzla City,1-2,0-2,Borac Banja Luka,2023-09-23T14:00Z
8,Sun Sep 24 2023,19:45,CEST/+0200,Zrinjski Mostar,2-1,0-1,Željezničar Sarajevo,2023-09-24T17:45Z
8,Sun Sep 24 2023,16:00,CEST/+0200,Zvijezda 09 Bijeljina,0-2,0-0,HŠK Posušje,2023-09-24T14:00Z
2,Wed Sep 27 2023,15:00,CEST/+0200,FK Tuzla City,2-4,0-1,Zrinjski Mostar,2023-09-27T13:00Z
1,Wed Sep 27 2023,18:30,CEST/+0200,Široki Brijeg,0-2,0-2,Borac Banja Luka,2023-09-27T16:30Z
9,Sat Sep 30 2023,18:30,CEST/+0200,HŠK Posušje,1-1,1-0,FK Tuzla City,2023-09-30T16:30Z
9,Sat Sep 30 2023,20:45,CEST/+0200,FK Sarajevo,2-0,2-0,Zvijezda 09 Bijeljina,2023-09-30T18:45Z
9,Sun Oct 1 2023,20:45,CEST/+0200,Borac Banja Luka,2-0,0-0,Velež Mostar,2023-10-01T18:45Z
9,Sun Oct 1 2023,15:00,CEST/+0200,Igman Konjic,0-2,0-2,Zrinjski Mostar,2023-10-01T13:00Z
9,Sun Oct 1 2023,15:00,CEST/+0200,Sloga Doboj,3-2,0-0,NK GOŠK Gabela,2023-10-01T13:00Z
9,Mon Oct 2 2023,18:00,CEST/+0200,Željezničar Sarajevo,2-1,1-0,Široki Brijeg,2023-10-02T16:00Z
10,Fri Oct 6 2023,18:00,CEST/+0200,Velež Mostar,2-1,0-0,HŠK Posušje,2023-10-06T16:00Z
