Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Jul 22 2023,15:00,CEST/+0200,FK Teplice,1-0,1-0,Viktoria Plzeň,2023-07-22T13:00Z
,1,Sat Jul 22 2023,15:00,CEST/+0200,MFK Karviná,4-1,3-0,FC Zlín,2023-07-22T13:00Z
,1,Sat Jul 22 2023,18:00,CEST/+0200,Slavia Praha,2-0,1-0,FC Hradec Králové,2023-07-22T16:00Z
,1,Sat Jul 22 2023,15:00,CEST/+0200,FK Pardubice,0-1,0-1,Bohemians Praha 1905,2023-07-22T13:00Z
,1,Sun Jul 23 2023,15:00,CEST/+0200,FK Mladá Boleslav,3-1,1-0,FK Jablonec,2023-07-23T13:00Z
,1,Sun Jul 23 2023,15:00,CEST/+0200,Slovan Liberec,3-1,2-0,Baník Ostrava,2023-07-23T13:00Z
,1,Sun Jul 23 2023,18:00,CEST/+0200,AC Sparta Praha,2-0,1-0,Sigma Olomouc,2023-07-23T16:00Z
,1,Sun Jul 23 2023,15:00,CEST/+0200,1. FC Slovácko,4-1,2-0,Dynamo České Budějovice,2023-07-23T13:00Z
,2,Sat Jul 29 2023,15:00,CEST/+0200,FC Zlín,0-1,0-0,AC Sparta Praha,2023-07-29T13:00Z
,2,Sat Jul 29 2023,15:00,CEST/+0200,FK Pardubice,0-0,0-0,FK Jablonec,2023-07-29T13:00Z
,2,Sat Jul 29 2023,15:00,CEST/+0200,Sigma Olomouc,3-1,2-1,MFK Karviná,2023-07-29T13:00Z
,2,Sat Jul 29 2023,18:00,CEST/+0200,Baník Ostrava,0-0,0-0,1. FC Slovácko,2023-07-29T16:00Z
,2,Sun Jul 30 2023,15:00,CEST/+0200,Dynamo České Budějovice,1-3,0-1,Slavia Praha,2023-07-30T13:00Z
,2,Sun Jul 30 2023,15:00,CEST/+0200,FK Mladá Boleslav,2-2,0-2,Slovan Liberec,2023-07-30T13:00Z
,2,Sun Jul 30 2023,18:00,CEST/+0200,Viktoria Plzeň,1-1,0-0,FC Hradec Králové,2023-07-30T16:00Z
,2,Sun Jul 30 2023,15:00,CEST/+0200,Bohemians Praha 1905,1-2,0-1,FK Teplice,2023-07-30T13:00Z
,3,Sat Aug 5 2023,15:00,CEST/+0200,1. FC Slovácko,0-2,0-1,Sigma Olomouc,2023-08-05T13:00Z
,3,Sat Aug 5 2023,15:00,CEST/+0200,MFK Karviná,1-2,0-2,FK Mladá Boleslav,2023-08-05T13:00Z
,3,Sat Aug 5 2023,15:00,CEST/+0200,AC Sparta Praha,5-2,3-0,FK Pardubice,2023-08-05T13:00Z
,3,Sat Aug 5 2023,18:00,CEST/+0200,FC Hradec Králové,5-1,3-0,Dynamo České Budějovice,2023-08-05T16:00Z
,3,Sun Aug 6 2023,15:00,CEST/+0200,Slovan Liberec,0-1,0-0,Bohemians Praha 1905,2023-08-06T13:00Z
,3,Sun Aug 6 2023,15:00,CEST/+0200,Viktoria Plzeň,3-1,2-1,Baník Ostrava,2023-08-06T13:00Z
,3,Sun Aug 6 2023,18:00,CEST/+0200,Slavia Praha,2-1,0-0,FC Zlín,2023-08-06T16:00Z
,3,Sun Aug 6 2023,15:00,CEST/+0200,FK Teplice,0-0,0-0,FK Jablonec,2023-08-06T13:00Z
,4,Sat Aug 12 2023,15:00,CEST/+0200,Baník Ostrava,2-0,0-0,FC Hradec Králové,2023-08-12T13:00Z
,4,Sat Aug 12 2023,15:00,CEST/+0200,FC Zlín,1-1,1-1,Slovan Liberec,2023-08-12T13:00Z
