Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Aug 26 2023,19:15,IDT/+0300,Maccabi Petach-Tikva,1-1,0-1,Hapoel Jerusalem,2023-08-26T16:15Z
,1,Sat Aug 26 2023,20:00,IDT/+0300,Hapoel Be'er Sheva,3-0,2-0,Hapoel Hadera,2023-08-26T17:00Z
,1,Sat Aug 26 2023,20:00,IDT/+0300,Maccabi Netanya,1-1,1-0,Maccabi Bnei Raina,2023-08-26T17:00Z
,1,Sat Aug 26 2023,19:00,IDT/+0300,Bnei Sachnin FC,1-1,0-1,Hapoel Tel Aviv,2023-08-26T16:00Z
,1,Sun Aug 27 2023,20:15,IDT/+0300,Maccabi Tel Aviv,4-1,0-0,FC Ashdod,2023-08-27T17:15Z
,1,Mon Aug 28 2023,20:00,IDT/+0300,Beitar Jerusalem,1-2,1-0,Hapoel Haifa,2023-08-28T17:00Z
,2,Sat Sep 2 2023,20:00,IDT/+0300,Hapoel Tel Aviv,2-0,1-0,Maccabi Netanya,2023-09-02T17:00Z
,2,Sat Sep 2 2023,19:00,IDT/+0300,Hapoel Petach-Tikva,1-1,1-0,Bnei Sachnin FC,2023-09-02T16:00Z
,2,Sat Sep 2 2023,19:00,IDT/+0300,Maccabi Bnei Raina,1-1,1-1,Hapoel Be'er Sheva,2023-09-02T16:00Z
,2,Sat Sep 2 2023,20:00,IDT/+0300,Hapoel Haifa,2-2,0-1,Maccabi Petach-Tikva,2023-09-02T17:00Z
,2,Sun Sep 3 2023,20:00,IDT/+0300,Hapoel Jerusalem,1-2,1-2,Maccabi Haifa,2023-09-03T17:00Z
,2,Sun Sep 3 2023,20:30,IDT/+0300,Hapoel Hadera,0-3,0-1,Maccabi Tel Aviv,2023-09-03T17:30Z
,2,Mon Sep 4 2023,20:00,IDT/+0300,FC Ashdod,1-2,1-1,Beitar Jerusalem,2023-09-04T17:00Z
,3,Sun Sep 17 2023,20:00,IDT/+0300,Maccabi Petach-Tikva,3-2,1-1,Maccabi Haifa,2023-09-17T17:00Z
,3,Sun Sep 17 2023,19:30,IDT/+0300,Bnei Sachnin FC,2-1,1-0,Hapoel Jerusalem,2023-09-17T16:30Z
,3,Sun Sep 17 2023,19:45,IDT/+0300,Hapoel Haifa,2-0,0-0,FC Ashdod,2023-09-17T16:45Z
,3,Sun Sep 17 2023,19:45,IDT/+0300,Maccabi Tel Aviv,1-1,1-0,Maccabi Bnei Raina,2023-09-17T16:45Z
,3,Sun Sep 17 2023,20:00,IDT/+0300,Maccabi Netanya,4-1,2-0,Hapoel Petach-Tikva,2023-09-17T17:00Z
,3,Mon Sep 18 2023,20:00,IDT/+0300,Beitar Jerusalem,2-0,0-0,Hapoel Hadera,2023-09-18T17:00Z
,3,Mon Sep 18 2023,20:30,IDT/+0300,Hapoel Be'er Sheva,0-0,0-0,Hapoel Tel Aviv,2023-09-18T17:30Z
,4,Sat Sep 23 2023,19:45,IDT/+0300,FC Ashdod,1-1,0-0,Maccabi Petach-Tikva,2023-09-23T16:45Z
,4,Sat Sep 23 2023,18:00,IDT/+0300,Hapoel Petach-Tikva,1-0,0-0,Hapoel Be'er Sheva,2023-09-23T15:00Z
,4,Sat Sep 23 2023,19:30,IDT/+0300,Hapoel Hadera,1-2,1-2,Hapoel Haifa,2023-09-23T16:30Z
,4,Sat Sep 23 2023,20:00,IDT/+0300,Maccabi Bnei Raina,2-1,0-1,Beitar Jerusalem,2023-09-23T17:00Z
,4,Sat Sep 23 2023,19:45,IDT/+0300,Hapoel Jerusalem,1-1,0-0,Maccabi Netanya,2023-09-23T16:45Z
,4,Tue Sep 26 2023,20:30,IDT/+0300,Hapoel Tel Aviv,0-5,0-3,Maccabi Tel Aviv,2023-09-26T17:30Z
,4,Wed Sep 27 2023,20:00,IDT/+0300,Maccabi Haifa,1-1,1-1,Bnei Sachnin FC,2023-09-27T17:00Z
,5,Sat Sep 30 2023,20:00,IDT/+0300,Hapoel Be'er Sheva,3-0,2-0,Hapoel Jerusalem,2023-09-30T17:00Z
,5,Sat Sep 30 2023,17:45,IDT/+0300,Maccabi Tel Aviv,2-0,0-0,Hapoel Petach-Tikva,2023-09-30T14:45Z
,5,Sat Sep 30 2023,19:30,IDT/+0300,Maccabi Petach-Tikva,5-1,3-1,Bnei Sachnin FC,2023-09-30T16:30Z
,5,Sat Sep 30 2023,19:45,IDT/+0300,FC Ashdod,0-1,0-0,Hapoel Hadera,2023-09-30T16:45Z
,5,Sat Sep 30 2023,19:45,IDT/+0300,Hapoel Haifa,1-2,1-2,Maccabi Bnei Raina,2023-09-30T16:45Z
,5,Sun Oct 1 2023,20:15,IDT/+0300,Maccabi Netanya,2-3,2-2,Maccabi Haifa,2023-10-01T17:15Z
,5,Mon Oct 2 2023,20:30,IDT/+0300,Beitar Jerusalem,0-3,0-1,Hapoel Tel Aviv,2023-10-02T17:30Z
,1,Sat Nov 25 2023,20:00,IST/+0200,Maccabi Haifa,2-1,2-0,Hapoel Petach-Tikva,2023-11-25T18:00Z
,6,Sat Dec 2 2023,15:00,IST/+0200,Hapoel Tel Aviv,0-1,0-1,Hapoel Haifa,2023-12-02T13:00Z
,6,Sat Dec 2 2023,16:45,IST/+0200,Hapoel Hadera,3-0,1-0,Maccabi Petach-Tikva,2023-12-02T14:45Z
,6,Sat Dec 2 2023,17:30,IST/+0200,Bnei Sachnin FC,1-1,0-1,Maccabi Netanya,2023-12-02T15:30Z
,6,Sat Dec 2 2023,19:00,IST/+0200,Maccabi Bnei Raina,0-0,0-0,FC Ashdod,2023-12-02T17:00Z
,6,Sat Dec 2 2023,19:30,IST/+0200,Hapoel Petach-Tikva,1-0,1-0,Beitar Jerusalem,2023-12-02T17:30Z
,6,Sun Dec 3 2023,20:30,IST/+0200,Maccabi Haifa,1-0,0-0,Hapoel Be'er Sheva,2023-12-03T18:30Z
,6,Sun Dec 3 2023,20:00,IST/+0200,Hapoel Jerusalem,1-2,1-0,Maccabi Tel Aviv,2023-12-03T18:00Z
,7,Tue Dec 5 2023,19:00,IST/+0200,Hapoel Hadera,0-2,0-1,Maccabi Bnei Raina,2023-12-05T17:00Z
,7,Tue Dec 5 2023,19:00,IST/+0200,Maccabi Petach-Tikva,1-0,1-0,Maccabi Netanya,2023-12-05T17:00Z
,7,Tue Dec 5 2023,19:45,IST/+0200,Hapoel Haifa,1-1,1-0,Hapoel Petach-Tikva,2023-12-05T17:45Z
,7,Tue Dec 5 2023,20:00,IST/+0200,FC Ashdod,2-1,1-0,Hapoel Tel Aviv,2023-12-05T18:00Z
,7,Wed Dec 6 2023,20:00,IST/+0200,Beitar Jerusalem,1-0,0-0,Hapoel Jerusalem,2023-12-06T18:00Z
,7,Wed Dec 6 2023,19:45,IST/+0200,Hapoel Be'er Sheva,1-2,1-0,Bnei Sachnin FC,2023-12-06T17:45Z
,8,Sat Dec 9 2023,19:30,IST/+0200,Hapoel Tel Aviv,1-1,1-0,Hapoel Hadera,2023-12-09T17:30Z
,8,Sat Dec 9 2023,15:00,IST/+0200,Hapoel Petach-Tikva,1-1,0-0,FC Ashdod,2023-12-09T13:00Z
,8,Sat Dec 9 2023,17:30,IST/+0200,Maccabi Bnei Raina,3-0,2-0,Maccabi Petach-Tikva,2023-12-09T15:30Z
,8,Sun Dec 10 2023,19:30,IST/+0200,Hapoel Jerusalem,0-1,0-0,Hapoel Haifa,2023-12-10T17:30Z
,8,Sun Dec 10 2023,20:00,IST/+0200,Bnei Sachnin FC,2-3,0-1,Maccabi Tel Aviv,2023-12-10T18:00Z
,8,Sun Dec 10 2023,20:30,IST/+0200,Maccabi Haifa,1-1,0-1,Beitar Jerusalem,2023-12-10T18:30Z
,8,Mon Dec 11 2023,20:00,IST/+0200,Maccabi Netanya,1-0,0-0,Hapoel Be'er Sheva,2023-12-11T18:00Z
,9,Sat Dec 16 2023,19:30,IST/+0200,Beitar Jerusalem,1-1,0-1,Bnei Sachnin FC,2023-12-16T17:30Z
,9,Sat Dec 16 2023,15:00,IST/+0200,Maccabi Bnei Raina,1-2,0-2,Hapoel Tel Aviv,2023-12-16T13:00Z
,9,Sat Dec 16 2023,18:00,IST/+0200,FC Ashdod,2-0,0-0,Hapoel Jerusalem,2023-12-16T16:00Z
,9,Sat Dec 16 2023,18:00,IST/+0200,Hapoel Hadera,1-0,0-0,Hapoel Petach-Tikva,2023-12-16T16:00Z
,9,Sat Dec 16 2023,18:00,IST/+0200,Maccabi Petach-Tikva,1-4,1-0,Hapoel Be'er Sheva,2023-12-16T16:00Z
,9,Sun Dec 17 2023,20:00,IST/+0200,Maccabi Tel Aviv,2-1,1-1,Maccabi Netanya,2023-12-17T18:00Z
,9,Sun Dec 17 2023,20:30,IST/+0200,Hapoel Haifa,0-3,0-1,Maccabi Haifa,2023-12-17T18:30Z
,10,Tue Dec 19 2023,19:00,IST/+0200,Hapoel Petach-Tikva,0-1,0-1,Maccabi Bnei Raina,2023-12-19T17:00Z
,10,Tue Dec 19 2023,19:30,IST/+0200,Hapoel Jerusalem,1-0,1-0,Hapoel Hadera,2023-12-19T17:30Z
,10,Tue Dec 19 2023,20:00,IST/+0200,Hapoel Tel Aviv,2-0,1-0,Maccabi Petach-Tikva,2023-12-19T18:00Z
,10,Wed Dec 20 2023,20:30,IST/+0200,Hapoel Be'er Sheva,0-1,0-1,Maccabi Tel Aviv,2023-12-20T18:30Z
,10,Wed Dec 20 2023,19:00,IST/+0200,Bnei Sachnin FC,1-1,0-0,Hapoel Haifa,2023-12-20T17:00Z
,10,Wed Dec 20 2023,19:45,IST/+0200,Maccabi Netanya,0-3,0-1,Beitar Jerusalem,2023-12-20T17:45Z
,10,Wed Dec 20 2023,20:00,IST/+0200,Maccabi Haifa,4-0,0-0,FC Ashdod,2023-12-20T18:00Z
,11,Sat Dec 23 2023,19:30,IST/+0200,Beitar Jerusalem,4-4,3-1,Hapoel Be'er Sheva,2023-12-23T17:30Z
,11,Sat Dec 23 2023,15:00,IST/+0200,Hapoel Tel Aviv,4-1,2-0,Hapoel Petach-Tikva,2023-12-23T13:00Z
,11,Sat Dec 23 2023,18:00,IST/+0200,FC Ashdod,0-1,0-1,Bnei Sachnin FC,2023-12-23T16:00Z
,11,Sat Dec 23 2023,18:00,IST/+0200,Hapoel Haifa,2-1,0-0,Maccabi Netanya,2023-12-23T16:00Z
,11,Sat Dec 23 2023,18:00,IST/+0200,Maccabi Bnei Raina,1-1,0-0,Hapoel Jerusalem,2023-12-23T16:00Z
,11,Sun Dec 24 2023,20:00,IST/+0200,Maccabi Petach-Tikva,1-2,1-0,Maccabi Tel Aviv,2023-12-24T18:00Z
,11,Sun Dec 24 2023,20:30,IST/+0200,Hapoel Hadera,1-5,1-3,Maccabi Haifa,2023-12-24T18:30Z
,12,Tue Dec 26 2023,19:00,IST/+0200,Maccabi Netanya,1-0,0-0,FC Ashdod,2023-12-26T17:00Z
,12,Tue Dec 26 2023,19:45,IST/+0200,Hapoel Jerusalem,2-1,1-0,Hapoel Tel Aviv,2023-12-26T17:45Z
,12,Tue Dec 26 2023,20:00,IST/+0200,Hapoel Be'er Sheva,4-0,0-0,Hapoel Haifa,2023-12-26T18:00Z
,12,Wed Dec 27 2023,20:00,IST/+0200,Maccabi Haifa,1-0,0-0,Maccabi Bnei Raina,2023-12-27T18:00Z
,12,Wed Dec 27 2023,19:00,IST/+0200,Bnei Sachnin FC,0-1,0-0,Hapoel Hadera,2023-12-27T17:00Z
,12,Wed Dec 27 2023,19:45,IST/+0200,Maccabi Petach-Tikva,2-0,1-0,Hapoel Petach-Tikva,2023-12-27T17:45Z
,12,Wed Dec 27 2023,20:30,IST/+0200,Maccabi Tel Aviv,1-0,0-0,Beitar Jerusalem,2023-12-27T18:30Z
,13,Sat Dec 30 2023,15:00,IST/+0200,Hapoel Petach-Tikva,1-2,0-2,Hapoel Jerusalem,2023-12-30T13:00Z
