Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe H,Tue Sep 19 2023,21:00,CEST/+0200,FC Barcelona,5-0,3-0,Royal Antwerp FC,,,2023-09-19T19:00Z
Gruppe G,Tue Sep 19 2023,18:45,CEST/+0200,BSC Young Boys,1-3,1-1,RB Leipzig,,,2023-09-19T16:45Z
Gruppe G,Tue Sep 19 2023,21:00,CEST/+0200,Manchester City,3-1,0-1,Crvena Zvezda,,,2023-09-19T19:00Z
Gruppe F,Tue Sep 19 2023,18:45,CEST/+0200,AC Milan,0-0,0-0,Newcastle United,,,2023-09-19T16:45Z
Gruppe E,Tue Sep 19 2023,21:00,CEST/+0200,Feyenoord,2-0,1-0,Celtic FC,,,2023-09-19T19:00Z
Gruppe E,Tue Sep 19 2023,21:00,CEST/+0200,Lazio Roma,1-1,0-1,Atlético Madrid,,,2023-09-19T19:00Z
Gruppe H,Tue Sep 19 2023,21:00,CEST/+0200,Shakhtar Donetsk,1-3,1-3,FC Porto,,,2023-09-19T19:00Z
Gruppe F,Tue Sep 19 2023,21:00,CEST/+0200,Paris Saint-Germain,2-0,0-0,Borussia Dortmund,,,2023-09-19T19:00Z
Gruppe C,Wed Sep 20 2023,21:00,CEST/+0200,Sporting Braga,1-2,0-1,SSC Napoli,,,2023-09-20T19:00Z
Gruppe D,Wed Sep 20 2023,21:00,CEST/+0200,SL Benfica,0-2,0-1,RB Salzburg,,,2023-09-20T19:00Z
Gruppe A,Wed Sep 20 2023,21:00,CEST/+0200,Bayern München,4-3,2-0,Manchester United,,,2023-09-20T19:00Z
Gruppe B,Wed Sep 20 2023,21:00,CEST/+0200,Arsenal FC,4-0,3-0,PSV Eindhoven,,,2023-09-20T19:00Z
Gruppe B,Wed Sep 20 2023,21:00,CEST/+0200,Sevilla FC,1-1,1-1,RC Lens,,,2023-09-20T19:00Z
Gruppe A,Wed Sep 20 2023,18:45,CEST/+0200,Galatasaray,2-2,0-1,FC København,,,2023-09-20T16:45Z
Gruppe C,Wed Sep 20 2023,18:45,CEST/+0200,Real Madrid,1-0,0-0,1. FC Union Berlin,,,2023-09-20T16:45Z
Gruppe D,Wed Sep 20 2023,21:00,CEST/+0200,Real Sociedad,1-1,1-0,Inter,,,2023-09-20T19:00Z
Gruppe B,Tue Oct 3 2023,21:00,CEST/+0200,PSV Eindhoven,2-2,0-0,Sevilla FC,,,2023-10-03T19:00Z
Gruppe D,Tue Oct 3 2023,18:45,CEST/+0200,RB Salzburg,0-2,0-2,Real Sociedad,,,2023-10-03T16:45Z
Gruppe B,Tue Oct 3 2023,21:00,CEST/+0200,RC Lens,2-1,1-1,Arsenal FC,,,2023-10-03T19:00Z
Gruppe D,Tue Oct 3 2023,21:00,CEST/+0200,Inter,1-0,0-0,SL Benfica,,,2023-10-03T19:00Z
Gruppe C,Tue Oct 3 2023,21:00,CEST/+0200,SSC Napoli,2-3,1-2,Real Madrid,,,2023-10-03T19:00Z
Gruppe C,Tue Oct 3 2023,18:45,CEST/+0200,1. FC Union Berlin,2-3,2-1,Sporting Braga,,,2023-10-03T16:45Z
Gruppe A,Tue Oct 3 2023,21:00,CEST/+0200,Manchester United,2-3,1-1,Galatasaray,,,2023-10-03T19:00Z
Gruppe A,Tue Oct 3 2023,21:00,CEST/+0200,FC København,1-2,0-0,Bayern München,,,2023-10-03T19:00Z
Gruppe G,Wed Oct 4 2023,21:00,CEST/+0200,RB Leipzig,1-3,0-1,Manchester City,,,2023-10-04T19:00Z
Gruppe E,Wed Oct 4 2023,18:45,CEST/+0200,Atlético Madrid,3-2,2-2,Feyenoord,,,2023-10-04T16:45Z
Gruppe E,Wed Oct 4 2023,21:00,CEST/+0200,Celtic FC,1-2,1-1,Lazio Roma,,,2023-10-04T19:00Z
