Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Jul 21 2023,19:00,CEST/+0200,FC Midtjylland,1-0,0-0,Hvidovre IF,2023-07-21T17:00Z
,1,Sat Jul 22 2023,16:00,CEST/+0200,Lyngby BK,1-2,0-1,FC København,2023-07-22T14:00Z
,1,Sun Jul 23 2023,16:00,CEST/+0200,Odense BK,2-2,2-1,Randers FC,2023-07-23T14:00Z
,1,Sun Jul 23 2023,18:00,CEST/+0200,Silkeborg IF,1-2,1-1,Brøndby IF,2023-07-23T16:00Z
,1,Sun Jul 23 2023,14:00,CEST/+0200,Aarhus GF,1-0,1-0,Vejle BK,2023-07-23T12:00Z
,1,Mon Jul 24 2023,19:00,CEST/+0200,FC Nordsjælland,4-1,2-1,Viborg FF,2023-07-24T17:00Z
,2,Fri Jul 28 2023,19:00,CEST/+0200,Viborg FF,2-2,1-2,Lyngby BK,2023-07-28T17:00Z
,2,Sat Jul 29 2023,16:00,CEST/+0200,Vejle BK,2-3,1-2,FC København,2023-07-29T14:00Z
,2,Sun Jul 30 2023,16:00,CEST/+0200,Randers FC,2-2,2-1,Hvidovre IF,2023-07-30T14:00Z
,2,Sun Jul 30 2023,18:00,CEST/+0200,Brøndby IF,1-2,0-0,Odense BK,2023-07-30T16:00Z
,2,Sun Jul 30 2023,14:00,CEST/+0200,FC Midtjylland,2-0,2-0,Silkeborg IF,2023-07-30T12:00Z
,2,Mon Jul 31 2023,19:00,CEST/+0200,Aarhus GF,1-3,1-1,FC Nordsjælland,2023-07-31T17:00Z
,3,Fri Aug 4 2023,19:00,CEST/+0200,Silkeborg IF,2-1,0-0,Vejle BK,2023-08-04T17:00Z
,3,Sat Aug 5 2023,16:00,CEST/+0200,FC København,4-0,3-0,Randers FC,2023-08-05T14:00Z
,3,Sun Aug 6 2023,16:00,CEST/+0200,Lyngby BK,4-1,2-0,FC Midtjylland,2023-08-06T14:00Z
,3,Sun Aug 6 2023,18:00,CEST/+0200,FC Nordsjælland,3-1,0-1,Brøndby IF,2023-08-06T16:00Z
,3,Sun Aug 6 2023,14:00,CEST/+0200,Hvidovre IF,0-2,0-1,Aarhus GF,2023-08-06T12:00Z
,3,Mon Aug 7 2023,19:00,CEST/+0200,Odense BK,1-2,0-1,Viborg FF,2023-08-07T17:00Z
,4,Fri Aug 11 2023,19:00,CEST/+0200,FC København,2-1,0-0,Odense BK,2023-08-11T17:00Z
,4,Sun Aug 13 2023,14:00,CEST/+0200,Vejle BK,1-2,0-0,FC Midtjylland,2023-08-13T12:00Z
,4,Sun Aug 13 2023,16:00,CEST/+0200,Brøndby IF,3-0,1-0,Lyngby BK,2023-08-13T14:00Z
,4,Sun Aug 13 2023,18:00,CEST/+0200,Aarhus GF,2-2,1-0,Silkeborg IF,2023-08-13T16:00Z
,4,Sun Aug 13 2023,14:00,CEST/+0200,Randers FC,0-5,0-1,FC Nordsjælland,2023-08-13T12:00Z
,4,Mon Aug 14 2023,19:00,CEST/+0200,Viborg FF,0-0,0-0,Hvidovre IF,2023-08-14T17:00Z
,5,Fri Aug 18 2023,19:00,CEST/+0200,Hvidovre IF,0-2,0-1,FC København,2023-08-18T17:00Z
,5,Sun Aug 20 2023,16:00,CEST/+0200,Lyngby BK,1-0,0-0,Randers FC,2023-08-20T14:00Z
,5,Sun Aug 20 2023,18:00,CEST/+0200,FC Midtjylland,0-1,0-0,Brøndby IF,2023-08-20T16:00Z
,5,Sun Aug 20 2023,20:00,CEST/+0200,Odense BK,1-1,1-1,Aarhus GF,2023-08-20T18:00Z
,5,Sun Aug 20 2023,14:00,CEST/+0200,Silkeborg IF,2-0,0-0,FC Nordsjælland,2023-08-20T12:00Z
,5,Mon Aug 21 2023,19:00,CEST/+0200,Viborg FF,2-1,0-0,Vejle BK,2023-08-21T17:00Z
,6,Fri Aug 25 2023,18:30,CEST/+0200,Randers FC,1-0,1-0,Viborg FF,2023-08-25T16:30Z
,6,Sat Aug 26 2023,16:00,CEST/+0200,FC København,1-3,1-1,Silkeborg IF,2023-08-26T14:00Z
,6,Sun Aug 27 2023,16:00,CEST/+0200,Hvidovre IF,1-5,0-1,Odense BK,2023-08-27T14:00Z
,6,Sun Aug 27 2023,18:00,CEST/+0200,FC Nordsjælland,3-0,1-0,FC Midtjylland,2023-08-27T16:00Z
,6,Sun Aug 27 2023,14:00,CEST/+0200,Aarhus GF,1-0,1-0,Lyngby BK,2023-08-27T12:00Z
,6,Mon Aug 28 2023,19:00,CEST/+0200,Vejle BK,0-1,0-0,Brøndby IF,2023-08-28T17:00Z
,7,Fri Sep 1 2023,19:00,CEST/+0200,Odense BK,1-2,1-1,Vejle BK,2023-09-01T17:00Z
,7,Sun Sep 3 2023,14:00,CEST/+0200,Silkeborg IF,1-0,0-0,Hvidovre IF,2023-09-03T12:00Z
,7,Sun Sep 3 2023,16:00,CEST/+0200,Brøndby IF,3-1,3-0,Randers FC,2023-09-03T14:00Z
,7,Sun Sep 3 2023,18:00,CEST/+0200,FC København,2-0,1-0,Viborg FF,2023-09-03T16:00Z
,7,Sun Sep 3 2023,20:00,CEST/+0200,FC Midtjylland,1-1,1-0,Aarhus GF,2023-09-03T18:00Z
,7,Sun Sep 3 2023,14:00,CEST/+0200,Lyngby BK,1-1,1-0,FC Nordsjælland,2023-09-03T12:00Z
,8,Fri Sep 15 2023,19:00,CEST/+0200,Viborg FF,2-2,0-0,FC Midtjylland,2023-09-15T17:00Z
,8,Sat Sep 16 2023,16:00,CEST/+0200,FC Nordsjælland,2-2,1-1,FC København,2023-09-16T14:00Z
,8,Sun Sep 17 2023,16:00,CEST/+0200,Hvidovre IF,0-1,0-0,Lyngby BK,2023-09-17T14:00Z
,8,Sun Sep 17 2023,18:00,CEST/+0200,Aarhus GF,0-3,0-2,Brøndby IF,2023-09-17T16:00Z
,8,Sun Sep 17 2023,14:00,CEST/+0200,Vejle BK,1-2,0-0,Randers FC,2023-09-17T12:00Z
,8,Mon Sep 18 2023,19:00,CEST/+0200,Odense BK,0-3,0-1,Silkeborg IF,2023-09-18T17:00Z
,9,Fri Sep 22 2023,19:00,CEST/+0200,Lyngby BK,1-1,0-0,Vejle BK,2023-09-22T17:00Z
,9,Sun Sep 24 2023,14:00,CEST/+0200,Silkeborg IF,2-0,1-0,Viborg FF,2023-09-24T12:00Z
,9,Sun Sep 24 2023,16:00,CEST/+0200,Randers FC,1-1,1-0,Aarhus GF,2023-09-24T14:00Z
,9,Sun Sep 24 2023,18:00,CEST/+0200,FC Midtjylland,2-1,0-0,Odense BK,2023-09-24T16:00Z
,9,Sun Sep 24 2023,14:00,CEST/+0200,Brøndby IF,2-3,1-0,FC København,2023-09-24T12:00Z
,9,Mon Sep 25 2023,19:00,CEST/+0200,FC Nordsjælland,0-0,0-0,Hvidovre IF,2023-09-25T17:00Z
,10,Sat Sep 30 2023,15:00,CEST/+0200,FC København,0-2,0-0,FC Midtjylland,2023-09-30T13:00Z
,10,Sun Oct 1 2023,14:00,CEST/+0200,Vejle BK,0-0,0-0,FC Nordsjælland,2023-10-01T12:00Z
,10,Sun Oct 1 2023,16:00,CEST/+0200,Hvidovre IF,0-3,0-1,Brøndby IF,2023-10-01T14:00Z
,10,Sun Oct 1 2023,18:00,CEST/+0200,Viborg FF,2-1,1-0,Aarhus GF,2023-10-01T16:00Z
