Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Thu Jul 20 2023,19:00,CEST/+0200,SC Neusiedl/See 1919,1-4,0-3,SV Lafnitz,,,2023-07-20T17:00Z
Round 1,Fri Jul 21 2023,18:00,CEST/+0200,SV Spittal/Drau,0-7,0-4,Austria Wien,,,2023-07-21T16:00Z
Round 1,Fri Jul 21 2023,18:00,CEST/+0200,SC Röthis,0-6,0-6,LASK,,,2023-07-21T16:00Z
Round 1,Fri Jul 21 2023,19:00,CEST/+0200,ASK Voitsberg,1-2,1-2,First Vienna FC,1-2,,2023-07-21T17:00Z
Round 1,Fri Jul 21 2023,19:00,CEST/+0200,Deutschlandsberger SC,1-1,0-0,Kapfenberger SV 1919,1-1,5-6,2023-07-21T17:00Z
Round 1,Fri Jul 21 2023,19:00,CEST/+0200,SC Imst,2-0,2-0,Schwarz-Weiß Bregenz,,,2023-07-21T17:00Z
Round 1,Fri Jul 21 2023,19:00,CEST/+0200,FCM Traiskirchen,1-2,1-2,SCR Altach,,,2023-07-21T17:00Z
Round 1,Fri Jul 21 2023,19:00,CEST/+0200,SV Bad Schallerbach,2-3,2-3,WSG Tirol,2-3,,2023-07-21T17:00Z
Round 1,Fri Jul 21 2023,19:30,CEST/+0200,SC/ESV Parndorf,0-5,0-5,ASV Draßburg,,,2023-07-21T17:30Z
Round 1,Fri Jul 21 2023,19:30,CEST/+0200,FC Marchfeld Donauauen,1-1,1-1,SC Weiz,1-1,4-2,2023-07-21T17:30Z
Round 1,Fri Jul 21 2023,19:30,CEST/+0200,TWL Elektra,0-3,0-3,SKN St. Pölten,,,2023-07-21T17:30Z
Round 1,Sat Jul 22 2023,16:00,CEST/+0200,Favoritner AC,2-3,2-3,TSV Hartberg,,,2023-07-22T14:00Z
Round 1,Sat Jul 22 2023,16:30,CEST/+0200,FC Wolfurt,0-1,0-1,Austria Salzburg,,,2023-07-22T14:30Z
Round 1,Sat Jul 22 2023,16:30,CEST/+0200,SVG Reichenau,0-2,0-2,FC Dornbirn,,,2023-07-22T14:30Z
Round 1,Sat Jul 22 2023,17:00,CEST/+0200,FV Austria XIII,4-4,3-4,USV St. Anna,4-4,3-4,2023-07-22T15:00Z
Round 1,Sat Jul 22 2023,17:30,CEST/+0200,SV Leobendorf,2-2,2-0,SV Horn,3-2,,2023-07-22T15:30Z
Round 1,Sat Jul 22 2023,17:30,CEST/+0200,SAK Klagenfurt,2-7,1-3,Sturm Graz,,,2023-07-22T15:30Z
Round 1,Sat Jul 22 2023,17:30,CEST/+0200,SPG Silz/Mötz,0-8,0-8,Austria Lustenau,,,2023-07-22T15:30Z
