Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,1,Fri Aug 18 2023,20:30,CEST/+0200,SSC Bari,0-0,0-0,Palermo FC,,2023-08-18T18:30Z
,1,Sat Aug 19 2023,20:30,CEST/+0200,Ternana Calcio,1-2,0-1,Sampdoria,,2023-08-19T18:30Z
,1,Sat Aug 19 2023,20:30,CEST/+0200,US Cremonese,0-0,0-0,US Catanzaro,,2023-08-19T18:30Z
,1,Sat Aug 19 2023,20:30,CEST/+0200,Cosenza Calcio,3-0,1-0,Ascoli Calcio,,2023-08-19T18:30Z
,1,Sun Aug 20 2023,18:00,CEST/+0200,FC Südtirol,3-3,1-2,Spezia Calcio,,2023-08-20T16:00Z
,1,Sun Aug 20 2023,20:30,CEST/+0200,AS Cittadella,1-0,1-0,AC Reggiana 1919,,2023-08-20T18:30Z
,1,Sun Aug 20 2023,20:30,CEST/+0200,Venezia FC,3-0,2-0,Como 1907,,2023-08-20T18:30Z
,1,Sun Aug 20 2023,20:30,CEST/+0200,Parma Calcio 1913,2-0,1-0,Feralpisalò,,2023-08-20T18:30Z
,2,Fri Aug 25 2023,20:30,CEST/+0200,Sampdoria,0-2,0-1,Pisa SC,,2023-08-25T18:30Z
,2,Sat Aug 26 2023,20:30,CEST/+0200,Modena FC,1-0,0-0,Ascoli Calcio,,2023-08-26T18:30Z
,2,Sat Aug 26 2023,20:30,CEST/+0200,US Cremonese,0-1,0-1,SSC Bari,,2023-08-26T18:30Z
,2,Sat Aug 26 2023,18:00,CEST/+0200,Venezia FC,1-1,0-1,Cosenza Calcio,,2023-08-26T16:00Z
,2,Sat Aug 26 2023,20:30,CEST/+0200,Feralpisalò,0-2,0-1,FC Südtirol,,2023-08-26T18:30Z
,2,Sat Aug 26 2023,20:30,CEST/+0200,Como 1907,2-2,1-0,AC Reggiana 1919,,2023-08-26T18:30Z
,2,Sat Aug 26 2023,20:30,CEST/+0200,Parma Calcio 1913,2-0,1-0,AS Cittadella,,2023-08-26T18:30Z
,2,Sun Aug 27 2023,20:30,CEST/+0200,US Catanzaro,2-1,1-1,Ternana Calcio,,2023-08-27T18:30Z
,3,Tue Aug 29 2023,20:30,CEST/+0200,Pisa SC,1-2,0-1,Parma Calcio 1913,,2023-08-29T18:30Z
,3,Tue Aug 29 2023,20:30,CEST/+0200,AC Reggiana 1919,1-3,0-1,Palermo FC,,2023-08-29T18:30Z
,3,Tue Aug 29 2023,20:30,CEST/+0200,Cosenza Calcio,1-2,1-1,Modena FC,,2023-08-29T18:30Z
,3,Tue Aug 29 2023,20:30,CEST/+0200,Ascoli Calcio,3-0,2-0,Feralpisalò,,2023-08-29T18:30Z
,3,Wed Aug 30 2023,20:30,CEST/+0200,Ternana Calcio,0-1,0-0,US Cremonese,,2023-08-30T18:30Z
,3,Wed Aug 30 2023,20:30,CEST/+0200,SSC Bari,1-1,1-0,AS Cittadella,,2023-08-30T18:30Z
,3,Wed Aug 30 2023,20:30,CEST/+0200,Sampdoria,1-2,0-0,Venezia FC,,2023-08-30T18:30Z
,3,Wed Aug 30 2023,20:30,CEST/+0200,US Catanzaro,3-0,0-0,Spezia Calcio,,2023-08-30T18:30Z
,4,Sat Sep 2 2023,18:30,CEST/+0200,FC Südtirol,3-1,0-1,Ascoli Calcio,,2023-09-02T16:30Z
,4,Sat Sep 2 2023,18:30,CEST/+0200,Palermo FC,3-0,1-0,Feralpisalò,,2023-09-02T16:30Z
,4,Sat Sep 2 2023,18:30,CEST/+0200,Parma Calcio 1913,0-0,0-0,AC Reggiana 1919,,2023-09-02T16:30Z
,4,Sat Sep 2 2023,18:30,CEST/+0200,Modena FC,2-0,1-0,Pisa SC,,2023-09-02T16:30Z
,4,Sun Sep 3 2023,18:30,CEST/+0200,Calcio Lecco 1912,3-4,0-1,US Catanzaro,,2023-09-03T16:30Z
,4,Sun Sep 3 2023,16:15,CEST/+0200,Brescia Calcio,1-0,0-0,Cosenza Calcio,,2023-09-03T14:15Z
,4,Sun Sep 3 2023,18:30,CEST/+0200,Ternana Calcio,0-0,0-0,SSC Bari,,2023-09-03T16:30Z
,4,Sun Sep 3 2023,18:30,CEST/+0200,US Cremonese,1-1,1-0,Sampdoria,,2023-09-03T16:30Z
,4,Sun Sep 3 2023,20:45,CEST/+0200,AS Cittadella,0-0,0-0,Venezia FC,,2023-09-03T18:45Z
,4,Sun Sep 3 2023,18:30,CEST/+0200,Spezia Calcio,0-1,0-1,Como 1907,,2023-09-03T16:30Z
,5,Fri Sep 15 2023,20:30,CEST/+0200,Venezia FC,1-0,0-0,Spezia Calcio,,2023-09-15T18:30Z
,5,Sat Sep 16 2023,14:00,CEST/+0200,Ascoli Calcio,0-1,0-0,Palermo FC,,2023-09-16T12:00Z
,5,Sat Sep 16 2023,16:15,CEST/+0200,AC Reggiana 1919,2-2,2-0,US Cremonese,,2023-09-16T14:15Z
,5,Sat Sep 16 2023,14:00,CEST/+0200,Calcio Lecco 1912,0-2,0-1,Brescia Calcio,,2023-09-16T12:00Z
,5,Sat Sep 16 2023,14:00,CEST/+0200,Pisa SC,1-1,1-0,SSC Bari,,2023-09-16T12:00Z
,5,Sat Sep 16 2023,14:00,CEST/+0200,Cosenza Calcio,2-2,1-0,FC Südtirol,,2023-09-16T12:00Z
,5,Sat Sep 16 2023,14:00,CEST/+0200,Feralpisalò,1-1,1-1,Modena FC,,2023-09-16T12:00Z
,5,Sun Sep 17 2023,16:15,CEST/+0200,US Catanzaro,0-5,0-3,Parma Calcio 1913,,2023-09-17T14:15Z
