Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
9,Sat Oct 7 2023,20:30,CEST/+0200,Kecskeméti TE,1-1,0-0,Paksi SE,2023-10-07T18:30Z
9,Sat Oct 7 2023,12:45,CEST/+0200,Mezőkövesdi SE,1-2,0-1,Zalaegerszegi TE,2023-10-07T10:45Z
9,Sat Oct 7 2023,16:15,CEST/+0200,Újpest FC,2-0,0-0,Diósgyöri VTK,2023-10-07T14:15Z
9,Sun Oct 8 2023,13:00,CEST/+0200,Fehérvár FC,3-0,1-0,MTK Budapest,2023-10-08T11:00Z
9,Sun Oct 8 2023,16:30,CEST/+0200,Ferencvárosi TC,2-2,2-1,Debreceni VSC,2023-10-08T14:30Z
10,Sat Oct 21 2023,12:30,CEST/+0200,Kisvárda FC,2-1,2-1,Mezőkövesdi SE,2023-10-21T10:30Z
10,Sat Oct 21 2023,17:00,CEST/+0200,Újpest FC,5-3,2-0,Kecskeméti TE,2023-10-21T15:00Z
10,Sat Oct 21 2023,14:45,CEST/+0200,Zalaegerszegi TE,2-5,2-3,Paksi SE,2023-10-21T12:45Z
10,Sun Oct 22 2023,13:15,CEST/+0200,MTK Budapest,0-5,0-2,Puskás FC,2023-10-22T11:15Z
10,Sun Oct 22 2023,15:30,CEST/+0200,Debreceni VSC,3-1,2-0,Fehérvár FC,2023-10-22T13:30Z
10,Sun Oct 22 2023,17:45,CEST/+0200,Diósgyöri VTK,1-2,0-1,Ferencvárosi TC,2023-10-22T15:45Z
11,Sat Oct 28 2023,12:30,CEST/+0200,Kecskeméti TE,3-1,2-0,Zalaegerszegi TE,2023-10-28T10:30Z
11,Sat Oct 28 2023,14:45,CEST/+0200,Fehérvár FC,4-0,2-0,Diósgyöri VTK,2023-10-28T12:45Z
11,Sat Oct 28 2023,17:00,CEST/+0200,Puskás FC,1-1,1-1,Debreceni VSC,2023-10-28T15:00Z
11,Sun Oct 29 2023,13:15,CET/+0100,Mezőkövesdi SE,1-0,1-0,MTK Budapest,2023-10-29T12:15Z
