Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Sep 1 2023,20:45,CEST/+0200,AC Rimini,1-2,0-1,US Arezzo,2023-09-01T18:45Z
,1,Fri Sep 1 2023,20:45,CEST/+0200,AS Gubbio,1-1,0-0,ASD Pineto Calcio,2023-09-01T18:45Z
,1,Fri Sep 1 2023,20:45,CEST/+0200,Lucchese,0-0,0-0,AC Perugia Calcio,2023-09-01T18:45Z
,1,Fri Sep 1 2023,20:45,CEST/+0200,Carrarese Calcio,3-0,1-0,Fermana FC,2023-09-01T18:45Z
,1,Fri Sep 1 2023,20:45,CEST/+0200,US Pontedera,2-0,1-0,USD Sestri Levante,2023-09-01T18:45Z
,1,Sat Sep 2 2023,20:45,CEST/+0200,US Recanatese,1-2,0-1,SEF Torres 1903,2023-09-02T18:45Z
,1,Sat Sep 2 2023,20:45,CEST/+0200,SPAL 2013 Ferrara,1-0,0-0,Vis Pesaro,2023-09-02T18:45Z
,1,Sat Sep 2 2023,20:45,CEST/+0200,Virtus Entella,1-1,0-0,Ancona 1905,2023-09-02T18:45Z
,1,Sat Sep 2 2023,20:45,CEST/+0200,Delfino Pescara,3-1,3-0,Juventus II,2023-09-02T18:45Z
,1,Sun Sep 3 2023,20:45,CEST/+0200,Olbia Calcio,2-1,2-0,Cesena FC,2023-09-03T18:45Z
,2,Fri Sep 8 2023,20:45,CEST/+0200,Vis Pesaro,0-1,0-0,Olbia Calcio,2023-09-08T18:45Z
,2,Fri Sep 8 2023,20:45,CEST/+0200,ASD Pineto Calcio,0-0,0-0,Virtus Entella,2023-09-08T18:45Z
,2,Sat Sep 9 2023,18:30,CEST/+0200,Fermana FC,1-0,0-0,US Pontedera,2023-09-09T16:30Z
,2,Sat Sep 9 2023,18:30,CEST/+0200,SEF Torres 1903,2-1,1-1,AC Rimini,2023-09-09T16:30Z
,2,Sat Sep 9 2023,18:30,CEST/+0200,US Arezzo,1-3,1-1,Carrarese Calcio,2023-09-09T16:30Z
,2,Sat Sep 9 2023,18:30,CEST/+0200,USD Sestri Levante,0-1,0-0,Lucchese,2023-09-09T16:30Z
,2,Sat Sep 9 2023,18:30,CEST/+0200,Ancona 1905,1-2,0-0,AS Gubbio,2023-09-09T16:30Z
,2,Sun Sep 10 2023,20:45,CEST/+0200,AC Perugia Calcio,1-1,0-0,Delfino Pescara,2023-09-10T18:45Z
,3,Fri Sep 15 2023,20:45,CEST/+0200,US Pontedera,1-3,0-1,Cesena FC,2023-09-15T18:45Z
,3,Fri Sep 15 2023,20:45,CEST/+0200,SPAL 2013 Ferrara,1-2,1-2,AC Perugia Calcio,2023-09-15T18:45Z
,3,Fri Sep 15 2023,20:45,CEST/+0200,AC Rimini,4-3,1-2,Juventus II,2023-09-15T18:45Z
