Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 4 2023,19:45,BST/+0100,Coleraine FC,2-1,1-1,Ballymena United,2023-08-04T18:45Z
1,Sat Aug 5 2023,15:00,BST/+0100,Newry City FC,0-3,0-3,Loughgall FC,2023-08-05T14:00Z
1,Sat Aug 5 2023,15:00,BST/+0100,Glenavon FC,0-1,0-0,Glentoran FC,2023-08-05T14:00Z
1,Mon Aug 7 2023,19:45,BST/+0100,Larne FC,4-4,1-1,Dungannon Swifts,2023-08-07T18:45Z
2,Fri Aug 11 2023,19:45,BST/+0100,Loughgall FC,1-2,1-2,Coleraine FC,2023-08-11T18:45Z
2,Fri Aug 11 2023,19:45,BST/+0100,Glentoran FC,1-2,0-0,Larne FC,2023-08-11T18:45Z
2,Fri Aug 11 2023,19:45,BST/+0100,Ballymena United,1-2,0-2,Crusaders FC,2023-08-11T18:45Z
2,Sat Aug 12 2023,15:00,BST/+0100,Dungannon Swifts,2-3,1-1,Linfield FC,2023-08-12T14:00Z
2,Sat Aug 12 2023,15:00,BST/+0100,Cliftonville FC,3-0,3-0,Glenavon FC,2023-08-12T14:00Z
2,Sat Aug 12 2023,15:00,BST/+0100,Carrick Rangers,0-2,0-2,Newry City FC,2023-08-12T14:00Z
3,Tue Aug 15 2023,19:45,BST/+0100,Loughgall FC,0-1,0-1,Glentoran FC,2023-08-15T18:45Z
3,Tue Aug 15 2023,19:45,BST/+0100,Newry City FC,0-3,0-3,Cliftonville FC,2023-08-15T18:45Z
3,Tue Aug 15 2023,19:45,BST/+0100,Carrick Rangers,2-0,2-0,Coleraine FC,2023-08-15T18:45Z
3,Tue Aug 15 2023,19:45,BST/+0100,Crusaders FC,2-0,0-0,Dungannon Swifts,2023-08-15T18:45Z
3,Tue Aug 15 2023,19:45,BST/+0100,Larne FC,3-0,0-0,Ballymena United,2023-08-15T18:45Z
3,Tue Aug 15 2023,19:45,BST/+0100,Linfield FC,4-2,1-1,Glenavon FC,2023-08-15T18:45Z
4,Fri Aug 18 2023,19:45,BST/+0100,Ballymena United,0-1,0-0,Linfield FC,2023-08-18T18:45Z
4,Sat Aug 19 2023,15:00,BST/+0100,Dungannon Swifts,1-2,0-1,Loughgall FC,2023-08-19T14:00Z
4,Sat Aug 19 2023,15:00,BST/+0100,Glenavon FC,1-3,0-1,Newry City FC,2023-08-19T14:00Z
4,Sat Aug 19 2023,15:00,BST/+0100,Cliftonville FC,4-0,3-0,Carrick Rangers,2023-08-19T14:00Z
4,Sat Aug 19 2023,15:00,BST/+0100,Coleraine FC,0-0,0-0,Larne FC,2023-08-19T14:00Z
1,Tue Aug 22 2023,19:45,BST/+0100,Linfield FC,2-1,1-0,Cliftonville FC,2023-08-22T18:45Z
1,Tue Aug 22 2023,19:45,BST/+0100,Crusaders FC,9-0,5-0,Carrick Rangers,2023-08-22T18:45Z
5,Fri Aug 25 2023,19:45,BST/+0100,Loughgall FC,2-2,2-0,Glenavon FC,2023-08-25T18:45Z
5,Fri Aug 25 2023,19:45,BST/+0100,Ballymena United,0-2,0-1,Glentoran FC,2023-08-25T18:45Z
5,Fri Aug 25 2023,19:45,BST/+0100,Dungannon Swifts,2-2,0-0,Coleraine FC,2023-08-25T18:45Z
5,Sat Aug 26 2023,15:00,BST/+0100,Linfield FC,3-3,2-2,Carrick Rangers,2023-08-26T14:00Z
5,Sat Aug 26 2023,15:00,BST/+0100,Newry City FC,0-4,0-2,Crusaders FC,2023-08-26T14:00Z
5,Sat Aug 26 2023,17:30,BST/+0100,Cliftonville FC,1-1,1-1,Larne FC,2023-08-26T16:30Z
4,Tue Aug 29 2023,19:45,BST/+0100,Glentoran FC,2-2,1-1,Crusaders FC,2023-08-29T18:45Z
6,Fri Sep 1 2023,19:45,BST/+0100,Carrick Rangers,2-1,1-1,Dungannon Swifts,2023-09-01T18:45Z
6,Sat Sep 2 2023,15:00,BST/+0100,Coleraine FC,1-3,0-1,Linfield FC,2023-09-02T14:00Z
6,Sat Sep 2 2023,15:00,BST/+0100,Crusaders FC,1-1,0-0,Loughgall FC,2023-09-02T14:00Z
6,Sat Sep 2 2023,15:00,BST/+0100,Glenavon FC,1-0,1-0,Ballymena United,2023-09-02T14:00Z
6,Sat Sep 2 2023,15:00,BST/+0100,Glentoran FC,1-0,0-0,Cliftonville FC,2023-09-02T14:00Z
6,Sat Sep 2 2023,15:00,BST/+0100,Larne FC,4-0,3-0,Newry City FC,2023-09-02T14:00Z
7,Sat Sep 9 2023,15:00,BST/+0100,Carrick Rangers,0-1,0-1,Ballymena United,2023-09-09T14:00Z
7,Sat Sep 9 2023,15:00,BST/+0100,Dungannon Swifts,3-1,1-1,Glenavon FC,2023-09-09T14:00Z
7,Sat Sep 9 2023,17:30,BST/+0100,Newry City FC,2-4,2-2,Glentoran FC,2023-09-09T16:30Z
8,Fri Sep 15 2023,19:45,BST/+0100,Larne FC,2-0,1-0,Linfield FC,2023-09-15T18:45Z
8,Sat Sep 16 2023,15:00,BST/+0100,Glenavon FC,2-1,0-0,Carrick Rangers,2023-09-16T14:00Z
8,Sat Sep 16 2023,15:00,BST/+0100,Glentoran FC,0-0,0-0,Dungannon Swifts,2023-09-16T14:00Z
8,Sat Sep 16 2023,15:00,BST/+0100,Coleraine FC,3-1,1-0,Newry City FC,2023-09-16T14:00Z
8,Sat Sep 16 2023,15:00,BST/+0100,Ballymena United,1-3,1-0,Loughgall FC,2023-09-16T14:00Z
8,Mon Sep 18 2023,19:45,BST/+0100,Crusaders FC,0-3,0-2,Cliftonville FC,2023-09-18T18:45Z
9,Fri Sep 22 2023,19:45,BST/+0100,Larne FC,4-1,3-0,Carrick Rangers,2023-09-22T18:45Z
9,Fri Sep 22 2023,19:45,BST/+0100,Newry City FC,2-2,1-2,Dungannon Swifts,2023-09-22T18:45Z
9,Fri Sep 22 2023,19:45,BST/+0100,Glentoran FC,1-2,1-0,Coleraine FC,2023-09-22T18:45Z
9,Sat Sep 23 2023,15:00,BST/+0100,Crusaders FC,2-0,1-0,Glenavon FC,2023-09-23T14:00Z
9,Sat Sep 23 2023,15:00,BST/+0100,Ballymena United,0-2,0-1,Cliftonville FC,2023-09-23T14:00Z
9,Sat Sep 23 2023,15:00,BST/+0100,Loughgall FC,0-2,0-1,Linfield FC,2023-09-23T14:00Z
7,Tue Sep 26 2023,19:45,BST/+0100,Cliftonville FC,5-0,1-0,Coleraine FC,2023-09-26T18:45Z
7,Tue Sep 26 2023,19:45,BST/+0100,Linfield FC,2-0,2-0,Crusaders FC,2023-09-26T18:45Z
7,Tue Sep 26 2023,19:45,BST/+0100,Loughgall FC,1-0,0-0,Larne FC,2023-09-26T18:45Z
10,Sat Sep 30 2023,15:00,BST/+0100,Carrick Rangers,2-1,0-1,Glentoran FC,2023-09-30T14:00Z
10,Sat Sep 30 2023,15:00,BST/+0100,Cliftonville FC,1-1,1-1,Loughgall FC,2023-09-30T14:00Z
10,Sat Sep 30 2023,15:00,BST/+0100,Coleraine FC,0-4,0-1,Crusaders FC,2023-09-30T14:00Z
10,Sat Sep 30 2023,15:00,BST/+0100,Dungannon Swifts,0-1,0-0,Ballymena United,2023-09-30T14:00Z
10,Sat Sep 30 2023,15:00,BST/+0100,Linfield FC,6-1,4-0,Newry City FC,2023-09-30T14:00Z
10,Sat Sep 30 2023,17:30,BST/+0100,Glenavon FC,0-4,0-0,Larne FC,2023-09-30T16:30Z
11,Fri Oct 6 2023,19:45,BST/+0100,Larne FC,1-1,0-0,Crusaders FC,2023-10-06T18:45Z
11,Fri Oct 6 2023,19:45,BST/+0100,Linfield FC,2-0,2-0,Glentoran FC,2023-10-06T18:45Z
11,Sat Oct 7 2023,15:00,BST/+0100,Cliftonville FC,5-0,2-0,Dungannon Swifts,2023-10-07T14:00Z
11,Sat Oct 7 2023,15:00,BST/+0100,Coleraine FC,4-1,1-1,Glenavon FC,2023-10-07T14:00Z
11,Sat Oct 7 2023,15:00,BST/+0100,Loughgall FC,3-4,1-3,Carrick Rangers,2023-10-07T14:00Z
11,Sat Oct 7 2023,15:00,BST/+0100,Ballymena United,0-2,0-1,Newry City FC,2023-10-07T14:00Z
12,Fri Oct 13 2023,19:45,BST/+0100,Carrick Rangers,1-2,0-0,Linfield FC,2023-10-13T18:45Z
12,Fri Oct 13 2023,19:45,BST/+0100,Crusaders FC,1-0,1-0,Ballymena United,2023-10-13T18:45Z
12,Fri Oct 13 2023,19:45,BST/+0100,Dungannon Swifts,0-0,0-0,Larne FC,2023-10-13T18:45Z
12,Fri Oct 13 2023,19:45,BST/+0100,Glenavon FC,0-1,0-0,Cliftonville FC,2023-10-13T18:45Z
12,Fri Oct 13 2023,19:45,BST/+0100,Glentoran FC,6-0,4-0,Loughgall FC,2023-10-13T18:45Z
