Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Jul 14 2023,21:00,EEST/+0300,FK Krumovgrad,3-1,2-1,PFC Ludogorets Razgrad,2023-07-14T18:00Z
,1,Fri Jul 14 2023,18:45,EEST/+0300,Pirin Blagoevgrad,1-2,1-1,PFC Beroe,2023-07-14T15:45Z
,1,Sat Jul 15 2023,21:00,EEST/+0300,Arda Kardzhali,3-3,0-1,Cherno More Varna,2023-07-15T18:00Z
,1,Sat Jul 15 2023,18:45,EEST/+0300,Levski Sofia,1-2,1-1,CSKA 1948 Sofia,2023-07-15T15:45Z
,1,Sun Jul 16 2023,21:00,EEST/+0300,Hebar Pazardzhik,0-0,0-0,CSKA Sofia,2023-07-16T18:00Z
,1,Sun Jul 16 2023,18:30,EEST/+0300,Lokomotiv Plovdiv,1-1,0-1,Botev Plovdiv,2023-07-16T15:30Z
,1,Mon Jul 17 2023,18:30,EEST/+0300,Lokomotiv Sofia,1-0,0-0,Botev Vratsa,2023-07-17T15:30Z
,1,Mon Jul 17 2023,20:45,EEST/+0300,Etar Veliko Tarnovo,0-1,0-1,Slavia Sofia,2023-07-17T17:45Z
,2,Fri Jul 21 2023,21:15,EEST/+0300,CSKA Sofia,1-0,1-0,FK Krumovgrad,2023-07-21T18:15Z
,2,Fri Jul 21 2023,19:00,EEST/+0300,CSKA 1948 Sofia,3-0,2-0,Pirin Blagoevgrad,2023-07-21T16:00Z
,2,Sat Jul 22 2023,21:30,EEST/+0300,PFC Ludogorets Razgrad,5-0,1-0,Etar Veliko Tarnovo,2023-07-22T18:30Z
,2,Sat Jul 22 2023,19:15,EEST/+0300,Botev Plovdiv,1-3,0-0,Levski Sofia,2023-07-22T16:15Z
,2,Sun Jul 23 2023,21:15,EEST/+0300,Lokomotiv Sofia,2-4,1-1,Lokomotiv Plovdiv,2023-07-23T18:15Z
,2,Sun Jul 23 2023,19:00,EEST/+0300,Cherno More Varna,1-0,1-0,Hebar Pazardzhik,2023-07-23T16:00Z
,2,Mon Jul 24 2023,19:00,EEST/+0300,Botev Vratsa,2-0,0-0,Slavia Sofia,2023-07-24T16:00Z
,2,Mon Jul 24 2023,21:15,EEST/+0300,PFC Beroe,1-0,1-0,Arda Kardzhali,2023-07-24T18:15Z
,3,Fri Jul 28 2023,21:15,EEST/+0300,FK Krumovgrad,1-3,1-1,Cherno More Varna,2023-07-28T18:15Z
,3,Sat Jul 29 2023,21:15,EEST/+0300,Pirin Blagoevgrad,0-0,0-0,Botev Plovdiv,2023-07-29T18:15Z
,3,Sat Jul 29 2023,19:00,EEST/+0300,Hebar Pazardzhik,1-0,0-0,PFC Beroe,2023-07-29T16:00Z
,3,Sun Jul 30 2023,21:15,EEST/+0300,Levski Sofia,6-0,2-0,Lokomotiv Sofia,2023-07-30T18:15Z
,3,Mon Jul 31 2023,21:15,EEST/+0300,Lokomotiv Plovdiv,4-0,2-0,Botev Vratsa,2023-07-31T18:15Z
,4,Fri Aug 4 2023,21:15,EEST/+0300,Botev Plovdiv,0-2,0-2,Arda Kardzhali,2023-08-04T18:15Z
,4,Fri Aug 4 2023,19:00,EEST/+0300,Cherno More Varna,2-1,0-0,Etar Veliko Tarnovo,2023-08-04T16:00Z
,4,Sat Aug 5 2023,21:15,EEST/+0300,Lokomotiv Sofia,2-0,1-0,Pirin Blagoevgrad,2023-08-05T18:15Z
,4,Sat Aug 5 2023,19:00,EEST/+0300,Botev Vratsa,0-5,0-1,PFC Ludogorets Razgrad,2023-08-05T16:00Z
,4,Sun Aug 6 2023,21:15,EEST/+0300,Lokomotiv Plovdiv,2-1,2-1,Levski Sofia,2023-08-06T18:15Z
,4,Sun Aug 6 2023,18:45,EEST/+0300,CSKA Sofia,1-1,0-0,Slavia Sofia,2023-08-06T15:45Z
,4,Mon Aug 7 2023,21:15,EEST/+0300,PFC Beroe,2-0,2-0,FK Krumovgrad,2023-08-07T18:15Z
,4,Mon Aug 7 2023,19:00,EEST/+0300,CSKA 1948 Sofia,1-1,0-0,Hebar Pazardzhik,2023-08-07T16:00Z
,5,Fri Aug 11 2023,21:15,EEST/+0300,Pirin Blagoevgrad,0-1,0-0,Lokomotiv Plovdiv,2023-08-11T18:15Z
,5,Fri Aug 11 2023,19:00,EEST/+0300,Arda Kardzhali,1-0,1-0,Lokomotiv Sofia,2023-08-11T16:00Z
,5,Sat Aug 12 2023,21:15,EEST/+0300,Slavia Sofia,1-5,1-2,Cherno More Varna,2023-08-12T18:15Z
,5,Sat Aug 12 2023,19:00,EEST/+0300,Hebar Pazardzhik,1-0,0-0,Botev Plovdiv,2023-08-12T16:00Z
,5,Sun Aug 13 2023,21:15,EEST/+0300,PFC Ludogorets Razgrad,3-0,2-0,CSKA Sofia,2023-08-13T18:15Z
,5,Sun Aug 13 2023,18:45,EEST/+0300,Levski Sofia,1-0,0-0,Botev Vratsa,2023-08-13T15:45Z
,5,Mon Aug 14 2023,21:15,EEST/+0300,FK Krumovgrad,1-0,0-0,CSKA 1948 Sofia,2023-08-14T18:15Z
,5,Mon Aug 14 2023,19:00,EEST/+0300,Etar Veliko Tarnovo,2-2,1-1,PFC Beroe,2023-08-14T16:00Z
,6,Fri Aug 18 2023,21:15,EEST/+0300,Lokomotiv Plovdiv,1-0,0-0,Arda Kardzhali,2023-08-18T18:15Z
,6,Fri Aug 18 2023,19:00,EEST/+0300,Lokomotiv Sofia,0-1,0-1,Hebar Pazardzhik,2023-08-18T16:00Z
,6,Sat Aug 19 2023,21:15,EEST/+0300,Botev Vratsa,0-2,0-1,CSKA Sofia,2023-08-19T18:15Z
,6,Sat Aug 19 2023,19:00,EEST/+0300,PFC Beroe,3-0,3-0,Slavia Sofia,2023-08-19T16:00Z
,6,Sun Aug 20 2023,19:00,EEST/+0300,Botev Plovdiv,1-2,1-0,FK Krumovgrad,2023-08-20T16:00Z
,6,Sun Aug 20 2023,21:15,EEST/+0300,Cherno More Varna,1-0,0-0,PFC Ludogorets Razgrad,2023-08-20T18:15Z
,6,Mon Aug 21 2023,20:30,EEST/+0300,CSKA 1948 Sofia,1-0,1-0,Etar Veliko Tarnovo,2023-08-21T17:30Z
,7,Fri Aug 25 2023,21:15,EEST/+0300,Hebar Pazardzhik,3-4,3-4,Lokomotiv Plovdiv,2023-08-25T18:15Z
,7,Fri Aug 25 2023,19:00,EEST/+0300,Pirin Blagoevgrad,0-1,0-0,Botev Vratsa,2023-08-25T16:00Z
,7,Sat Aug 26 2023,21:15,EEST/+0300,CSKA Sofia,1-1,1-0,Cherno More Varna,2023-08-26T18:15Z
,7,Sat Aug 26 2023,19:00,EEST/+0300,FK Krumovgrad,2-0,1-0,Lokomotiv Sofia,2023-08-26T16:00Z
,7,Sun Aug 27 2023,21:15,EEST/+0300,PFC Ludogorets Razgrad,5-0,2-0,PFC Beroe,2023-08-27T18:15Z
,7,Sun Aug 27 2023,19:00,EEST/+0300,Etar Veliko Tarnovo,1-2,0-0,Botev Plovdiv,2023-08-27T16:00Z
,7,Mon Aug 28 2023,20:30,EEST/+0300,Slavia Sofia,0-2,0-2,CSKA 1948 Sofia,2023-08-28T17:30Z
,8,Fri Sep 1 2023,19:15,EEST/+0300,Botev Vratsa,0-1,0-0,Cherno More Varna,2023-09-01T16:15Z
,8,Fri Sep 1 2023,21:30,EEST/+0300,Botev Plovdiv,3-1,3-0,Slavia Sofia,2023-09-01T18:30Z
,8,Fri Sep 1 2023,17:00,EEST/+0300,Pirin Blagoevgrad,0-2,0-1,Arda Kardzhali,2023-09-01T14:00Z
,8,Sat Sep 2 2023,21:15,EEST/+0300,PFC Beroe,0-3,0-2,CSKA Sofia,2023-09-02T18:15Z
,8,Sat Sep 2 2023,19:00,EEST/+0300,Lokomotiv Sofia,1-3,1-2,Etar Veliko Tarnovo,2023-09-02T16:00Z
,8,Sun Sep 3 2023,21:15,EEST/+0300,Levski Sofia,1-0,0-0,Hebar Pazardzhik,2023-09-03T18:15Z
,8,Sun Sep 3 2023,19:00,EEST/+0300,Lokomotiv Plovdiv,4-0,2-0,FK Krumovgrad,2023-09-03T16:00Z
,6,Thu Sep 14 2023,20:30,EEST/+0300,Levski Sofia,2-0,0-0,Pirin Blagoevgrad,2023-09-14T17:30Z
,9,Fri Sep 15 2023,17:30,EEST/+0300,Arda Kardzhali,4-0,2-0,Botev Vratsa,2023-09-15T14:30Z
,9,Fri Sep 15 2023,20:00,EEST/+0300,Cherno More Varna,2-0,1-0,PFC Beroe,2023-09-15T17:00Z
,9,Sat Sep 16 2023,17:30,EEST/+0300,Slavia Sofia,1-2,0-1,Lokomotiv Sofia,2023-09-16T14:30Z
,9,Sat Sep 16 2023,20:00,EEST/+0300,PFC Ludogorets Razgrad,2-2,1-0,Botev Plovdiv,2023-09-16T17:00Z
,9,Sun Sep 17 2023,20:15,EEST/+0300,CSKA Sofia,2-0,0-0,CSKA 1948 Sofia,2023-09-17T17:15Z
,9,Sun Sep 17 2023,17:45,EEST/+0300,Etar Veliko Tarnovo,0-1,0-1,Lokomotiv Plovdiv,2023-09-17T14:45Z
,9,Mon Sep 18 2023,17:30,EEST/+0300,Hebar Pazardzhik,1-2,0-0,Pirin Blagoevgrad,2023-09-18T14:30Z
,9,Mon Sep 18 2023,20:00,EEST/+0300,FK Krumovgrad,2-2,1-2,Levski Sofia,2023-09-18T17:00Z
,10,Fri Sep 22 2023,20:00,EEST/+0300,Botev Plovdiv,1-2,0-1,CSKA Sofia,2023-09-22T17:00Z
,10,Fri Sep 22 2023,15:00,EEST/+0300,Botev Vratsa,1-0,0-0,PFC Beroe,2023-09-22T12:00Z
,10,Fri Sep 22 2023,17:30,EEST/+0300,CSKA 1948 Sofia,1-1,0-1,Cherno More Varna,2023-09-22T14:30Z
,10,Sat Sep 23 2023,15:00,EEST/+0300,Arda Kardzhali,3-1,1-0,Hebar Pazardzhik,2023-09-23T12:00Z
,10,Sat Sep 23 2023,17:30,EEST/+0300,Lokomotiv Plovdiv,2-0,0-0,Slavia Sofia,2023-09-23T14:30Z
,10,Sat Sep 23 2023,20:00,EEST/+0300,Levski Sofia,1-0,0-0,Etar Veliko Tarnovo,2023-09-23T17:00Z
,10,Sun Sep 24 2023,20:30,EEST/+0300,Lokomotiv Sofia,1-3,1-0,PFC Ludogorets Razgrad,2023-09-24T17:30Z
,10,Sun Sep 24 2023,18:00,EEST/+0300,Pirin Blagoevgrad,1-0,1-0,FK Krumovgrad,2023-09-24T15:00Z
,11,Tue Sep 26 2023,19:30,EEST/+0300,Cherno More Varna,1-0,1-0,Botev Plovdiv,2023-09-26T16:30Z
,11,Tue Sep 26 2023,17:00,EEST/+0300,PFC Beroe,0-0,0-0,CSKA 1948 Sofia,2023-09-26T14:00Z
,11,Wed Sep 27 2023,18:00,EEST/+0300,Slavia Sofia,0-2,0-1,Levski Sofia,2023-09-27T15:00Z
,11,Wed Sep 27 2023,15:30,EEST/+0300,Hebar Pazardzhik,1-1,1-0,Botev Vratsa,2023-09-27T12:30Z
,11,Wed Sep 27 2023,20:30,EEST/+0300,PFC Ludogorets Razgrad,1-1,1-0,Lokomotiv Plovdiv,2023-09-27T17:30Z
,11,Thu Sep 28 2023,18:00,EEST/+0300,FK Krumovgrad,1-3,0-3,Arda Kardzhali,2023-09-28T15:00Z
,11,Thu Sep 28 2023,20:30,EEST/+0300,CSKA Sofia,2-0,2-0,Lokomotiv Sofia,2023-09-28T17:30Z
,11,Thu Sep 28 2023,15:30,EEST/+0300,Etar Veliko Tarnovo,0-2,0-2,Pirin Blagoevgrad,2023-09-28T12:30Z
,12,Sat Sep 30 2023,20:00,EEST/+0300,Botev Plovdiv,4-1,1-0,PFC Beroe,2023-09-30T17:00Z
,12,Sat Sep 30 2023,17:30,EEST/+0300,Botev Vratsa,1-2,1-1,CSKA 1948 Sofia,2023-09-30T14:30Z
,12,Sun Oct 1 2023,20:30,EEST/+0300,Levski Sofia,0-1,0-1,PFC Ludogorets Razgrad,2023-10-01T17:30Z
,12,Sun Oct 1 2023,15:15,EEST/+0300,Arda Kardzhali,3-0,1-0,Etar Veliko Tarnovo,2023-10-01T12:15Z
,12,Sun Oct 1 2023,17:45,EEST/+0300,Lokomotiv Sofia,0-0,0-0,Cherno More Varna,2023-10-01T14:45Z
,12,Mon Oct 2 2023,17:30,EEST/+0300,Pirin Blagoevgrad,1-1,0-1,Slavia Sofia,2023-10-02T14:30Z
,12,Mon Oct 2 2023,20:00,EEST/+0300,Lokomotiv Plovdiv,0-2,0-2,CSKA Sofia,2023-10-02T17:00Z
,12,Mon Oct 2 2023,15:00,EEST/+0300,Hebar Pazardzhik,0-0,0-0,FK Krumovgrad,2023-10-02T12:00Z
