Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 11 2023,21:00,+0300,Trabzonspor,1-0,1-0,Antalyaspor,2023-08-11T18:00Z
1,Sat Aug 12 2023,19:15,+0300,Konyaspor,1-1,0-1,İstanbulspor AŞ,2023-08-12T16:15Z
1,Sat Aug 12 2023,21:45,+0300,Kayserispor,0-0,0-0,Galatasaray,2023-08-12T18:45Z
1,Sat Aug 12 2023,21:45,+0300,Pendikspor,1-5,0-2,Hatayspor,2023-08-12T18:45Z
1,Sat Aug 12 2023,19:15,+0300,Kasımpaşa SK,3-2,1-0,MKE Ankaragücü,2023-08-12T16:15Z
1,Sun Aug 13 2023,19:15,+0300,Sivasspor,1-1,1-0,Samsunspor,2023-08-13T16:15Z
1,Sun Aug 13 2023,21:45,+0300,Adana Demirspor,2-1,1-0,Çaykur Rizespor,2023-08-13T18:45Z
1,Sun Aug 13 2023,21:45,+0300,Fenerbahçe,2-1,2-1,Gaziantep FK,2023-08-13T18:45Z
1,Mon Aug 14 2023,21:00,+0300,Fatih Karagümrük,0-1,0-0,Beşiktaş,2023-08-14T18:00Z
1,Mon Aug 14 2023,21:00,+0300,Alanyaspor,2-0,1-0,İstanbul Başakşehir,2023-08-14T18:00Z
2,Fri Aug 18 2023,21:00,+0300,İstanbulspor AŞ,1-1,0-0,Kayserispor,2023-08-18T18:00Z
2,Fri Aug 18 2023,21:00,+0300,Antalyaspor,1-1,0-0,Konyaspor,2023-08-18T18:00Z
2,Sat Aug 19 2023,21:45,+0300,Hatayspor,0-0,0-0,Kasımpaşa SK,2023-08-19T18:45Z
2,Sat Aug 19 2023,21:45,+0300,Galatasaray,2-0,1-0,Trabzonspor,2023-08-19T18:45Z
2,Sat Aug 19 2023,19:15,+0300,Çaykur Rizespor,0-0,0-0,Alanyaspor,2023-08-19T16:15Z
2,Sun Aug 20 2023,19:15,+0300,İstanbul Başakşehir,0-2,0-2,Fatih Karagümrük,2023-08-20T16:15Z
2,Sun Aug 20 2023,21:45,+0300,Gaziantep FK,1-3,0-2,Sivasspor,2023-08-20T18:45Z
2,Sun Aug 20 2023,21:45,+0300,Beşiktaş,1-1,1-0,Pendikspor,2023-08-20T18:45Z
2,Mon Aug 21 2023,21:00,+0300,MKE Ankaragücü,1-1,1-1,Adana Demirspor,2023-08-21T18:00Z
2,Mon Aug 21 2023,21:00,+0300,Samsunspor,0-2,0-0,Fenerbahçe,2023-08-21T18:00Z
3,Fri Aug 25 2023,21:00,+0300,Konyaspor,2-0,0-0,Gaziantep FK,2023-08-25T18:00Z
3,Sat Aug 26 2023,19:15,+0300,Kasımpaşa SK,1-1,0-1,Pendikspor,2023-08-26T16:15Z
3,Sat Aug 26 2023,19:15,+0300,Trabzonspor,2-3,0-2,Çaykur Rizespor,2023-08-26T16:15Z
3,Sat Aug 26 2023,21:45,+0300,Sivasspor,1-1,1-1,Antalyaspor,2023-08-26T18:45Z
3,Sun Aug 27 2023,19:15,+0300,Fatih Karagümrük,1-1,1-0,MKE Ankaragücü,2023-08-27T16:15Z
3,Sun Aug 27 2023,21:45,+0300,Alanyaspor,0-0,0-0,Hatayspor,2023-08-27T18:45Z
3,Sun Aug 27 2023,19:15,+0300,Kayserispor,2-1,2-1,Samsunspor,2023-08-27T16:15Z
4,Fri Sep 1 2023,21:00,+0300,Kasımpaşa SK,1-5,0-3,Trabzonspor,2023-09-01T18:00Z
4,Fri Sep 1 2023,21:00,+0300,Çaykur Rizespor,1-0,1-0,Fatih Karagümrük,2023-09-01T18:00Z
4,Sat Sep 2 2023,19:15,+0300,İstanbul Başakşehir,0-1,0-0,Konyaspor,2023-09-02T16:15Z
4,Sat Sep 2 2023,21:45,+0300,Gaziantep FK,0-3,0-1,Galatasaray,2023-09-02T18:45Z
4,Sat Sep 2 2023,21:45,+0300,Antalyaspor,1-1,1-1,Kayserispor,2023-09-02T18:45Z
4,Sat Sep 2 2023,19:15,+0300,Pendikspor,1-1,0-0,Alanyaspor,2023-09-02T16:15Z
4,Sun Sep 3 2023,21:45,+0300,Hatayspor,3-3,0-1,Adana Demirspor,2023-09-03T18:45Z
4,Sun Sep 3 2023,19:15,+0300,Beşiktaş,2-0,2-0,Sivasspor,2023-09-03T16:15Z
4,Sun Sep 3 2023,21:45,+0300,MKE Ankaragücü,0-1,0-0,Fenerbahçe,2023-09-03T18:45Z
5,Sat Sep 16 2023,17:00,+0300,Konyaspor,1-2,1-0,Çaykur Rizespor,2023-09-16T14:00Z
5,Sat Sep 16 2023,20:00,+0300,Galatasaray,4-2,3-0,Samsunspor,2023-09-16T17:00Z
5,Sat Sep 16 2023,20:00,+0300,Adana Demirspor,3-0,2-0,Pendikspor,2023-09-16T17:00Z
5,Sat Sep 16 2023,17:00,+0300,Kayserispor,2-0,1-0,Gaziantep FK,2023-09-16T14:00Z
5,Sun Sep 17 2023,20:00,+0300,Trabzonspor,3-0,2-0,Beşiktaş,2023-09-17T17:00Z
5,Sun Sep 17 2023,20:00,+0300,Alanyaspor,3-3,2-1,Kasımpaşa SK,2023-09-17T17:00Z
