Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
,1,Fri Jul 14 2023,21:30,EEST/+0300,Rapid Bucureşti,0-0,0-0,Sepsi OSK,,,2023-07-14T18:30Z
,1,Fri Jul 14 2023,18:30,EEST/+0300,Oţelul Galaţi,1-1,0-1,UTA Arad,,,2023-07-14T15:30Z
,1,Sat Jul 15 2023,21:30,EEST/+0300,CFR Cluj,2-0,1-0,FC Politehnica Iași,,,2023-07-15T18:30Z
,1,Sat Jul 15 2023,18:30,EEST/+0300,FC Hermannstadt,0-1,0-0,Farul Constanța,,,2023-07-15T15:30Z
,1,Sun Jul 16 2023,21:30,EEST/+0300,FC Universitatea Craiova,1-3,0-2,FCSB,,,2023-07-16T18:30Z
,1,Sun Jul 16 2023,18:30,EEST/+0300,Petrolul Ploieşti,1-1,1-1,Universitatea Cluj,,,2023-07-16T15:30Z
,1,Mon Jul 17 2023,21:30,EEST/+0300,Dinamo Bucureşti,0-2,0-0,CS Universitatea Craiova,,,2023-07-17T18:30Z
,1,Mon Jul 17 2023,18:30,EEST/+0300,FC Voluntari,2-1,0-0,FC Botoşani,,,2023-07-17T15:30Z
,2,Fri Jul 21 2023,18:30,EEST/+0300,Sepsi OSK,1-0,0-0,FC Universitatea Craiova,,,2023-07-21T15:30Z
,2,Fri Jul 21 2023,21:30,EEST/+0300,UTA Arad,1-3,1-2,CFR Cluj,,,2023-07-21T18:30Z
,2,Sat Jul 22 2023,21:30,EEST/+0300,FCSB,2-1,2-0,Dinamo Bucureşti,,,2023-07-22T18:30Z
,2,Sat Jul 22 2023,18:15,EEST/+0300,Farul Constanța,4-1,1-1,FC Voluntari,,,2023-07-22T15:15Z
,2,Sun Jul 23 2023,21:30,EEST/+0300,Universitatea Cluj,0-3,0-1,Rapid Bucureşti,,,2023-07-23T18:30Z
,2,Sun Jul 23 2023,18:30,EEST/+0300,FC Politehnica Iași,1-3,0-1,FC Hermannstadt,,,2023-07-23T15:30Z
,2,Mon Jul 24 2023,21:30,EEST/+0300,CS Universitatea Craiova,0-0,0-0,Oţelul Galaţi,,,2023-07-24T18:30Z
,2,Mon Jul 24 2023,18:30,EEST/+0300,FC Botoşani,1-1,1-1,Petrolul Ploieşti,,,2023-07-24T15:30Z
,3,Fri Jul 28 2023,18:30,EEST/+0300,FC Universitatea Craiova,3-4,0-1,Universitatea Cluj,,,2023-07-28T15:30Z
,3,Fri Jul 28 2023,21:30,EEST/+0300,Rapid Bucureşti,2-2,1-0,FC Botoşani,,,2023-07-28T18:30Z
,3,Sat Jul 29 2023,21:30,EEST/+0300,Oţelul Galaţi,0-2,0-1,FCSB,,,2023-07-29T18:30Z
,3,Sat Jul 29 2023,18:30,EEST/+0300,FC Hermannstadt,2-1,0-1,UTA Arad,,,2023-07-29T15:30Z
,3,Sun Jul 30 2023,21:30,EEST/+0300,CFR Cluj,1-1,1-1,CS Universitatea Craiova,,,2023-07-30T18:30Z
,3,Sun Jul 30 2023,18:30,EEST/+0300,Farul Constanța,1-3,1-2,FC Politehnica Iași,,,2023-07-30T15:30Z
,3,Mon Jul 31 2023,21:30,EEST/+0300,Dinamo Bucureşti,0-3,0-1,Sepsi OSK,,,2023-07-31T18:30Z
,3,Mon Jul 31 2023,18:30,EEST/+0300,Petrolul Ploieşti,0-2,0-0,FC Voluntari,,,2023-07-31T15:30Z
,4,Fri Aug 4 2023,18:30,EEST/+0300,UTA Arad,1-0,1-0,FC Politehnica Iași,,,2023-08-04T15:30Z
,4,Fri Aug 4 2023,21:30,EEST/+0300,CS Universitatea Craiova,1-0,1-0,FC Hermannstadt,,,2023-08-04T18:30Z
,4,Sat Aug 5 2023,21:30,EEST/+0300,Universitatea Cluj,1-1,0-1,Dinamo Bucureşti,,,2023-08-05T18:30Z
,4,Sat Aug 5 2023,18:30,EEST/+0300,FC Botoşani,0-1,0-1,FC Universitatea Craiova,,,2023-08-05T15:30Z
,4,Sun Aug 6 2023,21:30,EEST/+0300,FCSB,1-0,0-0,CFR Cluj,,,2023-08-06T18:30Z
,4,Sun Aug 6 2023,18:15,EEST/+0300,Petrolul Ploieşti,3-2,0-0,Farul Constanța,,,2023-08-06T15:15Z
,4,Mon Aug 7 2023,21:30,EEST/+0300,FC Voluntari,2-1,2-1,Rapid Bucureşti,,,2023-08-07T18:30Z
,4,Mon Aug 7 2023,18:30,EEST/+0300,Sepsi OSK,1-1,0-1,Oţelul Galaţi,,,2023-08-07T15:30Z
,5,Fri Aug 11 2023,20:30,EEST/+0300,FC Universitatea Craiova,3-1,3-0,FC Voluntari,,,2023-08-11T17:30Z
,5,Sat Aug 12 2023,18:30,EEST/+0300,Oţelul Galaţi,1-1,0-0,Universitatea Cluj,,,2023-08-12T15:30Z
,5,Sat Aug 12 2023,21:30,EEST/+0300,FC Politehnica Iași,1-4,1-0,CS Universitatea Craiova,,,2023-08-12T18:30Z
,5,Sun Aug 13 2023,21:30,EEST/+0300,Rapid Bucureşti,0-2,0-0,Petrolul Ploieşti,,,2023-08-13T18:30Z
,5,Mon Aug 14 2023,20:30,EEST/+0300,Dinamo Bucureşti,1-0,0-0,FC Botoşani,,,2023-08-14T17:30Z
,6,Fri Aug 18 2023,21:30,EEST/+0300,CS Universitatea Craiova,3-0,1-0,UTA Arad,,,2023-08-18T18:30Z
,6,Fri Aug 18 2023,18:30,EEST/+0300,Petrolul Ploieşti,4-3,2-1,FC Universitatea Craiova,,,2023-08-18T15:30Z
,6,Sat Aug 19 2023,17:00,EEST/+0300,FC Botoşani,0-0,0-0,Oţelul Galaţi,,,2023-08-19T14:00Z
,6,Sat Aug 19 2023,21:45,EEST/+0300,FC Voluntari,2-3,1-1,Dinamo Bucureşti,,,2023-08-19T18:45Z
,6,Sun Aug 20 2023,18:15,EEST/+0300,Rapid Bucureşti,3-1,2-0,Farul Constanța,,,2023-08-20T15:15Z
,6,Sun Aug 20 2023,21:30,EEST/+0300,FCSB,2-1,1-0,FC Politehnica Iași,,,2023-08-20T18:30Z
,6,Mon Aug 21 2023,21:30,EEST/+0300,Universitatea Cluj,3-4,2-1,CFR Cluj,,,2023-08-21T18:30Z
,6,Mon Aug 21 2023,18:30,EEST/+0300,Sepsi OSK,1-1,1-0,FC Hermannstadt,,,2023-08-21T15:30Z
,7,Fri Aug 25 2023,21:30,EEST/+0300,FC Universitatea Craiova,3-5,1-2,Rapid Bucureşti,,,2023-08-25T18:30Z
,7,Fri Aug 25 2023,18:30,EEST/+0300,Oţelul Galaţi,2-2,2-0,FC Voluntari,,,2023-08-25T15:30Z
,7,Sat Aug 26 2023,21:45,EEST/+0300,Dinamo Bucureşti,1-1,1-1,Petrolul Ploieşti,,,2023-08-26T18:45Z
,7,Sat Aug 26 2023,19:00,EEST/+0300,CFR Cluj,3-1,2-0,FC Botoşani,,,2023-08-26T16:00Z
,7,Sun Aug 27 2023,21:30,EEST/+0300,Farul Constanța,2-0,2-0,CS Universitatea Craiova,,,2023-08-27T18:30Z
,7,Mon Aug 28 2023,21:30,EEST/+0300,UTA Arad,2-1,1-1,FCSB,,,2023-08-28T18:30Z
,7,Mon Aug 28 2023,18:30,EEST/+0300,FC Hermannstadt,2-2,1-2,Universitatea Cluj,,,2023-08-28T15:30Z
,8,Fri Sep 1 2023,21:30,EEST/+0300,Rapid Bucureşti,4-0,1-0,Dinamo Bucureşti,,,2023-09-01T18:30Z
,8,Fri Sep 1 2023,18:30,EEST/+0300,Petrolul Ploieşti,2-2,1-0,Oţelul Galaţi,,,2023-09-01T15:30Z
,8,Sat Sep 2 2023,19:00,EEST/+0300,FC Voluntari,1-4,1-2,CFR Cluj,,,2023-09-02T16:00Z
,8,Sat Sep 2 2023,21:45,EEST/+0300,FCSB,3-0,3-0,CS Universitatea Craiova,,,2023-09-02T18:45Z
,8,Sun Sep 3 2023,21:30,EEST/+0300,FC Universitatea Craiova,4-0,2-0,Farul Constanța,,,2023-09-03T18:30Z
,8,Mon Sep 4 2023,21:30,EEST/+0300,Sepsi OSK,1-0,0-0,UTA Arad,,,2023-09-04T18:30Z
,8,Mon Sep 4 2023,18:30,EEST/+0300,FC Botoşani,2-2,1-2,FC Hermannstadt,,,2023-09-04T15:30Z
,8,Mon Sep 4 2023,13:00,EEST/+0300,Universitatea Cluj,0-2,0-0,FC Politehnica Iași,,,2023-09-04T10:00Z
,9,Fri Sep 15 2023,18:30,EEST/+0300,UTA Arad,0-1,0-0,Universitatea Cluj,,,2023-09-15T15:30Z
