Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,1,Fri Aug 18 2023,21:00,EEST/+0300,Volos NFC,2-2,0-0,Lamia,,2023-08-18T18:00Z
,1,Sun Aug 20 2023,19:30,EEST/+0300,OFI Heraklion,3-2,2-1,Aris Saloniki,,2023-08-20T16:30Z
,1,Sun Aug 20 2023,20:00,EEST/+0300,PAOK Saloniki,3-0,1-0,Asteras Tripolis,,2023-08-20T17:00Z
,1,Sun Aug 20 2023,22:00,EEST/+0300,Olympiakos Piraeus,2-0,0-0,Panserraikos,,2023-08-20T19:00Z
,1,Sun Aug 20 2023,19:00,EEST/+0300,PAS Giannina,3-0,1-0,AE Kifisias,,2023-08-20T16:00Z
,2,Fri Aug 25 2023,21:00,EEST/+0300,Panetolikos,0-0,0-0,PAS Giannina,,2023-08-25T18:00Z
,2,Sat Aug 26 2023,20:00,EEST/+0300,Panathinaikos,3-0,2-0,Volos NFC,,2023-08-26T17:00Z
,2,Sat Aug 26 2023,21:30,EEST/+0300,AEK Athen,1-1,0-1,Panserraikos,,2023-08-26T18:30Z
,2,Sat Aug 26 2023,20:00,EEST/+0300,Asteras Tripolis,3-0,2-0,OFI Heraklion,,2023-08-26T17:00Z
,2,Sun Aug 27 2023,19:15,EEST/+0300,Lamia,1-0,1-0,Aris Saloniki,,2023-08-27T16:15Z
,2,Sun Aug 27 2023,21:30,EEST/+0300,Olympiakos Piraeus,4-0,2-0,Atromitos,,2023-08-27T18:30Z
,2,Sun Aug 27 2023,21:00,EEST/+0300,PAOK Saloniki,2-1,1-0,AE Kifisias,,2023-08-27T18:00Z
,3,Fri Sep 1 2023,21:00,EEST/+0300,AE Kifisias,2-1,1-0,Atromitos,,2023-09-01T18:00Z
,3,Sat Sep 2 2023,21:00,EEST/+0300,Panserraikos,1-1,1-0,Panetolikos,,2023-09-02T18:00Z
,3,Sun Sep 3 2023,21:30,EEST/+0300,Volos NFC,2-3,1-2,AEK Athen,,2023-09-03T18:30Z
