Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Jul 22 2023,18:00,CEST/+0200,Grasshopper Club Zürich,1-3,1-1,Servette FC,2023-07-22T16:00Z
,1,Sat Jul 22 2023,20:30,CEST/+0200,FC Winterthur,0-0,0-0,FC Luzern,2023-07-22T18:30Z
,1,Sat Jul 22 2023,18:00,CEST/+0200,FC St. Gallen,2-1,1-1,FC Basel 1893,2023-07-22T16:00Z
,1,Sun Jul 23 2023,16:30,CEST/+0200,BSC Young Boys,2-1,0-0,FC Lausanne-Sport,2023-07-23T14:30Z
,1,Sun Jul 23 2023,16:30,CEST/+0200,FC Zürich,2-0,1-0,Yverdon Sport FC,2023-07-23T14:30Z
,1,Wed Jul 26 2023,20:30,CEST/+0200,Stade-Lausanne-Ouchy,0-3,0-1,FC Lugano,2023-07-26T18:30Z
,2,Sat Jul 29 2023,18:00,CEST/+0200,FC Lausanne-Sport,1-1,1-0,Grasshopper Club Zürich,2023-07-29T16:00Z
,2,Sat Jul 29 2023,18:00,CEST/+0200,FC Lugano,1-0,0-0,FC St. Gallen,2023-07-29T16:00Z
,2,Sat Jul 29 2023,20:30,CEST/+0200,Servette FC,2-2,0-1,FC Zürich,2023-07-29T18:30Z
,2,Sun Jul 30 2023,16:30,CEST/+0200,FC Basel 1893,5-2,1-1,FC Winterthur,2023-07-30T14:30Z
,2,Sun Jul 30 2023,16:30,CEST/+0200,Yverdon Sport FC,2-2,0-1,BSC Young Boys,2023-07-30T14:30Z
,2,Sun Jul 30 2023,14:15,CEST/+0200,FC Luzern,2-1,0-0,Stade-Lausanne-Ouchy,2023-07-30T12:15Z
,3,Sat Aug 5 2023,18:00,CEST/+0200,Stade-Lausanne-Ouchy,1-1,0-0,Servette FC,2023-08-05T16:00Z
,3,Sat Aug 5 2023,18:00,CEST/+0200,BSC Young Boys,5-2,3-1,FC Winterthur,2023-08-05T16:00Z
,3,Sat Aug 5 2023,20:30,CEST/+0200,FC Zürich,3-0,0-0,FC Lugano,2023-08-05T18:30Z
,3,Sun Aug 6 2023,16:30,CEST/+0200,FC St. Gallen,2-1,0-0,FC Luzern,2023-08-06T14:30Z
