Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Jul 22 2023,17:30,CEST/+0200,NŠ Mura,2-3,2-1,NK Domžale,,2023-07-22T15:30Z
1,Sat Jul 22 2023,20:15,CEST/+0200,FC Koper,2-1,0-0,Olimpija Ljubljana,,2023-07-22T18:15Z
1,Sat Jul 22 2023,17:30,CEST/+0200,NK Bravo,2-0,1-0,NK Rogaška,,2023-07-22T15:30Z
1,Sun Jul 23 2023,20:15,CEST/+0200,NK Aluminij,2-2,1-0,NK Celje,,2023-07-23T18:15Z
1,Sun Jul 23 2023,17:30,CEST/+0200,NK Radomlje,0-4,0-2,NK Maribor,,2023-07-23T15:30Z
2,Sat Jul 29 2023,20:15,CEST/+0200,Olimpija Ljubljana,5-0,2-0,NK Rogaška,,2023-07-29T18:15Z
2,Sat Jul 29 2023,17:30,CEST/+0200,FC Koper,1-0,1-0,NK Radomlje,,2023-07-29T15:30Z
2,Sun Jul 30 2023,17:30,CEST/+0200,NK Domžale,1-1,0-1,NK Bravo,,2023-07-30T15:30Z
2,Sun Jul 30 2023,17:30,CEST/+0200,NK Maribor,1-0,0-0,NK Aluminij,,2023-07-30T15:30Z
2,Sun Jul 30 2023,20:15,CEST/+0200,NK Celje,5-0,2-0,NŠ Mura,,2023-07-30T18:15Z
4,Sat Aug 12 2023,20:15,CEST/+0200,NK Radomlje,0-2,0-2,NK Aluminij,,2023-08-12T18:15Z
4,Sat Aug 12 2023,17:30,CEST/+0200,Olimpija Ljubljana,2-1,1-0,NK Domžale,,2023-08-12T15:30Z
4,Sun Aug 13 2023,17:30,CEST/+0200,NK Maribor,2-1,2-0,NK Bravo,,2023-08-13T15:30Z
4,Sun Aug 13 2023,20:15,CEST/+0200,NK Celje,2-0,0-0,NK Rogaška,,2023-08-13T18:15Z
4,Mon Aug 14 2023,20:15,CEST/+0200,FC Koper,1-3,0-1,NŠ Mura,,2023-08-14T18:15Z
5,Fri Aug 18 2023,17:30,CEST/+0200,NK Bravo,0-3,0-1,FC Koper,,2023-08-18T15:30Z
5,Sat Aug 19 2023,20:15,CEST/+0200,NK Aluminij,4-5,2-1,Olimpija Ljubljana,,2023-08-19T18:15Z
5,Sat Aug 19 2023,17:30,CEST/+0200,NŠ Mura,0-2,0-2,NK Radomlje,,2023-08-19T15:30Z
5,Sun Aug 20 2023,17:30,CEST/+0200,NK Rogaška,2-2,0-1,NK Maribor,,2023-08-20T15:30Z
5,Sun Aug 20 2023,20:15,CEST/+0200,NK Domžale,1-2,0-1,NK Celje,,2023-08-20T18:15Z
6,Fri Aug 25 2023,20:15,CEST/+0200,NK Aluminij,0-1,0-1,NŠ Mura,,2023-08-25T18:15Z
6,Sat Aug 26 2023,20:15,CEST/+0200,NK Maribor,1-1,1-1,NK Domžale,,2023-08-26T18:15Z
6,Sat Aug 26 2023,,,FC Koper,3-0 (*),,NK Rogaška,awd.,
6,Sun Aug 27 2023,17:30,CEST/+0200,Olimpija Ljubljana,2-4,1-2,NK Celje,,2023-08-27T15:30Z
6,Sun Aug 27 2023,20:15,CEST/+0200,NK Radomlje,1-2,0-2,NK Bravo,,2023-08-27T18:15Z
7,Sat Sep 2 2023,17:30,CEST/+0200,NK Domžale,1-2,1-1,FC Koper,,2023-09-02T15:30Z
7,Sat Sep 2 2023,15:00,CEST/+0200,NK Bravo,2-0,1-0,NK Aluminij,,2023-09-02T13:00Z
7,Sun Sep 3 2023,15:00,CEST/+0200,NK Rogaška,1-1,1-1,NK Radomlje,,2023-09-03T13:00Z
7,Sun Sep 3 2023,17:30,CEST/+0200,NK Celje,2-0,1-0,NK Maribor,,2023-09-03T15:30Z
7,Sun Sep 3 2023,20:15,CEST/+0200,NŠ Mura,1-3,1-1,Olimpija Ljubljana,,2023-09-03T18:15Z
8,Sat Sep 16 2023,17:30,CEST/+0200,NŠ Mura,1-1,1-0,NK Bravo,,2023-09-16T15:30Z
8,Sat Sep 16 2023,20:15,CEST/+0200,Olimpija Ljubljana,2-1,1-0,NK Maribor,,2023-09-16T18:15Z
8,Sat Sep 16 2023,15:00,CEST/+0200,NK Aluminij,1-2,0-2,NK Rogaška,,2023-09-16T13:00Z
8,Sun Sep 17 2023,20:15,CEST/+0200,FC Koper,1-1,0-1,NK Celje,,2023-09-17T18:15Z
8,Sun Sep 17 2023,15:00,CEST/+0200,NK Radomlje,3-1,3-1,NK Domžale,,2023-09-17T13:00Z
9,Fri Sep 22 2023,17:30,CEST/+0200,NK Domžale,2-1,0-1,NK Aluminij,,2023-09-22T15:30Z
9,Sat Sep 23 2023,15:00,CEST/+0200,NK Rogaška,0-2,0-1,NŠ Mura,,2023-09-23T13:00Z
9,Sat Sep 23 2023,13:00,CEST/+0200,NK Bravo,4-2,1-2,Olimpija Ljubljana,,2023-09-23T11:00Z
9,Sat Sep 23 2023,17:30,CEST/+0200,NK Celje,1-0,1-0,NK Radomlje,,2023-09-23T15:30Z
9,Sun Sep 24 2023,20:15,CEST/+0200,NK Maribor,0-1,0-1,FC Koper,,2023-09-24T18:15Z
10,Wed Sep 27 2023,17:30,CEST/+0200,NK Celje,1-3,1-0,NK Aluminij,,2023-09-27T15:30Z
10,Wed Sep 27 2023,15:00,CEST/+0200,NK Rogaška,2-0,1-0,NK Bravo,,2023-09-27T13:00Z
10,Wed Sep 27 2023,20:15,CEST/+0200,NK Domžale,0-2,0-1,NŠ Mura,,2023-09-27T18:15Z
10,Thu Sep 28 2023,17:30,CEST/+0200,NK Maribor,3-1,0-1,NK Radomlje,,2023-09-28T15:30Z
10,Thu Sep 28 2023,20:15,CEST/+0200,Olimpija Ljubljana,1-1,0-1,FC Koper,,2023-09-28T18:15Z
11,Sat Sep 30 2023,15:00,CEST/+0200,NK Bravo,3-2,2-2,NK Domžale,,2023-09-30T13:00Z
11,Sat Sep 30 2023,20:15,CEST/+0200,NŠ Mura,0-2,0-0,NK Celje,,2023-09-30T18:15Z
11,Sun Oct 1 2023,17:30,CEST/+0200,NK Radomlje,1-1,0-0,FC Koper,,2023-10-01T15:30Z
11,Sun Oct 1 2023,20:15,CEST/+0200,NK Aluminij,1-0,1-0,NK Maribor,,2023-10-01T18:15Z
11,Sun Oct 1 2023,15:00,CEST/+0200,NK Rogaška,0-2,0-0,Olimpija Ljubljana,,2023-10-01T13:00Z
12,Sat Oct 7 2023,20:15,CEST/+0200,NK Maribor,3-1,2-1,NŠ Mura,,2023-10-07T18:15Z
12,Sat Oct 7 2023,17:30,CEST/+0200,NK Celje,2-1,1-1,NK Bravo,,2023-10-07T15:30Z
12,Sun Oct 8 2023,17:30,CEST/+0200,Olimpija Ljubljana,1-1,1-1,NK Radomlje,,2023-10-08T15:30Z
12,Sun Oct 8 2023,20:15,CEST/+0200,FC Koper,4-1,3-0,NK Aluminij,,2023-10-08T18:15Z
12,Sun Oct 8 2023,15:00,CEST/+0200,NK Domžale,3-0,1-0,NK Rogaška,,2023-10-08T13:00Z
13,Sat Oct 21 2023,20:15,CEST/+0200,NK Domžale,0-2,0-0,Olimpija Ljubljana,,2023-10-21T18:15Z
13,Sat Oct 21 2023,15:00,CEST/+0200,NK Rogaška,0-4,0-3,NK Celje,,2023-10-21T13:00Z
13,Sun Oct 22 2023,17:30,CEST/+0200,NK Aluminij,0-2,0-1,NK Radomlje,,2023-10-22T15:30Z
13,Sun Oct 22 2023,15:00,CEST/+0200,NK Bravo,2-1,0-0,NK Maribor,,2023-10-22T13:00Z
13,Sun Oct 22 2023,20:15,CEST/+0200,NŠ Mura,2-2,1-0,FC Koper,,2023-10-22T18:15Z
14,Fri Oct 27 2023,17:30,CEST/+0200,NK Celje,3-1,1-0,NK Domžale,,2023-10-27T15:30Z
14,Sat Oct 28 2023,17:30,CEST/+0200,FC Koper,1-1,1-0,NK Bravo,,2023-10-28T15:30Z
14,Sat Oct 28 2023,20:15,CEST/+0200,NK Maribor,2-1,1-1,NK Rogaška,,2023-10-28T18:15Z
14,Sun Oct 29 2023,15:00,CET/+0100,NK Radomlje,1-1,0-1,NŠ Mura,,2023-10-29T14:00Z
14,Sun Oct 29 2023,17:30,CET/+0100,Olimpija Ljubljana,0-0,0-0,NK Aluminij,,2023-10-29T16:30Z
15,Sat Nov 4 2023,15:00,CET/+0100,NŠ Mura,1-0,0-0,NK Aluminij,,2023-11-04T14:00Z
15,Sat Nov 4 2023,17:30,CET/+0100,NK Domžale,1-2,1-1,NK Maribor,,2023-11-04T16:30Z
15,Sat Nov 4 2023,13:00,CET/+0100,NK Rogaška,0-1,0-1,FC Koper,,2023-11-04T12:00Z
15,Sun Nov 5 2023,13:00,CET/+0100,NK Bravo,0-2,0-1,NK Radomlje,,2023-11-05T12:00Z
15,Sun Nov 5 2023,15:00,CET/+0100,NK Celje,0-1,0-1,Olimpija Ljubljana,,2023-11-05T14:00Z
16,Fri Nov 10 2023,17:30,CET/+0100,NK Aluminij,1-1,0-1,NK Bravo,,2023-11-10T16:30Z
16,Sat Nov 11 2023,17:30,CET/+0100,FC Koper,0-1,0-0,NK Domžale,,2023-11-11T16:30Z
16,Sat Nov 11 2023,15:00,CET/+0100,NK Radomlje,1-3,0-1,NK Rogaška,,2023-11-11T14:00Z
16,Sun Nov 12 2023,15:00,CET/+0100,NK Maribor,0-1,0-0,NK Celje,,2023-11-12T14:00Z
16,Sun Nov 12 2023,17:30,CET/+0100,Olimpija Ljubljana,1-0,0-0,NŠ Mura,,2023-11-12T16:30Z
