Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Jul 28 2023,20:30,CEST/+0200,LASK,1-1,0-1,Rapid Wien,2023-07-28T18:30Z
,1,Sat Jul 29 2023,17:00,CEST/+0200,TSV Hartberg,2-2,1-0,Austria Lustenau,2023-07-29T15:00Z
,1,Sat Jul 29 2023,17:00,CEST/+0200,WSG Tirol,1-3,0-1,SK Austria Klagenfurt,2023-07-29T15:00Z
,1,Sat Jul 29 2023,19:30,CEST/+0200,SCR Altach,0-2,0-1,RB Salzburg,2023-07-29T17:30Z
,1,Sat Jul 29 2023,17:00,CEST/+0200,Wolfsberger AC,2-1,1-0,FC Blau Weiß Linz,2023-07-29T15:00Z
,1,Sun Jul 30 2023,17:00,CEST/+0200,Austria Wien,0-3,0-2,Sturm Graz,2023-07-30T15:00Z
,2,Sat Aug 5 2023,17:00,CEST/+0200,Rapid Wien,4-0,2-0,SCR Altach,2023-08-05T15:00Z
,2,Sat Aug 5 2023,19:30,CEST/+0200,Sturm Graz,2-0,1-0,LASK,2023-08-05T17:30Z
,2,Sun Aug 6 2023,17:00,CEST/+0200,RB Salzburg,3-0,0-0,WSG Tirol,2023-08-06T15:00Z
,2,Sun Aug 6 2023,17:00,CEST/+0200,FC Blau Weiß Linz,3-3,1-2,TSV Hartberg,2023-08-06T15:00Z
,2,Sun Aug 6 2023,17:00,CEST/+0200,Austria Lustenau,0-2,0-1,Austria Wien,2023-08-06T15:00Z
,2,Wed Aug 9 2023,20:30,CEST/+0200,SK Austria Klagenfurt,2-2,1-0,Wolfsberger AC,2023-08-09T18:30Z
,3,Sat Aug 12 2023,17:00,CEST/+0200,Sturm Graz,0-0,0-0,SK Austria Klagenfurt,2023-08-12T15:00Z
,3,Sat Aug 12 2023,17:00,CEST/+0200,Wolfsberger AC,1-1,0-0,Austria Lustenau,2023-08-12T15:00Z
,3,Sat Aug 12 2023,19:30,CEST/+0200,LASK,2-0,1-0,FC Blau Weiß Linz,2023-08-12T17:30Z
,3,Sun Aug 13 2023,17:00,CEST/+0200,Rapid Wien,0-1,0-0,TSV Hartberg,2023-08-13T15:00Z
,3,Sun Aug 13 2023,17:00,CEST/+0200,SCR Altach,1-0,0-0,WSG Tirol,2023-08-13T15:00Z
,3,Sun Aug 13 2023,17:00,CEST/+0200,RB Salzburg,2-0,0-0,Austria Wien,2023-08-13T15:00Z
,4,Sat Aug 19 2023,17:00,CEST/+0200,WSG Tirol,1-1,1-0,LASK,2023-08-19T15:00Z
,4,Sat Aug 19 2023,17:00,CEST/+0200,Austria Lustenau,0-1,0-1,Sturm Graz,2023-08-19T15:00Z
,4,Sat Aug 19 2023,19:30,CEST/+0200,SK Austria Klagenfurt,1-1,0-0,SCR Altach,2023-08-19T17:30Z
,4,Sun Aug 20 2023,17:00,CEST/+0200,FC Blau Weiß Linz,0-5,0-2,Rapid Wien,2023-08-20T15:00Z
,4,Sun Aug 20 2023,17:00,CEST/+0200,TSV Hartberg,1-5,1-1,RB Salzburg,2023-08-20T15:00Z
,4,Sun Aug 20 2023,17:00,CEST/+0200,Austria Wien,0-0,0-0,Wolfsberger AC,2023-08-20T15:00Z
,5,Sat Aug 26 2023,17:00,CEST/+0200,Sturm Graz,4-1,2-0,FC Blau Weiß Linz,2023-08-26T15:00Z
,5,Sat Aug 26 2023,17:00,CEST/+0200,Wolfsberger AC,1-2,1-0,RB Salzburg,2023-08-26T15:00Z
,5,Sat Aug 26 2023,19:30,CEST/+0200,Austria Lustenau,0-3,0-2,SCR Altach,2023-08-26T17:30Z
,5,Sun Aug 27 2023,17:00,CEST/+0200,Rapid Wien,1-1,0-1,WSG Tirol,2023-08-27T15:00Z
,5,Sun Aug 27 2023,17:00,CEST/+0200,TSV Hartberg,0-3,0-1,SK Austria Klagenfurt,2023-08-27T15:00Z
,5,Sun Aug 27 2023,17:00,CEST/+0200,LASK,2-0,1-0,Austria Wien,2023-08-27T15:00Z
,6,Sat Sep 2 2023,17:00,CEST/+0200,Wolfsberger AC,0-3,0-1,TSV Hartberg,2023-09-02T15:00Z
