Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Sep 16 2023,20:30,CEST/+0200,UE Santa Coloma,2-0,1-0,FC Ordino,2023-09-16T18:30Z
1,Sun Sep 17 2023,13:30,CEST/+0200,CE Carroi,2-2,0-1,CF Atlètic Amèrica,2023-09-17T11:30Z
1,Sun Sep 17 2023,16:00,CEST/+0200,Atlétic Escaldes,1-1,0-0,FC Pas de la Casa,2023-09-17T14:00Z
1,Sun Sep 17 2023,18:30,CEST/+0200,Inter Club d'Escaldes,2-0,1-0,FC Santa Coloma,2023-09-17T16:30Z
1,Sun Sep 17 2023,11:00,CEST/+0200,Penya Encarnada,1-0,1-0,CF Esperança d'Andorra,2023-09-17T09:00Z
2,Sat Sep 23 2023,20:30,CEST/+0200,FC Santa Coloma,1-0,1-0,Atlétic Escaldes,2023-09-23T18:30Z
2,Sun Sep 24 2023,11:00,CEST/+0200,FC Pas de la Casa,0-1,0-0,CE Carroi,2023-09-24T09:00Z
2,Sun Sep 24 2023,13:30,CEST/+0200,CF Esperança d'Andorra,0-2,0-1,UE Santa Coloma,2023-09-24T11:30Z
2,Sun Sep 24 2023,16:00,CEST/+0200,CF Atlètic Amèrica,1-1,1-1,Penya Encarnada,2023-09-24T14:00Z
2,Sun Sep 24 2023,18:30,CEST/+0200,FC Ordino,2-2,1-2,Inter Club d'Escaldes,2023-09-24T16:30Z
3,Sat Sep 30 2023,20:30,CEST/+0200,UE Santa Coloma,2-1,1-0,Inter Club d'Escaldes,2023-09-30T18:30Z
3,Sun Oct 1 2023,13:30,CEST/+0200,Penya Encarnada,2-0,1-0,FC Pas de la Casa,2023-10-01T11:30Z
3,Sun Oct 1 2023,16:00,CEST/+0200,CE Carroi,0-2,0-1,FC Santa Coloma,2023-10-01T14:00Z
3,Sun Oct 1 2023,18:30,CEST/+0200,CF Esperança d'Andorra,2-0,0-0,CF Atlètic Amèrica,2023-10-01T16:30Z
3,Sun Oct 1 2023,11:00,CEST/+0200,Atlétic Escaldes,1-0,0-0,FC Ordino,2023-10-01T09:00Z
4,Sat Oct 7 2023,20:30,CEST/+0200,FC Pas de la Casa,3-2,2-2,CF Esperança d'Andorra,2023-10-07T18:30Z
4,Sun Oct 8 2023,13:30,CEST/+0200,Inter Club d'Escaldes,1-0,1-0,Atlétic Escaldes,2023-10-08T11:30Z
4,Sun Oct 8 2023,16:00,CEST/+0200,FC Ordino,4-0,2-0,CE Carroi,2023-10-08T14:00Z
4,Sun Oct 8 2023,18:30,CEST/+0200,FC Santa Coloma,0-1,0-1,Penya Encarnada,2023-10-08T16:30Z
4,Sun Oct 8 2023,11:00,CEST/+0200,CF Atlètic Amèrica,0-1,0-0,UE Santa Coloma,2023-10-08T09:00Z
5,Sat Oct 21 2023,20:30,CEST/+0200,CF Atlètic Amèrica,1-3,1-2,FC Pas de la Casa,2023-10-21T18:30Z
5,Sun Oct 22 2023,11:00,CEST/+0200,CF Esperança d'Andorra,0-5,0-3,FC Santa Coloma,2023-10-22T09:00Z
5,Sun Oct 22 2023,13:30,CEST/+0200,Penya Encarnada,2-1,1-1,FC Ordino,2023-10-22T11:30Z
5,Sun Oct 22 2023,16:00,CEST/+0200,CE Carroi,1-6,0-3,Inter Club d'Escaldes,2023-10-22T14:00Z
