Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Aug 26 2023,20:00,CEST/+0200,FK Vllaznia,3-1,2-1,FK Kukësi,2023-08-26T18:00Z
,1,Sat Aug 26 2023,17:00,CEST/+0200,Egnatia Rrogozhine,0-1,0-0,KF Skënderbeu,2023-08-26T15:00Z
,1,Sun Aug 27 2023,20:00,CEST/+0200,FC Dinamo City,2-3,1-1,KF Tiranë,2023-08-27T18:00Z
,1,Sun Aug 27 2023,17:00,CEST/+0200,KF Laçi,3-3,2-1,Erzeni Shijak,2023-08-27T15:00Z
,2,Fri Sep 1 2023,19:00,CEST/+0200,KF Skënderbeu,1-0,0-0,FC Dinamo City,2023-09-01T17:00Z
,2,Fri Sep 1 2023,16:00,CEST/+0200,Erzeni Shijak,2-2,1-1,FK Vllaznia,2023-09-01T14:00Z
,2,Sat Sep 2 2023,19:00,CEST/+0200,KF Teuta Durrës,2-2,2-1,KF Tiranë,2023-09-02T17:00Z
,2,Sun Sep 3 2023,16:00,CEST/+0200,FK Kukësi,0-4,0-2,Egnatia Rrogozhine,2023-09-03T14:00Z
,2,Sun Sep 3 2023,19:00,CEST/+0200,FK Partizani,1-0,0-0,KF Laçi,2023-09-03T17:00Z
,3,Wed Sep 13 2023,19:00,CEST/+0200,FC Dinamo City,2-1,0-0,FK Kukësi,2023-09-13T17:00Z
,3,Wed Sep 13 2023,16:00,CEST/+0200,Egnatia Rrogozhine,4-3,4-1,Erzeni Shijak,2023-09-13T14:00Z
,3,Thu Sep 14 2023,15:00,CEST/+0200,KF Tiranë,3-1,1-1,KF Skënderbeu,2023-09-14T13:00Z
,3,Thu Sep 14 2023,18:00,CEST/+0200,FK Vllaznia,0-0,0-0,FK Partizani,2023-09-14T16:00Z
,3,Fri Sep 15 2023,16:00,CEST/+0200,KF Laçi,6-1,2-0,KF Teuta Durrës,2023-09-15T14:00Z
,4,Sun Sep 17 2023,16:00,CEST/+0200,Erzeni Shijak,2-1,1-0,FC Dinamo City,2023-09-17T14:00Z
,4,Mon Sep 18 2023,16:00,CEST/+0200,FK Kukësi,1-2,0-0,KF Tiranë,2023-09-18T14:00Z
,4,Mon Sep 18 2023,18:30,CEST/+0200,FK Partizani,1-1,1-1,Egnatia Rrogozhine,2023-09-18T16:30Z
,4,Tue Sep 19 2023,15:00,CEST/+0200,KF Laçi,2-1,1-1,FK Vllaznia,2023-09-19T13:00Z
,4,Tue Sep 19 2023,15:00,CEST/+0200,KF Teuta Durrës,1-0,1-0,KF Skënderbeu,2023-09-19T13:00Z
,5,Fri Sep 22 2023,18:00,CEST/+0200,FC Dinamo City,1-3,0-0,FK Partizani,2023-09-22T16:00Z
,5,Fri Sep 22 2023,15:00,CEST/+0200,KF Tiranë,0-1,0-1,Erzeni Shijak,2023-09-22T13:00Z
,5,Sat Sep 23 2023,20:15,CEST/+0200,FK Vllaznia,2-0,2-0,KF Teuta Durrës,2023-09-23T18:15Z
