Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jul 21 2023,19:00,MSK/+0300,Dinamo Moskva,1-3,0-2,FK Krasnodar,2023-07-21T16:00Z
1,Sat Jul 22 2023,15:15,MSK/+0300,FK Nizhny Novgorod,0-2,0-0,Zenit St. Petersburg,2023-07-22T12:15Z
1,Sat Jul 22 2023,17:30,MSK/+0300,Lokomotiv Moskva,2-2,1-1,Rubin Kazan,2023-07-22T14:30Z
1,Sat Jul 22 2023,20:00,MSK/+0300,Akhmat Grozny,1-2,0-1,Krylia Sovetov,2023-07-22T17:00Z
1,Sat Jul 22 2023,13:00,MSK/+0300,FK Ural,2-1,1-0,CSKA Moskva,2023-07-22T10:00Z
1,Sun Jul 23 2023,17:30,MSK/+0300,Spartak Moskva,3-2,1-0,FK Orenburg,2023-07-23T14:30Z
1,Sun Jul 23 2023,20:00,MSK/+0300,FK Rostov,2-1,1-1,Fakel Voronezh,2023-07-23T17:00Z
1,Sun Jul 23 2023,20:00,MSK/+0300,FK Sochi,2-0,1-0,Baltika Kaliningrad,2023-07-23T17:00Z
2,Sat Jul 29 2023,17:30,MSK/+0300,FK Ural,0-0,0-0,FK Nizhny Novgorod,2023-07-29T14:30Z
2,Sat Jul 29 2023,20:00,MSK/+0300,FK Rostov,1-1,0-1,Zenit St. Petersburg,2023-07-29T17:00Z
2,Sat Jul 29 2023,15:00,MSK/+0300,Krylia Sovetov,3-3,1-3,Dinamo Moskva,2023-07-29T12:00Z
2,Sun Jul 30 2023,15:00,MSK/+0300,Rubin Kazan,1-1,1-0,FK Orenburg,2023-07-30T12:00Z
2,Sun Jul 30 2023,17:30,MSK/+0300,Fakel Voronezh,1-4,1-1,Lokomotiv Moskva,2023-07-30T14:30Z
2,Sun Jul 30 2023,20:00,MSK/+0300,Akhmat Grozny,2-3,2-2,CSKA Moskva,2023-07-30T17:00Z
2,Sun Jul 30 2023,20:00,MSK/+0300,FK Krasnodar,2-0,1-0,FK Sochi,2023-07-30T17:00Z
2,Mon Jul 31 2023,19:30,MSK/+0300,Spartak Moskva,2-1,1-0,Baltika Kaliningrad,2023-07-31T16:30Z
3,Fri Aug 4 2023,20:00,MSK/+0300,FK Krasnodar,1-0,1-0,FK Nizhny Novgorod,2023-08-04T17:00Z
3,Sat Aug 5 2023,17:30,MSK/+0300,FK Orenburg,0-2,0-2,FK Ural,2023-08-05T14:30Z
3,Sat Aug 5 2023,17:30,MSK/+0300,Rubin Kazan,1-4,1-1,Spartak Moskva,2023-08-05T14:30Z
3,Sat Aug 5 2023,20:00,MSK/+0300,CSKA Moskva,4-1,2-0,Lokomotiv Moskva,2023-08-05T17:00Z
3,Sat Aug 5 2023,15:00,MSK/+0300,Krylia Sovetov,5-1,3-1,FK Rostov,2023-08-05T12:00Z
3,Sun Aug 6 2023,17:30,MSK/+0300,Baltika Kaliningrad,2-1,1-1,Fakel Voronezh,2023-08-06T14:30Z
3,Sun Aug 6 2023,19:00,MSK/+0300,Zenit St. Petersburg,2-3,1-2,Dinamo Moskva,2023-08-06T16:00Z
3,Sun Aug 6 2023,20:00,MSK/+0300,FK Sochi,1-2,1-2,Akhmat Grozny,2023-08-06T17:00Z
4,Fri Aug 11 2023,18:00,MSK/+0300,FK Ural,3-2,1-0,Spartak Moskva,2023-08-11T15:00Z
4,Sat Aug 12 2023,17:30,MSK/+0300,FK Orenburg,0-2,0-0,FK Krasnodar,2023-08-12T14:30Z
4,Sat Aug 12 2023,20:00,MSK/+0300,FK Rostov,3-0,0-0,Rubin Kazan,2023-08-12T17:00Z
4,Sat Aug 12 2023,15:00,MSK/+0300,Lokomotiv Moskva,1-1,0-0,Krylia Sovetov,2023-08-12T12:00Z
4,Sun Aug 13 2023,15:00,MSK/+0300,Dinamo Moskva,2-0,0-0,Baltika Kaliningrad,2023-08-13T12:00Z
4,Sun Aug 13 2023,17:30,MSK/+0300,Zenit St. Petersburg,2-0,1-0,Fakel Voronezh,2023-08-13T14:30Z
4,Sun Aug 13 2023,20:00,MSK/+0300,CSKA Moskva,3-1,0-0,FK Sochi,2023-08-13T17:00Z
4,Mon Aug 14 2023,19:30,MSK/+0300,FK Nizhny Novgorod,2-0,2-0,Akhmat Grozny,2023-08-14T16:30Z
5,Fri Aug 18 2023,19:30,MSK/+0300,Rubin Kazan,2-1,2-1,Krylia Sovetov,2023-08-18T16:30Z
5,Sat Aug 19 2023,15:00,MSK/+0300,Dinamo Moskva,2-1,0-1,CSKA Moskva,2023-08-19T12:00Z
5,Sat Aug 19 2023,17:30,MSK/+0300,Baltika Kaliningrad,0-1,0-0,FK Ural,2023-08-19T14:30Z
5,Sat Aug 19 2023,19:30,MSK/+0300,FK Krasnodar,1-1,0-0,Lokomotiv Moskva,2023-08-19T16:30Z
5,Sat Aug 19 2023,20:00,MSK/+0300,FK Sochi,4-0,2-0,FK Rostov,2023-08-19T17:00Z
5,Sun Aug 20 2023,19:30,MSK/+0300,Spartak Moskva,1-3,0-1,Zenit St. Petersburg,2023-08-20T16:30Z
5,Sun Aug 20 2023,20:00,MSK/+0300,Akhmat Grozny,4-0,3-0,FK Orenburg,2023-08-20T17:00Z
5,Sun Aug 20 2023,17:30,MSK/+0300,Fakel Voronezh,2-0,0-0,FK Nizhny Novgorod,2023-08-20T14:30Z
6,Fri Aug 25 2023,20:00,MSK/+0300,Fakel Voronezh,0-0,0-0,FK Krasnodar,2023-08-25T17:00Z
6,Fri Aug 25 2023,17:30,MSK/+0300,FK Orenburg,1-1,0-0,CSKA Moskva,2023-08-25T14:30Z
6,Sat Aug 26 2023,15:00,MSK/+0300,Zenit St. Petersburg,4-0,3-0,FK Ural,2023-08-26T12:00Z
6,Sat Aug 26 2023,17:30,MSK/+0300,Rubin Kazan,2-2,1-0,Dinamo Moskva,2023-08-26T14:30Z
6,Sat Aug 26 2023,19:30,MSK/+0300,Spartak Moskva,0-0,0-0,Akhmat Grozny,2023-08-26T16:30Z
6,Sat Aug 26 2023,20:00,MSK/+0300,FK Nizhny Novgorod,1-0,0-0,FK Rostov,2023-08-26T17:00Z
6,Sun Aug 27 2023,20:00,MSK/+0300,FK Sochi,0-1,0-0,Lokomotiv Moskva,2023-08-27T17:00Z
6,Sun Aug 27 2023,17:30,MSK/+0300,Krylia Sovetov,2-1,0-0,Baltika Kaliningrad,2023-08-27T14:30Z
7,Sat Sep 2 2023,13:00,MSK/+0300,FK Ural,0-1,0-1,Akhmat Grozny,2023-09-02T10:00Z
7,Sat Sep 2 2023,15:15,MSK/+0300,FK Nizhny Novgorod,2-1,2-0,Rubin Kazan,2023-09-02T12:15Z
7,Sat Sep 2 2023,17:30,MSK/+0300,Krylia Sovetov,3-0,1-0,Fakel Voronezh,2023-09-02T14:30Z
7,Sat Sep 2 2023,20:00,MSK/+0300,FK Krasnodar,2-0,1-0,Spartak Moskva,2023-09-02T17:00Z
7,Sun Sep 3 2023,15:15,MSK/+0300,Lokomotiv Moskva,3-2,3-0,Baltika Kaliningrad,2023-09-03T12:15Z
7,Sun Sep 3 2023,17:30,MSK/+0300,CSKA Moskva,1-1,1-0,Zenit St. Petersburg,2023-09-03T14:30Z
7,Sun Sep 3 2023,20:00,MSK/+0300,FK Rostov,1-2,0-2,Dinamo Moskva,2023-09-03T17:00Z
7,Sun Sep 3 2023,13:00,MSK/+0300,FK Orenburg,3-0,0-0,FK Sochi,2023-09-03T10:00Z
8,Fri Sep 15 2023,19:00,MSK/+0300,Dinamo Moskva,1-1,1-0,FK Nizhny Novgorod,2023-09-15T16:00Z
8,Sat Sep 16 2023,14:00,MSK/+0300,CSKA Moskva,2-2,1-2,Krylia Sovetov,2023-09-16T11:00Z
8,Sat Sep 16 2023,16:30,MSK/+0300,Akhmat Grozny,1-1,1-1,FK Krasnodar,2023-09-16T13:30Z
8,Sat Sep 16 2023,19:00,MSK/+0300,FK Sochi,0-1,0-0,Spartak Moskva,2023-09-16T16:00Z
8,Sat Sep 16 2023,21:15,MSK/+0300,Baltika Kaliningrad,2-2,0-2,FK Rostov,2023-09-16T18:15Z
8,Sun Sep 17 2023,16:30,MSK/+0300,Rubin Kazan,0-3,0-1,Zenit St. Petersburg,2023-09-17T13:30Z
8,Sun Sep 17 2023,19:00,MSK/+0300,Lokomotiv Moskva,0-2,0-0,FK Orenburg,2023-09-17T16:00Z
8,Sun Sep 17 2023,14:00,MSK/+0300,FK Ural,0-0,0-0,Fakel Voronezh,2023-09-17T11:00Z
9,Sat Sep 23 2023,16:30,MSK/+0300,Baltika Kaliningrad,1-0,1-0,Akhmat Grozny,2023-09-23T13:30Z
9,Sat Sep 23 2023,19:00,MSK/+0300,Spartak Moskva,1-0,1-0,Dinamo Moskva,2023-09-23T16:00Z
9,Sat Sep 23 2023,14:00,MSK/+0300,Krylia Sovetov,2-1,2-0,FK Sochi,2023-09-23T11:00Z
9,Sun Sep 24 2023,14:00,MSK/+0300,FK Nizhny Novgorod,3-1,1-1,FK Orenburg,2023-09-24T11:00Z
9,Sun Sep 24 2023,16:30,MSK/+0300,Zenit St. Petersburg,1-2,1-0,Lokomotiv Moskva,2023-09-24T13:30Z
9,Sun Sep 24 2023,19:00,MSK/+0300,FK Krasnodar,2-0,0-0,FK Ural,2023-09-24T16:00Z
9,Sun Sep 24 2023,19:00,MSK/+0300,FK Rostov,3-3,2-1,CSKA Moskva,2023-09-24T16:00Z
9,Mon Sep 25 2023,19:00,MSK/+0300,Fakel Voronezh,0-1,0-0,Rubin Kazan,2023-09-25T16:00Z
10,Fri Sep 29 2023,19:00,MSK/+0300,FK Rostov,2-2,1-2,FK Ural,2023-09-29T16:00Z
10,Sat Sep 30 2023,12:00,MSK/+0300,FK Orenburg,3-1,3-1,Zenit St. Petersburg,2023-09-30T09:00Z
10,Sat Sep 30 2023,14:15,MSK/+0300,Lokomotiv Moskva,1-0,0-0,FK Nizhny Novgorod,2023-09-30T11:15Z
10,Sat Sep 30 2023,16:30,MSK/+0300,Rubin Kazan,0-2,0-1,FK Krasnodar,2023-09-30T13:30Z
10,Sat Sep 30 2023,19:00,MSK/+0300,CSKA Moskva,1-0,1-0,Baltika Kaliningrad,2023-09-30T16:00Z
10,Sun Oct 1 2023,16:30,MSK/+0300,Krylia Sovetov,4-0,2-0,Spartak Moskva,2023-10-01T13:30Z
10,Sun Oct 1 2023,19:00,MSK/+0300,Akhmat Grozny,1-1,1-0,Dinamo Moskva,2023-10-01T16:00Z
10,Sun Oct 1 2023,14:00,MSK/+0300,Fakel Voronezh,2-0,1-0,FK Sochi,2023-10-01T11:00Z
11,Sat Oct 7 2023,12:00,MSK/+0300,FK Ural,2-2,1-1,Lokomotiv Moskva,2023-10-07T09:00Z
11,Sat Oct 7 2023,14:00,MSK/+0300,FK Sochi,0-2,0-2,Zenit St. Petersburg,2023-10-07T11:00Z
11,Sat Oct 7 2023,16:30,MSK/+0300,Baltika Kaliningrad,1-0,1-0,FK Orenburg,2023-10-07T13:30Z
11,Sat Oct 7 2023,19:00,MSK/+0300,FK Krasnodar,3-2,0-2,FK Rostov,2023-10-07T16:00Z
