Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Aug 11 2023,18:00,CEST/+0200,1. FC Saarbrücken,2-1,0-0,Karlsruher SC,,,2023-08-11T16:00Z
Round 1,Fri Aug 11 2023,18:00,CEST/+0200,TuS Bersenbrück,0-7,0-4,Bor. Mönchengladbach,,,2023-08-11T16:00Z
Round 1,Fri Aug 11 2023,20:45,CEST/+0200,Eintracht Braunschweig,1-3,1-2,FC Schalke 04,,,2023-08-11T18:45Z
Round 1,Fri Aug 11 2023,18:00,CEST/+0200,SV Sandhausen,3-3,1-2,Hannover 96,3-3,4-2,2023-08-11T16:00Z
Round 1,Sat Aug 12 2023,13:00,CEST/+0200,TSG Balingen,0-4,0-3,VfB Stuttgart,,,2023-08-12T11:00Z
Round 1,Sat Aug 12 2023,13:00,CEST/+0200,FC Carl Zeiss Jena,0-5,0-1,Hertha BSC,,,2023-08-12T11:00Z
Round 1,Sat Aug 12 2023,15:30,CEST/+0200,Atlas Delmenhorst,0-5,0-1,FC St. Pauli,,,2023-08-12T13:30Z
Round 1,Sat Aug 12 2023,15:30,CEST/+0200,TSV Schott Mainz,1-6,1-3,Borussia Dortmund,,,2023-08-12T13:30Z
Round 1,Sat Aug 12 2023,15:30,CEST/+0200,Viktoria Köln,3-2,0-1,Werder Bremen,,,2023-08-12T13:30Z
Round 1,Sat Aug 12 2023,15:30,CEST/+0200,FC Teutonia 05,0-8,0-3,Bayer Leverkusen,,,2023-08-12T13:30Z
Round 1,Sat Aug 12 2023,15:30,CEST/+0200,FC Gütersloh,0-2,0-0,Holstein Kiel,,,2023-08-12T13:30Z
Round 1,Sat Aug 12 2023,15:45,CEST/+0200,FC Oberneuland,1-9,0-6,1. FC Nürnberg,,,2023-08-12T13:45Z
Round 1,Sat Aug 12 2023,18:00,CEST/+0200,Hallescher FC,0-1,0-1,SpVgg Greuther Fürth,,,2023-08-12T16:00Z
Round 1,Sat Aug 12 2023,18:00,CEST/+0200,SV 07 Elversberg,0-1,0-0,1. FSV Mainz 05,,,2023-08-12T16:00Z
Round 1,Sat Aug 12 2023,18:00,CEST/+0200,Arminia Bielefeld,2-2,2-1,VfL Bochum,2-2,4-1,2023-08-12T16:00Z
Round 1,Sun Aug 13 2023,13:00,CEST/+0200,Rostocker FC,0-8,0-5,1. FC Heidenheim 1846,,,2023-08-13T11:00Z
Round 1,Sun Aug 13 2023,13:00,CEST/+0200,Rot-Weiss Essen,3-3,1-1,Hamburger SV,3-4,,2023-08-13T11:00Z
Round 1,Sun Aug 13 2023,15:30,CEST/+0200,FV Illertissen,1-3,1-2,Fortuna Düsseldorf,,,2023-08-13T13:30Z
Round 1,Sun Aug 13 2023,15:30,CEST/+0200,TuS Makkabi Berlin,0-6,0-2,VfL Wolfsburg,,,2023-08-13T13:30Z
Round 1,Sun Aug 13 2023,15:30,CEST/+0200,Rot-Weiß Koblenz,0-5,0-3,1. FC Kaiserslautern,,,2023-08-13T13:30Z
Round 1,Sun Aug 13 2023,15:30,CEST/+0200,SpVgg Unterhaching,2-0,1-0,FC Augsburg,,,2023-08-13T13:30Z
Round 1,Sun Aug 13 2023,15:30,CEST/+0200,1. FC Lok Leipzig,0-7,0-1,Eintracht Frankfurt,,,2023-08-13T13:30Z
Round 1,Sun Aug 13 2023,15:30,CEST/+0200,SV Oberachern,0-2,0-0,SC Freiburg,,,2023-08-13T13:30Z
Round 1,Sun Aug 13 2023,18:00,CEST/+0200,Energie Cottbus,0-7,0-3,SC Paderborn 07,,,2023-08-13T16:00Z
Round 1,Sun Aug 13 2023,18:00,CEST/+0200,FC-Astoria Walldorf,0-4,0-3,1. FC Union Berlin,,,2023-08-13T16:00Z
Round 1,Sun Aug 13 2023,18:00,CEST/+0200,FSV Frankfurt,1-1,1-0,Hansa Rostock,1-1,0-3,2023-08-13T16:00Z
Round 1,Mon Aug 14 2023,18:00,CEST/+0200,Jahn Regensburg,1-2,0-1,1. FC Magdeburg,,,2023-08-14T16:00Z
Round 1,Mon Aug 14 2023,18:00,CEST/+0200,VfB Lübeck,1-4,1-1,1899 Hoffenheim,,,2023-08-14T16:00Z
Round 1,Mon Aug 14 2023,20:45,CEST/+0200,VfL Osnabrück,1-1,0-1,1. FC Köln,1-3,,2023-08-14T18:45Z
Round 1,Mon Aug 14 2023,18:00,CEST/+0200,FC 08 Homburg,3-0,1-0,SV Darmstadt 98,,,2023-08-14T16:00Z
Round 1,Tue Sep 26 2023,20:45,CEST/+0200,Preußen Münster,0-4,0-3,Bayern München,,,2023-09-26T18:45Z
Round 1,Wed Sep 27 2023,20:45,CEST/+0200,SV Wehen Wiesbaden,2-3,1-2,RB Leipzig,,,2023-09-27T18:45Z
Round 2,Tue Oct 31 2023,18:00,CET/+0100,FC St. Pauli,1-1,0-1,FC Schalke 04,2-1,,2023-10-31T17:00Z
Round 2,Tue Oct 31 2023,18:00,CET/+0100,VfB Stuttgart,1-0,1-0,1. FC Union Berlin,,,2023-10-31T17:00Z
Round 2,Tue Oct 31 2023,18:00,CET/+0100,VfL Wolfsburg,1-0,1-0,RB Leipzig,,,2023-10-31T17:00Z
Round 2,Tue Oct 31 2023,20:45,CET/+0100,Arminia Bielefeld,1-1,1-0,Hamburger SV,1-1,3-4,2023-10-31T19:45Z
