Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 5 2023,18:00,CEST/+0200,FC Schifflange 95,3-3,1-2,Union Titus Pétange,2023-08-05T16:00Z
1,Sun Aug 6 2023,16:00,CEST/+0200,UN Käerjéng,1-2,0-1,FC Mondercange,2023-08-06T14:00Z
1,Sun Aug 6 2023,16:00,CEST/+0200,Marisca Mersch,1-2,0-0,Victoria Rosport,2023-08-06T14:00Z
1,Sun Aug 6 2023,16:00,CEST/+0200,US Mondorf,1-3,1-0,RFCU Luxemburg,2023-08-06T14:00Z
1,Sun Aug 6 2023,16:00,CEST/+0200,UNA Strassen,1-5,1-2,Swift Hesperange,2023-08-06T14:00Z
1,Sun Aug 6 2023,18:30,CEST/+0200,Jeunesse Esch,1-3,1-1,Progrès Niedercorn,2023-08-06T16:30Z
1,Sun Aug 6 2023,19:00,CEST/+0200,FC Differdange 03,5-1,3-1,CS FOLA Esch,2023-08-06T17:00Z
1,Sun Aug 6 2023,16:00,CEST/+0200,F91 Dudelange,3-1,2-1,FC Wiltz 71,2023-08-06T14:00Z
2,Sun Aug 13 2023,16:00,CEST/+0200,CS FOLA Esch,3-2,1-0,F91 Dudelange,2023-08-13T14:00Z
2,Sun Aug 13 2023,16:00,CEST/+0200,FC Mondercange,3-2,1-1,US Mondorf,2023-08-13T14:00Z
2,Sun Aug 13 2023,16:00,CEST/+0200,RFCU Luxemburg,1-3,0-2,FC Differdange 03,2023-08-13T14:00Z
2,Sun Aug 13 2023,16:00,CEST/+0200,UNA Strassen,2-1,2-1,UN Käerjéng,2023-08-13T14:00Z
2,Sun Aug 13 2023,16:00,CEST/+0200,Union Titus Pétange,2-0,1-0,Swift Hesperange,2023-08-13T14:00Z
2,Sun Aug 13 2023,16:00,CEST/+0200,Victoria Rosport,1-2,0-1,FC Schifflange 95,2023-08-13T14:00Z
2,Sun Aug 13 2023,16:00,CEST/+0200,FC Wiltz 71,0-1,0-0,Jeunesse Esch,2023-08-13T14:00Z
2,Sun Aug 13 2023,18:30,CEST/+0200,Progrès Niedercorn,4-3,2-1,Marisca Mersch,2023-08-13T16:30Z
3,Sun Aug 20 2023,16:00,CEST/+0200,FC Differdange 03,2-0,1-0,FC Mondercange,2023-08-20T14:00Z
3,Sun Aug 20 2023,16:00,CEST/+0200,Swift Hesperange,3-2,2-1,Victoria Rosport,2023-08-20T14:00Z
3,Sun Aug 20 2023,16:00,CEST/+0200,Jeunesse Esch,4-1,3-1,CS FOLA Esch,2023-08-20T14:00Z
3,Sun Aug 20 2023,16:00,CEST/+0200,Marisca Mersch,1-1,1-0,FC Wiltz 71,2023-08-20T14:00Z
3,Sun Aug 20 2023,16:00,CEST/+0200,US Mondorf,5-3,3-2,UN Käerjéng,2023-08-20T14:00Z
