Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Apertura,1,Fri Jun 30 2023,19:00,CST/-0600,Mazatlán FC,1-1,0-1,CF Pachuca,,,2023-07-01T01:00Z
Apertura,1,Fri Jun 30 2023,21:10,CST/-0600,Club Tijuana,2-3,1-1,Pumas UNAM,,,2023-07-01T03:10Z
Apertura,1,Fri Jun 30 2023,19:00,CST/-0600,CF América,1-2,1-0,FC Juárez,,,2023-07-01T01:00Z
Apertura,1,Sat Jul 1 2023,17:00,CST/-0600,Atlético San Luis,1-1,0-1,CF Monterrey,,,2023-07-01T23:00Z
Apertura,1,Sat Jul 1 2023,19:00,CST/-0600,UANL Tigres,1-1,0-0,Puebla FC,,,2023-07-02T01:00Z
Apertura,1,Sat Jul 1 2023,21:10,CST/-0600,Atlas Guadalajara,2-0,1-0,Cruz Azul,,,2023-07-02T03:10Z
Apertura,1,Sun Jul 2 2023,19:05,CST/-0600,Santos Laguna,0-2,0-0,Gallos Blancos,,,2023-07-03T01:05Z
Apertura,1,Sun Jul 2 2023,12:00,CST/-0600,Deportivo Toluca,0-0,0-0,Club Necaxa,,,2023-07-02T18:00Z
Apertura,1,Mon Jul 3 2023,20:00,CST/-0600,Club León,1-2,1-1,Deportivo Guadalajara,,,2023-07-04T02:00Z
Apertura,2,Fri Jul 7 2023,21:00,CST/-0600,Club Necaxa,1-1,0-0,Club Tijuana,,,2023-07-08T03:00Z
Apertura,2,Fri Jul 7 2023,19:00,CST/-0600,Puebla FC,2-3,2-2,Santos Laguna,,,2023-07-08T01:00Z
Apertura,2,Sat Jul 8 2023,17:50,CST/-0600,Cruz Azul,0-2,0-1,Deportivo Toluca,,,2023-07-08T23:50Z
Apertura,2,Sat Jul 8 2023,18:05,CST/-0600,Deportivo Guadalajara,3-1,2-1,Atlético San Luis,,,2023-07-09T00:05Z
Apertura,2,Sat Jul 8 2023,18:06,CST/-0600,FC Juárez,1-1,0-1,UANL Tigres,,,2023-07-09T00:06Z
Apertura,2,Sun Jul 9 2023,19:00,CST/-0600,CF Monterrey,1-0,1-0,Atlas Guadalajara,,,2023-07-10T01:00Z
Apertura,2,Sun Jul 9 2023,12:00,CST/-0600,Pumas UNAM,0-0,0-0,Mazatlán FC,,,2023-07-09T18:00Z
Apertura,2,Mon Jul 10 2023,20:00,CST/-0600,Club León,4-0,3-0,CF Pachuca,,,2023-07-11T02:00Z
Apertura,3,Thu Jul 13 2023,21:00,CST/-0600,Deportivo Guadalajara,2-0,1-0,Club Necaxa,,,2023-07-14T03:00Z
Apertura,3,Thu Jul 13 2023,19:05,CST/-0600,Santos Laguna,0-0,0-0,Atlas Guadalajara,,,2023-07-14T01:05Z
Apertura,3,Fri Jul 14 2023,19:00,CST/-0600,Mazatlán FC,0-3,0-0,CF Monterrey,,,2023-07-15T01:00Z
Apertura,3,Fri Jul 14 2023,21:10,CST/-0600,Club Tijuana,2-1,0-1,Cruz Azul,,,2023-07-15T03:10Z
Apertura,3,Sat Jul 15 2023,17:00,CST/-0600,Atlético San Luis,4-1,2-1,Gallos Blancos,,,2023-07-15T23:00Z
Apertura,3,Sat Jul 15 2023,19:00,CST/-0600,CF América,3-0,2-0,Puebla FC,,,2023-07-16T01:00Z
Apertura,3,Sat Jul 15 2023,21:05,CST/-0600,UANL Tigres,1-0,1-0,Club León,,,2023-07-16T03:05Z
Apertura,3,Sun Jul 16 2023,20:15,CST/-0600,CF Pachuca,1-1,1-1,Pumas UNAM,,,2023-07-17T02:15Z
Apertura,3,Sun Jul 16 2023,12:00,CST/-0600,Deportivo Toluca,2-4,1-1,FC Juárez,,,2023-07-16T18:00Z
Apertura,4,Fri Aug 18 2023,19:06,CST/-0600,Club León,2-1,0-1,Mazatlán FC,,,2023-08-19T01:06Z
Apertura,4,Fri Aug 18 2023,21:00,CST/-0600,Pumas UNAM,1-1,1-1,Deportivo Toluca,,,2023-08-19T03:00Z
Apertura,4,Fri Aug 18 2023,21:06,CST/-0600,Puebla FC,1-2,0-1,Atlético San Luis,,,2023-08-19T03:06Z
Apertura,4,Fri Aug 18 2023,21:10,CST/-0600,FC Juárez,1-1,0-1,Deportivo Guadalajara,,,2023-08-19T03:10Z
Apertura,4,Sun Aug 20 2023,19:06,CST/-0600,Gallos Blancos,1-1,1-0,CF Pachuca,,,2023-08-21T01:06Z
Apertura,4,Sun Aug 20 2023,17:00,CST/-0600,Cruz Azul,2-2,2-1,Santos Laguna,,,2023-08-20T23:00Z
Apertura,4,Sun Aug 20 2023,21:10,CST/-0600,CF América,1-1,1-1,Atlas Guadalajara,,,2023-08-21T03:10Z
Apertura,4,Sun Aug 20 2023,21:10,CST/-0600,Club Necaxa,0-3,0-1,UANL Tigres,,,2023-08-21T03:10Z
Apertura,5,Tue Aug 22 2023,19:00,CST/-0600,Mazatlán FC,1-0,0-0,Puebla FC,,,2023-08-23T01:00Z
Apertura,5,Tue Aug 22 2023,19:00,CST/-0600,Deportivo Guadalajara,1-0,0-0,Club Tijuana,,,2023-08-23T01:00Z
Apertura,5,Tue Aug 22 2023,21:05,CST/-0600,FC Juárez,4-1,3-0,Pumas UNAM,,,2023-08-23T03:05Z
Apertura,5,Wed Aug 23 2023,19:00,CST/-0600,CF América,3-2,2-1,Club Necaxa,,,2023-08-24T01:00Z
Apertura,5,Wed Aug 23 2023,21:00,CST/-0600,Atlético San Luis,3-0,1-0,Club León,,,2023-08-24T03:00Z
Apertura,5,Wed Aug 23 2023,19:06,CST/-0600,CF Pachuca,1-0,0-0,Cruz Azul,,,2023-08-24T01:06Z
Apertura,6,Fri Aug 25 2023,21:10,CST/-0600,Club Tijuana,1-1,1-1,Mazatlán FC,,,2023-08-26T03:10Z
Apertura,6,Fri Aug 25 2023,19:00,CST/-0600,Puebla FC,1-0,1-0,FC Juárez,,,2023-08-26T01:00Z
Apertura,6,Sat Aug 26 2023,21:05,CST/-0600,Santos Laguna,2-1,0-0,Deportivo Guadalajara,,,2023-08-27T03:05Z
Apertura,6,Sat Aug 26 2023,19:00,CST/-0600,CF América,1-1,0-0,Club León,,,2023-08-27T01:00Z
