Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
Phase I,1,Sat Aug 5 2023,20:00,EEST/+0300,FC Bălţi,3-0,1-0,Dacia Buiucani,2023-08-05T17:00Z
Phase I,1,Sat Aug 5 2023,18:00,EEST/+0300,FC Floreşti,4-0,1-0,Sparta Selemet,2023-08-05T15:00Z
Phase I,1,Sun Aug 6 2023,20:00,EEST/+0300,CS Petrocub,0-1,0-0,FC Sheriff,2023-08-06T17:00Z
Phase I,1,Sun Aug 6 2023,19:00,EEST/+0300,FC Zimbru,0-1,0-0,FC Milsami,2023-08-06T16:00Z
Phase I,2,Sat Aug 12 2023,18:00,EEST/+0300,FC Floreşti,1-2,1-0,FC Zimbru,2023-08-12T15:00Z
Phase I,2,Sat Aug 12 2023,20:00,EEST/+0300,FC Milsami,2-1,2-0,FC Bălţi,2023-08-12T17:00Z
Phase I,2,Sun Aug 13 2023,18:00,EEST/+0300,Sparta Selemet,0-2,0-1,FC Sheriff,2023-08-13T15:00Z
Phase I,2,Sun Aug 13 2023,18:00,EEST/+0300,Dacia Buiucani,0-1,0-1,CS Petrocub,2023-08-13T15:00Z
Phase I,3,Sat Aug 19 2023,20:00,EEST/+0300,CS Petrocub,2-0,0-0,FC Milsami,2023-08-19T17:00Z
Phase I,3,Sat Aug 19 2023,18:00,EEST/+0300,FC Zimbru,2-0,0-0,Sparta Selemet,2023-08-19T15:00Z
Phase I,3,Sun Aug 20 2023,18:00,EEST/+0300,FC Bălţi,2-1,1-0,FC Floreşti,2023-08-20T15:00Z
Phase I,3,Sun Aug 20 2023,20:00,EEST/+0300,FC Sheriff,5-0,4-0,Dacia Buiucani,2023-08-20T17:00Z
Phase I,4,Sat Aug 26 2023,20:00,EEST/+0300,FC Zimbru,1-0,0-0,FC Bălţi,2023-08-26T17:00Z
Phase I,4,Sat Aug 26 2023,18:00,EEST/+0300,Sparta Selemet,1-4,1-2,Dacia Buiucani,2023-08-26T15:00Z
Phase I,4,Sun Aug 27 2023,20:00,EEST/+0300,FC Milsami,2-0,1-0,FC Sheriff,2023-08-27T17:00Z
Phase I,4,Sun Aug 27 2023,18:00,EEST/+0300,FC Floreşti,0-1,0-0,CS Petrocub,2023-08-27T15:00Z
Phase I,5,Sat Sep 16 2023,17:00,EEST/+0300,FC Sheriff,5-1,4-0,FC Floreşti,2023-09-16T14:00Z
Phase I,5,Sat Sep 16 2023,19:00,EEST/+0300,CS Petrocub,0-2,0-0,FC Zimbru,2023-09-16T16:00Z
Phase I,5,Sat Sep 16 2023,17:00,EEST/+0300,Dacia Buiucani,1-2,0-1,FC Milsami,2023-09-16T14:00Z
