Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jul 28 2023,20:30,CEST/+0200,Hamburger SV,5-3,1-2,FC Schalke 04,2023-07-28T18:30Z
1,Sat Jul 29 2023,13:00,CEST/+0200,1. FC Kaiserslautern,1-2,0-0,FC St. Pauli,2023-07-29T11:00Z
1,Sat Jul 29 2023,13:00,CEST/+0200,Hannover 96,2-2,1-2,SV 07 Elversberg,2023-07-29T11:00Z
1,Sat Jul 29 2023,13:00,CEST/+0200,VfL Osnabrück,2-3,1-2,Karlsruher SC,2023-07-29T11:00Z
1,Sat Jul 29 2023,13:00,CEST/+0200,SV Wehen Wiesbaden,1-1,0-1,1. FC Magdeburg,2023-07-29T11:00Z
1,Sat Jul 29 2023,20:30,CEST/+0200,Fortuna Düsseldorf,1-0,0-0,Hertha BSC,2023-07-29T18:30Z
1,Sun Jul 30 2023,13:30,CEST/+0200,Hansa Rostock,2-0,1-0,1. FC Nürnberg,2023-07-30T11:30Z
1,Sun Jul 30 2023,13:30,CEST/+0200,Eintracht Braunschweig,0-1,0-0,Holstein Kiel,2023-07-30T11:30Z
1,Sun Jul 30 2023,13:30,CEST/+0200,SpVgg Greuther Fürth,5-0,3-0,SC Paderborn 07,2023-07-30T11:30Z
2,Fri Aug 4 2023,18:30,CEST/+0200,Hertha BSC,0-1,0-0,SV Wehen Wiesbaden,2023-08-04T16:30Z
2,Fri Aug 4 2023,18:30,CEST/+0200,SC Paderborn 07,1-1,0-0,VfL Osnabrück,2023-08-04T16:30Z
2,Sat Aug 5 2023,13:00,CEST/+0200,Holstein Kiel,2-1,0-0,SpVgg Greuther Fürth,2023-08-05T11:00Z
2,Sat Aug 5 2023,13:00,CEST/+0200,SV 07 Elversberg,1-2,0-0,Hansa Rostock,2023-08-05T11:00Z
2,Sat Aug 5 2023,20:30,CEST/+0200,FC Schalke 04,3-0,1-0,1. FC Kaiserslautern,2023-08-05T18:30Z
2,Sat Aug 5 2023,13:00,CEST/+0200,FC St. Pauli,0-0,0-0,Fortuna Düsseldorf,2023-08-05T11:00Z
2,Sun Aug 6 2023,13:30,CEST/+0200,1. FC Magdeburg,2-1,2-0,Eintracht Braunschweig,2023-08-06T11:30Z
2,Sun Aug 6 2023,13:30,CEST/+0200,1. FC Nürnberg,2-2,0-2,Hannover 96,2023-08-06T11:30Z
2,Sun Aug 6 2023,13:30,CEST/+0200,Karlsruher SC,2-2,1-0,Hamburger SV,2023-08-06T11:30Z
3,Fri Aug 18 2023,18:30,CEST/+0200,1. FC Kaiserslautern,3-2,1-0,SV 07 Elversberg,2023-08-18T16:30Z
3,Fri Aug 18 2023,18:30,CEST/+0200,SV Wehen Wiesbaden,1-0,1-0,Karlsruher SC,2023-08-18T16:30Z
3,Sat Aug 19 2023,13:00,CEST/+0200,SpVgg Greuther Fürth,0-0,0-0,FC St. Pauli,2023-08-19T11:00Z
3,Sat Aug 19 2023,13:00,CEST/+0200,Hansa Rostock,1-2,0-1,Hannover 96,2023-08-19T11:00Z
3,Sat Aug 19 2023,20:30,CEST/+0200,Hamburger SV,3-0,2-0,Hertha BSC,2023-08-19T18:30Z
3,Sat Aug 19 2023,13:00,CEST/+0200,Fortuna Düsseldorf,1-2,0-1,SC Paderborn 07,2023-08-19T11:00Z
3,Sun Aug 20 2023,13:30,CEST/+0200,Eintracht Braunschweig,1-0,1-0,FC Schalke 04,2023-08-20T11:30Z
3,Sun Aug 20 2023,13:30,CEST/+0200,VfL Osnabrück,2-3,0-1,1. FC Nürnberg,2023-08-20T11:30Z
3,Sun Aug 20 2023,13:30,CEST/+0200,Holstein Kiel,2-4,1-2,1. FC Magdeburg,2023-08-20T11:30Z
4,Fri Aug 25 2023,18:30,CEST/+0200,FC Schalke 04,0-2,0-1,Holstein Kiel,2023-08-25T16:30Z
4,Fri Aug 25 2023,18:30,CEST/+0200,SC Paderborn 07,1-2,0-0,1. FC Kaiserslautern,2023-08-25T16:30Z
4,Sat Aug 26 2023,13:00,CEST/+0200,Hansa Rostock,2-1,1-1,VfL Osnabrück,2023-08-26T11:00Z
4,Sat Aug 26 2023,13:00,CEST/+0200,SV 07 Elversberg,0-5,0-3,Fortuna Düsseldorf,2023-08-26T11:00Z
4,Sat Aug 26 2023,20:30,CEST/+0200,Hannover 96,0-1,0-0,Hamburger SV,2023-08-26T18:30Z
4,Sat Aug 26 2023,13:00,CEST/+0200,Hertha BSC,5-0,2-0,SpVgg Greuther Fürth,2023-08-26T11:00Z
4,Sun Aug 27 2023,13:30,CEST/+0200,Karlsruher SC,2-0,1-0,Eintracht Braunschweig,2023-08-27T11:30Z
4,Sun Aug 27 2023,13:30,CEST/+0200,1. FC Nürnberg,2-1,0-0,SV Wehen Wiesbaden,2023-08-27T11:30Z
4,Sun Aug 27 2023,13:30,CEST/+0200,FC St. Pauli,0-0,0-0,1. FC Magdeburg,2023-08-27T11:30Z
5,Fri Sep 1 2023,18:30,CEST/+0200,Fortuna Düsseldorf,3-1,1-1,Karlsruher SC,2023-09-01T16:30Z
5,Fri Sep 1 2023,18:30,CEST/+0200,Eintracht Braunschweig,1-1,0-0,FC St. Pauli,2023-09-01T16:30Z
5,Sat Sep 2 2023,13:00,CEST/+0200,1. FC Magdeburg,6-4,2-3,Hertha BSC,2023-09-02T11:00Z
5,Sat Sep 2 2023,13:00,CEST/+0200,SV Wehen Wiesbaden,1-1,0-0,FC Schalke 04,2023-09-02T11:00Z
5,Sat Sep 2 2023,20:30,CEST/+0200,1. FC Kaiserslautern,3-1,3-1,1. FC Nürnberg,2023-09-02T18:30Z
5,Sat Sep 2 2023,13:00,CEST/+0200,Holstein Kiel,2-1,1-1,SC Paderborn 07,2023-09-02T11:00Z
5,Sun Sep 3 2023,13:30,CEST/+0200,Hamburger SV,2-0,1-0,Hansa Rostock,2023-09-03T11:30Z
5,Sun Sep 3 2023,13:30,CEST/+0200,SpVgg Greuther Fürth,1-3,0-2,Hannover 96,2023-09-03T11:30Z
5,Sun Sep 3 2023,13:30,CEST/+0200,VfL Osnabrück,0-1,0-0,SV 07 Elversberg,2023-09-03T11:30Z
6,Fri Sep 15 2023,18:30,CEST/+0200,1. FC Nürnberg,1-1,1-1,SpVgg Greuther Fürth,2023-09-15T16:30Z
6,Fri Sep 15 2023,18:30,CEST/+0200,SC Paderborn 07,2-1,0-1,SV Wehen Wiesbaden,2023-09-15T16:30Z
6,Sat Sep 16 2023,13:00,CEST/+0200,Karlsruher SC,1-1,1-1,1. FC Kaiserslautern,2023-09-16T11:00Z
6,Sat Sep 16 2023,13:00,CEST/+0200,Hansa Rostock,1-3,1-2,Fortuna Düsseldorf,2023-09-16T11:00Z
6,Sat Sep 16 2023,13:00,CEST/+0200,SV 07 Elversberg,2-1,1-0,Hamburger SV,2023-09-16T11:00Z
6,Sat Sep 16 2023,20:30,CEST/+0200,FC Schalke 04,4-3,1-2,1. FC Magdeburg,2023-09-16T18:30Z
6,Sun Sep 17 2023,13:30,CEST/+0200,FC St. Pauli,5-1,3-0,Holstein Kiel,2023-09-17T11:30Z
6,Sun Sep 17 2023,13:30,CEST/+0200,Hannover 96,7-0,2-0,VfL Osnabrück,2023-09-17T11:30Z
6,Sun Sep 17 2023,13:30,CEST/+0200,Hertha BSC,3-0,2-0,Eintracht Braunschweig,2023-09-17T11:30Z
7,Fri Sep 22 2023,18:30,CEST/+0200,VfL Osnabrück,2-1,2-1,Hamburger SV,2023-09-22T16:30Z
7,Fri Sep 22 2023,18:30,CEST/+0200,1. FC Magdeburg,1-1,0-1,SC Paderborn 07,2023-09-22T16:30Z
7,Sat Sep 23 2023,13:00,CEST/+0200,SpVgg Greuther Fürth,4-3,3-3,Karlsruher SC,2023-09-23T11:00Z
7,Sat Sep 23 2023,13:00,CEST/+0200,Eintracht Braunschweig,2-2,1-2,1. FC Nürnberg,2023-09-23T11:00Z
7,Sat Sep 23 2023,13:00,CEST/+0200,SV Wehen Wiesbaden,0-2,0-1,SV 07 Elversberg,2023-09-23T11:00Z
7,Sat Sep 23 2023,20:30,CEST/+0200,FC St. Pauli,3-1,1-1,FC Schalke 04,2023-09-23T18:30Z
7,Sun Sep 24 2023,13:30,CEST/+0200,Holstein Kiel,2-3,0-2,Hertha BSC,2023-09-24T11:30Z
7,Sun Sep 24 2023,13:30,CEST/+0200,1. FC Kaiserslautern,3-1,2-1,Hansa Rostock,2023-09-24T11:30Z
7,Sun Sep 24 2023,13:30,CEST/+0200,Fortuna Düsseldorf,1-1,0-1,Hannover 96,2023-09-24T11:30Z
8,Fri Sep 29 2023,18:30,CEST/+0200,SC Paderborn 07,3-1,1-0,FC Schalke 04,2023-09-29T16:30Z
8,Fri Sep 29 2023,18:30,CEST/+0200,Hamburger SV,1-0,0-0,Fortuna Düsseldorf,2023-09-29T16:30Z
8,Sat Sep 30 2023,13:00,CEST/+0200,Karlsruher SC,0-2,0-2,Holstein Kiel,2023-09-30T11:00Z
8,Sat Sep 30 2023,13:00,CEST/+0200,Hannover 96,2-0,1-0,SV Wehen Wiesbaden,2023-09-30T11:00Z
8,Sat Sep 30 2023,13:00,CEST/+0200,Hansa Rostock,1-0,0-0,Eintracht Braunschweig,2023-09-30T11:00Z
8,Sat Sep 30 2023,20:30,CEST/+0200,Hertha BSC,1-2,0-1,FC St. Pauli,2023-09-30T18:30Z
8,Sun Oct 1 2023,13:30,CEST/+0200,SV 07 Elversberg,1-1,1-1,SpVgg Greuther Fürth,2023-10-01T11:30Z
8,Sun Oct 1 2023,13:30,CEST/+0200,VfL Osnabrück,2-2,2-1,1. FC Kaiserslautern,2023-10-01T11:30Z
8,Sun Oct 1 2023,13:30,CEST/+0200,1. FC Nürnberg,1-0,0-0,1. FC Magdeburg,2023-10-01T11:30Z
9,Fri Oct 6 2023,18:30,CEST/+0200,1. FC Kaiserslautern,3-1,1-1,Hannover 96,2023-10-06T16:30Z
9,Fri Oct 6 2023,18:30,CEST/+0200,Fortuna Düsseldorf,1-1,0-0,VfL Osnabrück,2023-10-06T16:30Z
9,Sat Oct 7 2023,13:00,CEST/+0200,1. FC Magdeburg,1-1,0-1,Karlsruher SC,2023-10-07T11:00Z
9,Sat Oct 7 2023,13:00,CEST/+0200,SpVgg Greuther Fürth,1-0,1-0,Hansa Rostock,2023-10-07T11:00Z
9,Sat Oct 7 2023,13:00,CEST/+0200,SV Wehen Wiesbaden,1-1,0-0,Hamburger SV,2023-10-07T11:00Z
9,Sat Oct 7 2023,20:30,CEST/+0200,FC St. Pauli,5-1,1-1,1. FC Nürnberg,2023-10-07T18:30Z
9,Sun Oct 8 2023,13:30,CEST/+0200,Holstein Kiel,1-1,1-0,SV 07 Elversberg,2023-10-08T11:30Z
