Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,1,Fri Jul 28 2023,20:45,CEST/+0200,Union Saint-Gilloise,2-0,1-0,RSC Anderlecht,,2023-07-28T18:45Z
,1,Sat Jul 29 2023,18:15,CEST/+0200,Sporting Charleroi,1-1,1-0,Oud-Heverlee Leuven,,2023-07-29T16:15Z
,1,Sat Jul 29 2023,20:45,CEST/+0200,RWDM Brussels FC,0-4,0-3,KRC Genk,,2023-07-29T18:45Z
,1,Sat Jul 29 2023,16:00,CEST/+0200,KAS Eupen,2-2,1-0,KVC Westerlo,,2023-07-29T14:00Z
,1,Sun Jul 30 2023,16:00,CEST/+0200,KAA Gent,3-2,2-1,KV Kortrijk,,2023-07-30T14:00Z
,1,Sun Jul 30 2023,18:30,CEST/+0200,Club Brugge KV,1-1,0-1,KV Mechelen,,2023-07-30T16:30Z
,1,Sun Jul 30 2023,19:15,CEST/+0200,Sint-Truidense VV,1-0,0-0,Standard Liège,,2023-07-30T17:15Z
,1,Sun Jul 30 2023,13:30,CEST/+0200,Royal Antwerp FC,1-0,1-0,Cercle Brugge,,2023-07-30T11:30Z
,2,Fri Aug 4 2023,20:45,CEST/+0200,Standard Liège,0-1,0-1,Union Saint-Gilloise,,2023-08-04T18:45Z
,2,Sat Aug 5 2023,18:15,CEST/+0200,Cercle Brugge,2-0,2-0,Sporting Charleroi,,2023-08-05T16:15Z
,2,Sat Aug 5 2023,20:45,CEST/+0200,Oud-Heverlee Leuven,1-2,1-1,RWDM Brussels FC,,2023-08-05T18:45Z
,2,Sat Aug 5 2023,16:00,CEST/+0200,KRC Genk,0-1,0-1,KAS Eupen,,2023-08-05T14:00Z
,2,Sun Aug 6 2023,16:00,CEST/+0200,KV Mechelen,0-1,0-0,KAA Gent,,2023-08-06T14:00Z
,2,Sun Aug 6 2023,18:30,CEST/+0200,KVC Westerlo,0-1,0-1,Club Brugge KV,,2023-08-06T16:30Z
,2,Sun Aug 6 2023,19:15,CEST/+0200,KV Kortrijk,0-1,0-0,Sint-Truidense VV,,2023-08-06T17:15Z
,2,Sun Aug 6 2023,13:30,CEST/+0200,RSC Anderlecht,1-0,1-0,Royal Antwerp FC,,2023-08-06T11:30Z
,3,Fri Aug 11 2023,20:45,CEST/+0200,Royal Antwerp FC,6-0,4-0,KV Kortrijk,,2023-08-11T18:45Z
,3,Sat Aug 12 2023,18:15,CEST/+0200,Union Saint-Gilloise,5-1,2-1,Oud-Heverlee Leuven,,2023-08-12T16:15Z
,3,Sat Aug 12 2023,16:00,CEST/+0200,RWDM Brussels FC,1-0,0-0,KV Mechelen,,2023-08-12T14:00Z
,3,Sun Aug 13 2023,16:00,CEST/+0200,Cercle Brugge,0-1,0-0,KRC Genk,,2023-08-13T14:00Z
,3,Sun Aug 13 2023,16:00,CEST/+0200,KAS Eupen,0-5,0-3,Club Brugge KV,,2023-08-13T14:00Z
,3,Sun Aug 13 2023,18:30,CEST/+0200,Sporting Charleroi,1-1,0-1,Standard Liège,,2023-08-13T16:30Z
,3,Sun Aug 13 2023,19:15,CEST/+0200,KVC Westerlo,1-3,1-1,KAA Gent,,2023-08-13T17:15Z
,3,Sun Aug 13 2023,13:30,CEST/+0200,Sint-Truidense VV,0-1,0-0,RSC Anderlecht,,2023-08-13T11:30Z
,4,Fri Aug 18 2023,20:45,CEST/+0200,Oud-Heverlee Leuven,1-1,0-1,Royal Antwerp FC,,2023-08-18T18:45Z
,4,Sat Aug 19 2023,20:45,CEST/+0200,KV Mechelen,4-0,1-0,Union Saint-Gilloise,,2023-08-19T18:45Z
,4,Sat Aug 19 2023,16:00,CEST/+0200,Standard Liège,0-1,0-0,Cercle Brugge,,2023-08-19T14:00Z
,4,Sun Aug 20 2023,16:00,CEST/+0200,KRC Genk,0-0,0-0,Sporting Charleroi,,2023-08-20T14:00Z
,4,Sun Aug 20 2023,16:00,CEST/+0200,KAA Gent,2-2,1-2,Sint-Truidense VV,,2023-08-20T14:00Z
,4,Sun Aug 20 2023,18:30,CEST/+0200,Club Brugge KV,7-1,2-1,RWDM Brussels FC,,2023-08-20T16:30Z
,4,Sun Aug 20 2023,19:15,CEST/+0200,KV Kortrijk,1-3,0-0,KAS Eupen,,2023-08-20T17:15Z
,4,Sun Aug 20 2023,13:30,CEST/+0200,RSC Anderlecht,2-1,1-0,KVC Westerlo,,2023-08-20T11:30Z
,5,Sat Aug 26 2023,16:00,CEST/+0200,KVC Westerlo,2-3,2-0,KV Mechelen,,2023-08-26T14:00Z
