Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sun Sep 3 2023,16:15,CEST/+0200,Aurora Pro Patria,1-2,0-1,Giana Erminio,2023-09-03T14:15Z
,1,Sun Sep 3 2023,16:15,CEST/+0200,FC Legnago Salus,4-0,3-0,Arzignano Valchiampo,2023-09-03T14:15Z
,1,Sun Sep 3 2023,16:15,CEST/+0200,Atalanta II,2-3,1-1,Virtus Verona,2023-09-03T14:15Z
,1,Mon Sep 4 2023,20:45,CEST/+0200,Mantova 1911 SSD,1-1,1-0,Calcio Padova,2023-09-04T18:45Z
,1,Mon Sep 4 2023,20:45,CEST/+0200,Pro Vercelli,4-1,2-1,FC Lumezzane,2023-09-04T18:45Z
,1,Mon Sep 4 2023,20:45,CEST/+0200,L.R. Vicenza,0-0,0-0,UC AlbinoLeffe,2023-09-04T18:45Z
,1,Mon Sep 4 2023,20:45,CEST/+0200,US Alessandria 1912,0-0,0-0,Novara Calcio,2023-09-04T18:45Z
,1,Mon Sep 4 2023,20:45,CEST/+0200,US Fiorenzuola,0-1,0-0,AC Renate,2023-09-04T18:45Z
,1,Mon Sep 4 2023,20:45,CEST/+0200,US Pergolettese,5-2,4-0,AC Pro Sesto,2023-09-04T18:45Z
,1,Mon Sep 4 2023,20:45,CEST/+0200,US Triestina,0-1,0-0,Trento Calcio 1921,2023-09-04T18:45Z
,2,Sun Sep 10 2023,16:15,CEST/+0200,FC Lumezzane,1-0,0-0,US Pergolettese,2023-09-10T14:15Z
,2,Sun Sep 10 2023,16:15,CEST/+0200,Giana Erminio,1-5,0-3,L.R. Vicenza,2023-09-10T14:15Z
,2,Sun Sep 10 2023,16:15,CEST/+0200,Virtus Verona,2-1,1-0,US Alessandria 1912,2023-09-10T14:15Z
,2,Sun Sep 10 2023,18:30,CEST/+0200,AC Renate,1-1,0-0,Pro Vercelli,2023-09-10T16:30Z
,2,Sun Sep 10 2023,18:30,CEST/+0200,Arzignano Valchiampo,0-2,0-1,Mantova 1911 SSD,2023-09-10T16:30Z
,2,Sun Sep 10 2023,18:30,CEST/+0200,Novara Calcio,1-2,0-2,Aurora Pro Patria,2023-09-10T16:30Z
,2,Sun Sep 10 2023,18:30,CEST/+0200,AC Pro Sesto,3-1,1-1,US Fiorenzuola,2023-09-10T16:30Z
,2,Sun Sep 10 2023,18:30,CEST/+0200,Trento Calcio 1921,0-0,0-0,Atalanta II,2023-09-10T16:30Z
,2,Sun Sep 10 2023,18:30,CEST/+0200,UC AlbinoLeffe,1-2,0-0,US Triestina,2023-09-10T16:30Z
