Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Jul 28 2023,20:30,CEST/+0200,Dukla Banská Bystrica,1-4,1-2,FK Železiarne Podbrezová,2023-07-28T18:30Z
,1,Sat Jul 29 2023,18:00,CEST/+0200,MFK Zemplín Michalovce,0-0,0-0,FC DAC 1904,2023-07-29T16:00Z
,1,Sat Jul 29 2023,20:30,CEST/+0200,FC Košice,0-0,0-0,Slovan Bratislava,2023-07-29T18:30Z
,1,Sat Jul 29 2023,18:00,CEST/+0200,MFK Skalica,2-0,0-0,Zlaté Moravce,2023-07-29T16:00Z
,1,Sun Jul 30 2023,18:00,CEST/+0200,MŠK Žilina,3-1,1-0,MFK Ružomberok,2023-07-30T16:00Z
,1,Sun Jul 30 2023,18:00,CEST/+0200,Spartak Trnava,1-2,0-1,AS Trenčín,2023-07-30T16:00Z
,2,Fri Aug 4 2023,20:30,CEST/+0200,MFK Ružomberok,2-1,0-1,MFK Skalica,2023-08-04T18:30Z
,2,Sat Aug 5 2023,18:00,CEST/+0200,AS Trenčín,2-0,1-0,MFK Zemplín Michalovce,2023-08-05T16:00Z
,2,Sat Aug 5 2023,18:00,CEST/+0200,FC DAC 1904,5-2,3-0,FC Košice,2023-08-05T16:00Z
,2,Sat Aug 5 2023,18:00,CEST/+0200,Slovan Bratislava,2-2,1-1,Dukla Banská Bystrica,2023-08-05T16:00Z
,2,Sun Aug 6 2023,18:00,CEST/+0200,Zlaté Moravce,1-1,0-0,Spartak Trnava,2023-08-06T16:00Z
,2,Sun Aug 6 2023,20:30,CEST/+0200,FK Železiarne Podbrezová,2-0,0-0,MŠK Žilina,2023-08-06T18:30Z
,3,Fri Aug 11 2023,20:30,CEST/+0200,MFK Zemplín Michalovce,0-3,0-2,Dukla Banská Bystrica,2023-08-11T18:30Z
,3,Sat Aug 12 2023,18:00,CEST/+0200,FK Železiarne Podbrezová,1-0,1-0,Zlaté Moravce,2023-08-12T16:00Z
