Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,1,Fri Aug 18 2023,20:00,EEST/+0300,Paphos FC,3-0,1-0,Karmiotissa Polemidion,,2023-08-18T17:00Z
,1,Sat Aug 19 2023,20:00,EEST/+0300,Apollon Limassol,1-1,1-1,Othellos Athienou,,2023-08-19T17:00Z
,1,Sat Aug 19 2023,20:00,EEST/+0300,Anorthosis Famagusta,3-1,0-0,Ethnikos Achna,,2023-08-19T17:00Z
,1,Sun Aug 20 2023,20:00,EEST/+0300,AE Zakakiou,0-2,0-0,APOEL Nikosia,,2023-08-20T17:00Z
,1,Mon Aug 21 2023,20:00,EEST/+0300,Doxa Katokopias,0-1,0-1,AEL Limassol,,2023-08-21T17:00Z
,1,Mon Aug 21 2023,20:00,EEST/+0300,Omonia Nikosia,4-0,1-0,Nea Salamina,,2023-08-21T17:00Z
,1,Mon Aug 21 2023,20:00,EEST/+0300,Aris Limassol,2-0,1-0,AEK Larnaca,,2023-08-21T17:00Z
,2,Sat Aug 26 2023,20:00,EEST/+0300,Karmiotissa Polemidion,3-3,1-1,Omonia Nikosia,,2023-08-26T17:00Z
,2,Sat Aug 26 2023,20:00,EEST/+0300,Othellos Athienou,0-2,0-1,Anorthosis Famagusta,,2023-08-26T17:00Z
,2,Sun Aug 27 2023,20:00,EEST/+0300,Nea Salamina,1-1,0-1,Apollon Limassol,,2023-08-27T17:00Z
,2,Sun Aug 27 2023,20:00,EEST/+0300,AEL Limassol,4-3,1-2,AE Zakakiou,,2023-08-27T17:00Z
,2,Mon Aug 28 2023,20:00,EEST/+0300,Aris Limassol,2-1,0-0,Doxa Katokopias,,2023-08-28T17:00Z
,2,Mon Aug 28 2023,20:00,EEST/+0300,AEK Larnaca,5-5,4-4,Ethnikos Achna,,2023-08-28T17:00Z
,3,Fri Sep 1 2023,20:00,EEST/+0300,Anorthosis Famagusta,2-2,1-0,Nea Salamina,,2023-09-01T17:00Z
,3,Sat Sep 2 2023,20:00,EEST/+0300,Paphos FC,3-1,0-1,AEL Limassol,,2023-09-02T17:00Z
,3,Sat Sep 2 2023,20:00,EEST/+0300,Ethnikos Achna,1-1,1-0,Othellos Athienou,,2023-09-02T17:00Z
,3,Sat Sep 2 2023,20:00,EEST/+0300,Doxa Katokopias,0-2,0-1,AEK Larnaca,,2023-09-02T17:00Z
,3,Sun Sep 3 2023,20:00,EEST/+0300,Apollon Limassol,1-0,1-0,Karmiotissa Polemidion,,2023-09-03T17:00Z
,3,Sun Sep 3 2023,20:00,EEST/+0300,AE Zakakiou,0-5,0-3,Aris Limassol,,2023-09-03T17:00Z
,3,Sun Sep 3 2023,21:00,EEST/+0300,Omonia Nikosia,2-1,2-1,APOEL Nikosia,,2023-09-03T18:00Z
,4,Sat Sep 16 2023,19:00,EEST/+0300,AEK Larnaca,3-2,3-1,Othellos Athienou,,2023-09-16T16:00Z
,4,Sat Sep 16 2023,19:00,EEST/+0300,Doxa Katokopias,1-3,0-2,AE Zakakiou,,2023-09-16T16:00Z
,4,Sat Sep 16 2023,20:00,EEST/+0300,AEL Limassol,0-0,0-0,Omonia Nikosia,,2023-09-16T17:00Z
,4,Sun Sep 17 2023,18:00,EEST/+0300,Karmiotissa Polemidion,1-3,0-1,Anorthosis Famagusta,,2023-09-17T15:00Z
,4,Sun Sep 17 2023,20:30,EEST/+0300,APOEL Nikosia,1-1,1-1,Apollon Limassol,,2023-09-17T17:30Z
