Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Sep 1 2023,20:45,CEST/+0200,Giugliano,1-0,0-0,Sorrento Calcio,2023-09-01T18:45Z
,1,Fri Sep 1 2023,19:45,CEST/+0200,Calcio Catania,0-1,0-0,FC Crotone,2023-09-01T17:45Z
,1,Sat Sep 2 2023,20:45,CEST/+0200,US Avellino,0-2,0-1,Latina Calcio,2023-09-02T18:45Z
,1,Sat Sep 2 2023,20:45,CEST/+0200,Audace Cerignola,2-2,1-1,ACR Messina,2023-09-02T18:45Z
,1,Sun Sep 3 2023,20:45,CEST/+0200,Monterosi FC,1-3,0-0,SS Juve Stabia,2023-09-03T18:45Z
,1,Sun Sep 3 2023,20:45,CEST/+0200,Potenza,2-1,0-0,Brindisi,2023-09-03T18:45Z
,1,Sun Sep 3 2023,20:45,CEST/+0200,Taranto FC,2-0,0-0,Foggia Calcio,2023-09-03T18:45Z
,1,Sun Sep 3 2023,20:45,CEST/+0200,FC Turris,3-1,2-1,Benevento Calcio,2023-09-03T18:45Z
,1,Sun Sep 3 2023,20:45,CEST/+0200,Virtus Francavilla,0-1,0-0,AZ Picerno,2023-09-03T18:45Z
,2,Sat Sep 9 2023,18:30,CEST/+0200,Sorrento Calcio,2-2,1-1,Audace Cerignola,2023-09-09T16:30Z
,2,Sun Sep 10 2023,20:45,CEST/+0200,FC Crotone,2-3,0-2,FC Turris,2023-09-10T18:45Z
,2,Sun Sep 10 2023,20:45,CEST/+0200,SS Monopoli 1966,2-2,2-2,Monterosi FC,2023-09-10T18:45Z
,2,Sun Sep 10 2023,20:45,CEST/+0200,Latina Calcio,2-1,1-1,Potenza,2023-09-10T18:45Z
,2,Mon Sep 11 2023,20:45,CEST/+0200,AZ Picerno,1-1,1-0,Taranto FC,2023-09-11T18:45Z
,2,Mon Sep 11 2023,20:45,CEST/+0200,Benevento Calcio,1-0,1-0,Virtus Francavilla,2023-09-11T18:45Z
,2,Mon Sep 11 2023,20:45,CEST/+0200,Foggia Calcio,1-0,0-0,Giugliano,2023-09-11T18:45Z
,2,Mon Sep 11 2023,20:45,CEST/+0200,SS Juve Stabia,1-0,0-0,US Avellino,2023-09-11T18:45Z
,3,Sun Sep 17 2023,20:45,CEST/+0200,Casertana FC,0-0,0-0,Benevento Calcio,2023-09-17T18:45Z
,3,Sun Sep 17 2023,20:45,CEST/+0200,Virtus Francavilla,3-1,1-1,FC Crotone,2023-09-17T18:45Z
,3,Sun Sep 17 2023,20:45,CEST/+0200,US Avellino,0-0,0-0,Foggia Calcio,2023-09-17T18:45Z
,3,Sun Sep 17 2023,20:45,CEST/+0200,Calcio Catania,2-0,1-0,AZ Picerno,2023-09-17T18:45Z
,3,Sun Sep 17 2023,20:45,CEST/+0200,Potenza,2-1,1-1,SS Monopoli 1966,2023-09-17T18:45Z
,3,Sun Sep 17 2023,20:45,CEST/+0200,FC Turris,3-2,2-2,Sorrento Calcio,2023-09-17T18:45Z
,3,Mon Sep 18 2023,20:45,CEST/+0200,Giugliano,0-0,0-0,SS Juve Stabia,2023-09-18T18:45Z
,3,Mon Sep 18 2023,20:45,CEST/+0200,Audace Cerignola,3-1,2-1,Brindisi,2023-09-18T18:45Z
,3,Mon Sep 18 2023,20:45,CEST/+0200,Monterosi FC,2-2,0-1,Latina Calcio,2023-09-18T18:45Z
,4,Thu Sep 21 2023,20:45,CEST/+0200,SS Juve Stabia,3-0,2-0,Potenza,2023-09-21T18:45Z
,4,Thu Sep 21 2023,20:45,CEST/+0200,AZ Picerno,4-0,1-0,Giugliano,2023-09-21T18:45Z
,4,Thu Sep 21 2023,18:30,CEST/+0200,Sorrento Calcio,0-1,0-0,US Avellino,2023-09-21T16:30Z
,4,Thu Sep 21 2023,20:45,CEST/+0200,Foggia Calcio,0-0,0-0,Virtus Francavilla,2023-09-21T18:45Z
,4,Thu Sep 21 2023,18:30,CEST/+0200,ACR Messina,3-3,2-1,FC Turris,2023-09-21T16:30Z
,4,Thu Sep 21 2023,18:30,CEST/+0200,Benevento Calcio,2-1,2-0,Taranto FC,2023-09-21T16:30Z
,4,Thu Sep 21 2023,18:30,CEST/+0200,Brindisi,2-1,0-1,Monterosi FC,2023-09-21T16:30Z
,4,Thu Sep 21 2023,20:45,CEST/+0200,FC Crotone,1-1,0-0,Audace Cerignola,2023-09-21T18:45Z
,4,Thu Sep 21 2023,18:30,CEST/+0200,Latina Calcio,1-1,1-1,Casertana FC,2023-09-21T16:30Z
,4,Thu Sep 21 2023,20:45,CEST/+0200,SS Monopoli 1966,0-0,0-0,Calcio Catania,2023-09-21T18:45Z
,5,Sun Sep 24 2023,20:45,CEST/+0200,US Avellino,4-0,0-0,SS Monopoli 1966,2023-09-24T18:45Z
,5,Sun Sep 24 2023,20:45,CEST/+0200,Virtus Francavilla,1-0,1-0,ACR Messina,2023-09-24T18:45Z
,5,Sun Sep 24 2023,20:45,CEST/+0200,FC Crotone,1-0,1-0,Sorrento Calcio,2023-09-24T18:45Z
,5,Sun Sep 24 2023,20:45,CEST/+0200,Potenza,1-1,0-1,Casertana FC,2023-09-24T18:45Z
,5,Mon Sep 25 2023,20:45,CEST/+0200,FC Turris,1-3,1-2,AZ Picerno,2023-09-25T18:45Z
,5,Mon Sep 25 2023,20:45,CEST/+0200,Monterosi FC,2-3,1-2,Taranto FC,2023-09-25T18:45Z
,5,Mon Sep 25 2023,20:45,CEST/+0200,Giugliano,0-3,0-1,Latina Calcio,2023-09-25T18:45Z
,5,Mon Sep 25 2023,20:45,CEST/+0200,Calcio Catania,0-2,0-0,Foggia Calcio,2023-09-25T18:45Z
,5,Mon Sep 25 2023,20:45,CEST/+0200,Audace Cerignola,0-0,0-0,SS Juve Stabia,2023-09-25T18:45Z
,5,Mon Sep 25 2023,20:45,CEST/+0200,Brindisi,0-1,0-1,Benevento Calcio,2023-09-25T18:45Z
,1,Wed Sep 27 2023,20:45,CEST/+0200,Casertana FC,1-1,1-0,SS Monopoli 1966,2023-09-27T18:45Z
,6,Sat Sep 30 2023,16:15,CEST/+0200,Latina Calcio,1-3,1-3,Brindisi,2023-09-30T14:15Z
,6,Sat Sep 30 2023,18:30,CEST/+0200,Potenza,1-0,0-0,Monterosi FC,2023-09-30T16:30Z
,6,Sun Oct 1 2023,18:30,CEST/+0200,SS Juve Stabia,1-0,0-0,SS Monopoli 1966,2023-10-01T16:30Z
,6,Sun Oct 1 2023,20:45,CEST/+0200,AZ Picerno,1-1,1-0,Sorrento Calcio,2023-10-01T18:45Z
,6,Sun Oct 1 2023,18:30,CEST/+0200,Foggia Calcio,2-1,0-0,FC Turris,2023-10-01T16:30Z
,6,Sun Oct 1 2023,14:00,CEST/+0200,ACR Messina,1-0,1-0,US Avellino,2023-10-01T12:00Z
,6,Sun Oct 1 2023,14:00,CEST/+0200,Casertana FC,0-4,0-2,Calcio Catania,2023-10-01T12:00Z
,6,Sun Oct 1 2023,16:15,CEST/+0200,Virtus Francavilla,1-1,1-0,Giugliano,2023-10-01T14:15Z
,6,Sun Oct 1 2023,18:30,CEST/+0200,Benevento Calcio,3-2,0-1,FC Crotone,2023-10-01T16:30Z
,6,Mon Oct 2 2023,15:00,CEST/+0200,Taranto FC,0-0,0-0,Audace Cerignola,2023-10-02T13:00Z
,7,Sun Oct 8 2023,20:45,CEST/+0200,SS Monopoli 1966,2-2,1-2,Foggia Calcio,2023-10-08T18:45Z
,7,Sun Oct 8 2023,18:30,CEST/+0200,Giugliano,2-1,0-1,Taranto FC,2023-10-08T16:30Z
,7,Sun Oct 8 2023,20:45,CEST/+0200,Audace Cerignola,0-0,0-0,Benevento Calcio,2023-10-08T18:45Z
,7,Sun Oct 8 2023,14:00,CEST/+0200,Sorrento Calcio,1-0,1-0,ACR Messina,2023-10-08T12:00Z
,7,Sun Oct 8 2023,14:00,CEST/+0200,Monterosi FC,0-1,0-1,Casertana FC,2023-10-08T12:00Z
,7,Sun Oct 8 2023,16:15,CEST/+0200,Calcio Catania,1-1,0-1,Latina Calcio,2023-10-08T14:15Z
,7,Sun Oct 8 2023,16:15,CEST/+0200,FC Crotone,2-1,2-1,AZ Picerno,2023-10-08T14:15Z
,7,Sun Oct 8 2023,18:30,CEST/+0200,FC Turris,1-3,0-1,Virtus Francavilla,2023-10-08T16:30Z
,7,Mon Oct 9 2023,20:45,CEST/+0200,US Avellino,4-1,4-1,Potenza,2023-10-09T18:45Z
,7,Tue Oct 10 2023,18:30,CEST/+0200,Brindisi,1-1,0-1,SS Juve Stabia,2023-10-10T16:30Z
,2,Wed Oct 11 2023,20:45,CEST/+0200,ACR Messina,1-1,0-0,Casertana FC,2023-10-11T18:45Z
,8,Sat Oct 14 2023,14:00,CEST/+0200,Monterosi FC,0-3,0-2,Audace Cerignola,2023-10-14T12:00Z
,8,Sat Oct 14 2023,16:15,CEST/+0200,Foggia Calcio,2-0,2-0,Brindisi,2023-10-14T14:15Z
,8,Sun Oct 15 2023,16:15,CEST/+0200,Latina Calcio,3-2,3-0,SS Monopoli 1966,2023-10-15T14:15Z
,8,Sun Oct 15 2023,16:15,CEST/+0200,Virtus Francavilla,1-5,1-3,Sorrento Calcio,2023-10-15T14:15Z
,8,Sun Oct 15 2023,14:00,CEST/+0200,ACR Messina,1-0,1-0,Giugliano,2023-10-15T12:00Z
,8,Sun Oct 15 2023,14:00,CEST/+0200,Benevento Calcio,2-2,0-1,AZ Picerno,2023-10-15T12:00Z
,8,Sun Oct 15 2023,14:00,CEST/+0200,SS Juve Stabia,1-0,1-0,Calcio Catania,2023-10-15T12:00Z
,8,Sun Oct 15 2023,16:15,CEST/+0200,Taranto FC,2-1,2-0,FC Crotone,2023-10-15T14:15Z
,8,Mon Oct 16 2023,20:30,CEST/+0200,Potenza,2-3,0-2,FC Turris,2023-10-16T18:30Z
,8,Mon Oct 16 2023,20:45,CEST/+0200,Casertana FC,0-2,0-1,US Avellino,2023-10-16T18:45Z
,9,Fri Oct 20 2023,20:45,CEST/+0200,AZ Picerno,1-1,0-0,ACR Messina,2023-10-20T18:45Z
,9,Fri Oct 20 2023,20:45,CEST/+0200,SS Monopoli 1966,3-0,1-0,Virtus Francavilla,2023-10-20T18:45Z
,9,Sat Oct 21 2023,18:30,CEST/+0200,Sorrento Calcio,0-1,0-0,Benevento Calcio,2023-10-21T16:30Z
,9,Sat Oct 21 2023,20:45,CEST/+0200,FC Turris,1-2,0-1,SS Juve Stabia,2023-10-21T18:45Z
,9,Sat Oct 21 2023,18:30,CEST/+0200,Audace Cerignola,2-0,1-0,Latina Calcio,2023-10-21T16:30Z
,9,Sat Oct 21 2023,18:30,CEST/+0200,FC Crotone,2-1,1-1,Foggia Calcio,2023-10-21T16:30Z
,9,Sat Oct 21 2023,18:30,CEST/+0200,Giugliano,0-0,0-0,Potenza,2023-10-21T16:30Z
,9,Sun Oct 22 2023,18:30,CEST/+0200,US Avellino,2-1,0-1,Monterosi FC,2023-10-22T16:30Z
,9,Sun Oct 22 2023,16:15,CEST/+0200,Calcio Catania,1-0,0-0,Taranto FC,2023-10-22T14:15Z
,9,Sun Oct 22 2023,14:00,CEST/+0200,Brindisi,1-4,0-3,Casertana FC,2023-10-22T12:00Z
,10,Wed Oct 25 2023,20:45,CEST/+0200,Taranto FC,3-1,2-1,FC Turris,2023-10-25T18:45Z
,10,Wed Oct 25 2023,20:45,CEST/+0200,Casertana FC,2-1,1-0,SS Juve Stabia,2023-10-25T18:45Z
,10,Wed Oct 25 2023,18:30,CEST/+0200,Giugliano,1-2,1-1,FC Crotone,2023-10-25T16:30Z
,10,Wed Oct 25 2023,18:30,CEST/+0200,Monterosi FC,1-1,0-1,Calcio Catania,2023-10-25T16:30Z
,10,Wed Oct 25 2023,18:30,CEST/+0200,US Avellino,1-0,0-0,Audace Cerignola,2023-10-25T16:30Z
,10,Wed Oct 25 2023,18:30,CEST/+0200,Latina Calcio,1-0,0-0,Virtus Francavilla,2023-10-25T16:30Z
,10,Wed Oct 25 2023,20:45,CEST/+0200,SS Monopoli 1966,1-1,1-0,AZ Picerno,2023-10-25T18:45Z
,10,Thu Oct 26 2023,20:45,CEST/+0200,Foggia Calcio,0-0,0-0,Benevento Calcio,2023-10-26T18:45Z
,10,Thu Oct 26 2023,18:30,CEST/+0200,ACR Messina,0-1,0-0,Brindisi,2023-10-26T16:30Z
,10,Thu Oct 26 2023,20:45,CEST/+0200,Potenza,3-0,2-0,Sorrento Calcio,2023-10-26T18:45Z
,11,Sun Oct 29 2023,20:45,CET/+0100,Virtus Francavilla,1-2,1-1,Taranto FC,2023-10-29T19:45Z
,11,Sun Oct 29 2023,18:30,CET/+0100,AZ Picerno,2-0,0-0,Foggia Calcio,2023-10-29T17:30Z
,11,Sun Oct 29 2023,14:00,CET/+0100,FC Crotone,3-3,2-1,ACR Messina,2023-10-29T13:00Z
,11,Sun Oct 29 2023,16:00,CET/+0100,Calcio Catania,0-2,0-1,US Avellino,2023-10-29T15:00Z
,11,Sun Oct 29 2023,16:15,CET/+0100,Sorrento Calcio,0-2,0-1,Monterosi FC,2023-10-29T15:15Z
,11,Sun Oct 29 2023,18:30,CET/+0100,SS Juve Stabia,1-0,1-0,Latina Calcio,2023-10-29T17:30Z
,11,Sun Oct 29 2023,20:45,CET/+0100,Brindisi,1-2,0-1,SS Monopoli 1966,2023-10-29T19:45Z
,11,Sun Oct 29 2023,18:30,CET/+0100,FC Turris,0-1,0-1,Giugliano,2023-10-29T17:30Z
