Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 11 2023,20:00,CEST/+0200,FC Volendam,1-2,1-0,Vitesse,2023-08-11T18:00Z
1,Sat Aug 12 2023,16:30,CEST/+0200,PSV Eindhoven,2-0,1-0,FC Utrecht,2023-08-12T14:30Z
1,Sat Aug 12 2023,18:45,CEST/+0200,sc Heerenveen,3-1,3-0,RKC Waalwijk,2023-08-12T16:45Z
1,Sat Aug 12 2023,20:00,CEST/+0200,AFC Ajax,4-1,1-1,Heracles Almelo,2023-08-12T18:00Z
1,Sat Aug 12 2023,21:00,CEST/+0200,PEC Zwolle,1-2,0-1,Sparta Rotterdam,2023-08-12T19:00Z
1,Sun Aug 13 2023,14:30,CEST/+0200,Feyenoord,0-0,0-0,Fortuna Sittard,2023-08-13T12:30Z
1,Sun Aug 13 2023,14:30,CEST/+0200,AZ Alkmaar,5-1,2-0,Go Ahead Eagles,2023-08-13T12:30Z
1,Sun Aug 13 2023,16:45,CEST/+0200,Almere City FC,1-4,0-0,FC Twente,2023-08-13T14:45Z
1,Sun Aug 13 2023,12:15,CEST/+0200,NEC Nijmegen,3-4,2-1,SBV Excelsior,2023-08-13T10:15Z
2,Fri Aug 18 2023,20:00,CEST/+0200,Heracles Almelo,2-1,0-1,NEC Nijmegen,2023-08-18T18:00Z
2,Sat Aug 19 2023,18:45,CEST/+0200,Vitesse,1-3,1-0,PSV Eindhoven,2023-08-19T16:45Z
2,Sat Aug 19 2023,20:00,CEST/+0200,Fortuna Sittard,2-1,2-1,Almere City FC,2023-08-19T18:00Z
2,Sat Aug 19 2023,21:00,CEST/+0200,Go Ahead Eagles,4-1,3-0,FC Volendam,2023-08-19T19:00Z
2,Sat Aug 19 2023,16:30,CEST/+0200,SBV Excelsior,2-2,1-1,AFC Ajax,2023-08-19T14:30Z
2,Sun Aug 20 2023,14:30,CEST/+0200,Sparta Rotterdam,2-2,1-0,Feyenoord,2023-08-20T12:30Z
2,Sun Aug 20 2023,14:30,CEST/+0200,FC Twente,3-1,1-1,PEC Zwolle,2023-08-20T12:30Z
2,Sun Aug 20 2023,16:45,CEST/+0200,RKC Waalwijk,1-3,1-0,AZ Alkmaar,2023-08-20T14:45Z
2,Sun Aug 20 2023,12:15,CEST/+0200,FC Utrecht,0-2,0-0,sc Heerenveen,2023-08-20T10:15Z
3,Sat Aug 26 2023,18:45,CEST/+0200,NEC Nijmegen,3-0,1-0,RKC Waalwijk,2023-08-26T16:45Z
3,Sat Aug 26 2023,21:00,CEST/+0200,SBV Excelsior,2-2,1-0,Fortuna Sittard,2023-08-26T19:00Z
3,Sun Aug 27 2023,14:30,CEST/+0200,Feyenoord,6-1,3-0,Almere City FC,2023-08-27T12:30Z
3,Sun Aug 27 2023,16:45,CEST/+0200,sc Heerenveen,1-3,0-1,Sparta Rotterdam,2023-08-27T14:45Z
3,Sun Aug 27 2023,12:15,CEST/+0200,PEC Zwolle,1-0,0-0,FC Utrecht,2023-08-27T10:15Z
4,Fri Sep 1 2023,20:00,CEST/+0200,Sparta Rotterdam,1-1,0-0,NEC Nijmegen,2023-09-01T18:00Z
4,Sat Sep 2 2023,18:45,CEST/+0200,Go Ahead Eagles,3-2,2-1,sc Heerenveen,2023-09-02T16:45Z
4,Sat Sep 2 2023,16:30,CEST/+0200,Almere City FC,1-2,0-1,PEC Zwolle,2023-09-02T14:30Z
4,Sat Sep 2 2023,20:00,CEST/+0200,RKC Waalwijk,0-4,0-1,PSV Eindhoven,2023-09-02T18:00Z
4,Sat Sep 2 2023,21:00,CEST/+0200,Heracles Almelo,3-1,0-1,SBV Excelsior,2023-09-02T19:00Z
4,Sun Sep 3 2023,14:30,CEST/+0200,FC Volendam,0-2,0-1,FC Twente,2023-09-03T12:30Z
4,Sun Sep 3 2023,14:30,CEST/+0200,Fortuna Sittard,0-0,0-0,AFC Ajax,2023-09-03T12:30Z
4,Sun Sep 3 2023,12:15,CEST/+0200,FC Utrecht,1-5,1-2,Feyenoord,2023-09-03T10:15Z
4,Sun Sep 3 2023,16:45,CEST/+0200,Vitesse,0-2,0-0,AZ Alkmaar,2023-09-03T14:45Z
5,Sat Sep 16 2023,21:00,CEST/+0200,Heracles Almelo,1-3,0-2,FC Utrecht,2023-09-16T19:00Z
5,Sat Sep 16 2023,20:00,CEST/+0200,Fortuna Sittard,3-1,0-1,FC Volendam,2023-09-16T18:00Z
5,Sat Sep 16 2023,20:00,CEST/+0200,PSV Eindhoven,4-0,2-0,NEC Nijmegen,2023-09-16T18:00Z
5,Sat Sep 16 2023,18:45,CEST/+0200,Vitesse,0-2,0-1,RKC Waalwijk,2023-09-16T16:45Z
5,Sat Sep 16 2023,16:30,CEST/+0200,Feyenoord,6-1,3-1,sc Heerenveen,2023-09-16T14:30Z
5,Sun Sep 17 2023,16:45,CEST/+0200,AZ Alkmaar,2-0,2-0,Sparta Rotterdam,2023-09-17T14:45Z
5,Sun Sep 17 2023,12:15,CEST/+0200,PEC Zwolle,1-1,0-0,Go Ahead Eagles,2023-09-17T10:15Z
5,Sun Sep 17 2023,14:30,CEST/+0200,FC Twente,3-1,2-1,AFC Ajax,2023-09-17T12:30Z
5,Sun Sep 17 2023,14:30,CEST/+0200,SBV Excelsior,0-0,0-0,Almere City FC,2023-09-17T12:30Z
6,Fri Sep 22 2023,20:00,CEST/+0200,Go Ahead Eagles,3-0,1-0,Fortuna Sittard,2023-09-22T18:00Z
6,Sat Sep 23 2023,20:00,CEST/+0200,Almere City FC,0-4,0-2,PSV Eindhoven,2023-09-23T18:00Z
6,Sat Sep 23 2023,18:45,CEST/+0200,NEC Nijmegen,3-0,2-0,FC Utrecht,2023-09-23T16:45Z
6,Sat Sep 23 2023,16:30,CEST/+0200,FC Volendam,2-2,0-0,Heracles Almelo,2023-09-23T14:30Z
6,Sat Sep 23 2023,21:00,CEST/+0200,sc Heerenveen,0-3,0-2,SBV Excelsior,2023-09-23T19:00Z
6,Sun Sep 24 2023,16:45,CEST/+0200,PEC Zwolle,0-3,0-1,AZ Alkmaar,2023-09-24T14:45Z
6,Sun Sep 24 2023,16:45,CEST/+0200,RKC Waalwijk,1-0,0-0,FC Twente,2023-09-24T14:45Z
6,Sun Sep 24 2023,12:15,CEST/+0200,Sparta Rotterdam,1-0,1-0,Vitesse,2023-09-24T10:15Z
3,Wed Sep 27 2023,20:00,CEST/+0200,FC Twente,1-0,1-0,Vitesse,2023-09-27T18:00Z
6,Wed Sep 27 2023,14:00,CEST/+0200,AFC Ajax,0-4,0-3,Feyenoord,2023-09-27T12:00Z
3,Wed Sep 27 2023,18:45,CEST/+0200,PSV Eindhoven,3-0,1-0,Go Ahead Eagles,2023-09-27T16:45Z
3,Thu Sep 28 2023,20:00,CEST/+0200,AZ Alkmaar,1-1,1-0,Heracles Almelo,2023-09-28T18:00Z
7,Sat Sep 30 2023,16:30,CEST/+0200,Feyenoord,3-1,1-0,Go Ahead Eagles,2023-09-30T14:30Z
7,Sat Sep 30 2023,21:00,CEST/+0200,FC Twente,1-0,0-0,sc Heerenveen,2023-09-30T19:00Z
7,Sat Sep 30 2023,18:45,CEST/+0200,FC Utrecht,0-2,0-0,Almere City FC,2023-09-30T16:45Z
7,Sat Sep 30 2023,18:45,CEST/+0200,PSV Eindhoven,3-1,1-0,FC Volendam,2023-09-30T16:45Z
7,Sun Oct 1 2023,12:15,CEST/+0200,NEC Nijmegen,1-3,1-1,Vitesse,2023-10-01T10:15Z
7,Sun Oct 1 2023,14:30,CEST/+0200,SBV Excelsior,2-1,0-0,Sparta Rotterdam,2023-10-01T12:30Z
7,Sun Oct 1 2023,14:30,CEST/+0200,Heracles Almelo,2-1,0-0,PEC Zwolle,2023-10-01T12:30Z
7,Sun Oct 1 2023,16:45,CEST/+0200,AZ Alkmaar,4-0,1-0,Fortuna Sittard,2023-10-01T14:45Z
8,Fri Oct 6 2023,20:00,CEST/+0200,FC Volendam,1-0,0-0,FC Utrecht,2023-10-06T18:00Z
8,Sat Oct 7 2023,20:00,CEST/+0200,Go Ahead Eagles,4-0,2-0,Heracles Almelo,2023-10-07T18:00Z
8,Sat Oct 7 2023,21:00,CEST/+0200,Vitesse,0-0,0-0,SBV Excelsior,2023-10-07T19:00Z
8,Sat Oct 7 2023,16:30,CEST/+0200,sc Heerenveen,1-1,1-1,NEC Nijmegen,2023-10-07T14:30Z
8,Sat Oct 7 2023,18:45,CEST/+0200,Almere City FC,1-0,1-0,RKC Waalwijk,2023-10-07T16:45Z
8,Sun Oct 8 2023,14:30,CEST/+0200,AFC Ajax,1-2,0-1,AZ Alkmaar,2023-10-08T12:30Z
8,Sun Oct 8 2023,16:45,CEST/+0200,Sparta Rotterdam,0-4,0-0,PSV Eindhoven,2023-10-08T14:45Z
8,Sun Oct 8 2023,12:15,CEST/+0200,PEC Zwolle,0-2,0-1,Feyenoord,2023-10-08T10:15Z
