Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jul 21 2023,20:30,CEST/+0200,Legia Warszawa,3-0,1-0,ŁKS Łódź,2023-07-21T18:30Z
1,Fri Jul 21 2023,18:00,CEST/+0200,Warta Poznań,0-1,0-1,Pogoń Szczecin,2023-07-21T16:00Z
1,Sat Jul 22 2023,17:30,CEST/+0200,Raków Częstochowa,3-0,1-0,Jagiellonia Białystok,2023-07-22T15:30Z
1,Sat Jul 22 2023,20:00,CEST/+0200,Piast Gliwice,1-2,1-0,Lech Poznań,2023-07-22T18:00Z
1,Sat Jul 22 2023,15:00,CEST/+0200,FKS Stal Mielec,2-2,2-0,KS Cracovia,2023-07-22T13:00Z
1,Sun Jul 23 2023,15:00,CEST/+0200,Górnik Zabrze,0-2,0-0,Radomiak Radom,2023-07-23T13:00Z
1,Sun Jul 23 2023,17:30,CEST/+0200,Zagłębie Lubin,2-1,0-1,Ruch Chorzów,2023-07-23T15:30Z
1,Sun Jul 23 2023,20:00,CEST/+0200,Widzew Łódź,3-2,1-1,Puszcza Niepołomice,2023-07-23T18:00Z
1,Mon Jul 24 2023,19:00,CEST/+0200,Korona Kielce,1-1,0-0,Śląsk Wrocław,2023-07-24T17:00Z
2,Fri Jul 28 2023,20:30,CEST/+0200,Ruch Chorzów,2-0,1-0,ŁKS Łódź,2023-07-28T18:30Z
2,Sat Jul 29 2023,17:30,CEST/+0200,Jagiellonia Białystok,4-1,1-0,Puszcza Niepołomice,2023-07-29T15:30Z
2,Sat Jul 29 2023,20:00,CEST/+0200,Śląsk Wrocław,1-2,1-0,Zagłębie Lubin,2023-07-29T18:00Z
2,Sat Jul 29 2023,15:00,CEST/+0200,Warta Poznań,2-0,1-0,Górnik Zabrze,2023-07-29T13:00Z
2,Sun Jul 30 2023,15:00,CEST/+0200,FKS Stal Mielec,0-0,0-0,Piast Gliwice,2023-07-30T13:00Z
2,Sun Jul 30 2023,17:30,CEST/+0200,Lech Poznań,2-0,1-0,Radomiak Radom,2023-07-30T15:30Z
2,Sun Jul 30 2023,20:00,CEST/+0200,Pogoń Szczecin,2-1,0-1,Widzew Łódź,2023-07-30T18:00Z
